#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1448312,37169529,BO86DRAFT_100071,BO86DRAFT_100071,-,-,Unknown,-,OPT superfamily oligopeptide transporter,protein-coding,-,-,-,OPT superfamily oligopeptide transporter,20200919,-
1448312,37169530,BO86DRAFT_100212,BO86DRAFT_100212,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169531,BO86DRAFT_100262,BO86DRAFT_100262,-,-,Unknown,-,Zn(II)2Cys6 transcription factor,protein-coding,-,-,-,Zn(II)2Cys6 transcription factor,20200919,-
1448312,37169532,BO86DRAFT_100460,BO86DRAFT_100460,-,-,Unknown,-,putative mitochondrial translation optimization protein,protein-coding,-,-,-,putative mitochondrial translation optimization protein,20200919,-
1448312,37169533,BO86DRAFT_100508,BO86DRAFT_100508,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169534,BO86DRAFT_10058,BO86DRAFT_10058,-,-,Unknown,-,alpha/beta-hydrolase,protein-coding,-,-,-,alpha/beta-hydrolase,20200919,-
1448312,37169535,BO86DRAFT_100638,BO86DRAFT_100638,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169536,BO86DRAFT_100700,BO86DRAFT_100700,-,-,Unknown,-,FAD/NAD(P)-binding domain-containing protein,protein-coding,-,-,-,FAD/NAD(P)-binding domain-containing protein,20200919,-
1448312,37169537,BO86DRAFT_100736,BO86DRAFT_100736,-,-,Unknown,-,mitochondrial carrier,protein-coding,-,-,-,mitochondrial carrier,20200919,-
1448312,37169538,BO86DRAFT_100757,BO86DRAFT_100757,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169539,BO86DRAFT_100904,BO86DRAFT_100904,-,-,Unknown,-,Zn(II)2Cys6 transcription factor,protein-coding,-,-,-,Zn(II)2Cys6 transcription factor,20200919,-
1448312,37169540,BO86DRAFT_100919,BO86DRAFT_100919,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169541,BO86DRAFT_100937,BO86DRAFT_100937,-,-,Unknown,-,NAD(P)-binding protein,protein-coding,-,-,-,NAD(P)-binding protein,20200919,-
1448312,37169542,BO86DRAFT_100983,BO86DRAFT_100983,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169543,BO86DRAFT_101029,BO86DRAFT_101029,-,-,Unknown,-,TPT-domain-containing protein,protein-coding,-,-,-,TPT-domain-containing protein,20200919,-
1448312,37169544,BO86DRAFT_101054,BO86DRAFT_101054,-,-,Unknown,-,alcohol dehydrogenase zinc-binding domain protein,protein-coding,-,-,-,alcohol dehydrogenase zinc-binding domain protein,20200919,-
1448312,37169545,BO86DRAFT_101128,BO86DRAFT_101128,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169546,BO86DRAFT_101232,BO86DRAFT_101232,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169547,BO86DRAFT_10145,BO86DRAFT_10145,-,-,Unknown,-,aspergillopepsin A-like aspartic endopeptidase,protein-coding,-,-,-,aspergillopepsin A-like aspartic endopeptidase,20200919,-
1448312,37169548,BO86DRAFT_101487,BO86DRAFT_101487,-,-,Unknown,-,regulator of G protein signaling superfamily,protein-coding,-,-,-,regulator of G protein signaling superfamily,20200919,-
1448312,37169549,BO86DRAFT_101541,BO86DRAFT_101541,-,-,Unknown,-,histidine kinase,protein-coding,-,-,-,histidine kinase,20200919,-
1448312,37169550,BO86DRAFT_101822,BO86DRAFT_101822,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169551,BO86DRAFT_101956,BO86DRAFT_101956,-,-,Unknown,-,ceramide synthase membrane component,protein-coding,-,-,-,ceramide synthase membrane component,20200919,-
1448312,37169552,BO86DRAFT_101999,BO86DRAFT_101999,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169553,BO86DRAFT_102095,BO86DRAFT_102095,-,-,Unknown,-,general substrate transporter,protein-coding,-,-,-,general substrate transporter,20200919,-
1448312,37169554,BO86DRAFT_102144,BO86DRAFT_102144,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169555,BO86DRAFT_102192,BO86DRAFT_102192,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169556,BO86DRAFT_102211,BO86DRAFT_102211,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169557,BO86DRAFT_102348,BO86DRAFT_102348,-,-,Unknown,-,O-methylsterigmatocystin oxidoreductase,protein-coding,-,-,-,O-methylsterigmatocystin oxidoreductase,20200919,-
1448312,37169558,BO86DRAFT_102465,BO86DRAFT_102465,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169559,BO86DRAFT_102605,BO86DRAFT_102605,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169560,BO86DRAFT_102616,BO86DRAFT_102616,-,-,Unknown,-,protein translocase SEC6,protein-coding,-,-,-,protein translocase SEC6,20200919,-
1448312,37169561,BO86DRAFT_102661,BO86DRAFT_102661,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169562,BO86DRAFT_102662,BO86DRAFT_102662,-,-,Unknown,-,ammonium transporter,protein-coding,-,-,-,ammonium transporter,20200919,-
1448312,37169563,BO86DRAFT_102791,BO86DRAFT_102791,-,-,Unknown,-,tannase and feruloyl esterase,protein-coding,-,-,-,tannase and feruloyl esterase,20200919,-
1448312,37169564,BO86DRAFT_10293,BO86DRAFT_10293,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169565,BO86DRAFT_102959,BO86DRAFT_102959,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169566,BO86DRAFT_10298,BO86DRAFT_10298,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169567,BO86DRAFT_1030,BO86DRAFT_1030,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
