#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2419949,55006426,2,HOU46_gp02,PBI_BRIDGETTE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2419949,55006427,3,HOU46_gp03,PBI_BRIDGETTE_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2419949,55006428,4,HOU46_gp04,PBI_BRIDGETTE_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
2419949,55006429,5,HOU46_gp05,PBI_BRIDGETTE_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
2419949,55006430,6,HOU46_gp06,PBI_BRIDGETTE_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2419949,55006431,7,HOU46_gp07,PBI_BRIDGETTE_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006432,8,HOU46_gp08,PBI_BRIDGETTE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006433,9,HOU46_gp09,PBI_BRIDGETTE_9,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
2419949,55006434,10,HOU46_gp10,PBI_BRIDGETTE_10,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
2419949,55006435,11,HOU46_gp11,PBI_BRIDGETTE_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006436,12,HOU46_gp12,PBI_BRIDGETTE_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
2419949,55006437,13,HOU46_gp13,PBI_BRIDGETTE_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006438,14,HOU46_gp14,PBI_BRIDGETTE_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2419949,55006439,16,HOU46_gp15,PBI_BRIDGETTE_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2419949,55006440,17,HOU46_gp17,PBI_BRIDGETTE_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006441,15,HOU46_gp16,PBI_BRIDGETTE_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2419949,55006442,18,HOU46_gp18,PBI_BRIDGETTE_18,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210403,-
2419949,55006443,19,HOU46_gp19,PBI_BRIDGETTE_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2419949,55006444,20,HOU46_gp20,PBI_BRIDGETTE_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2419949,55006445,21,HOU46_gp21,PBI_BRIDGETTE_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2419949,55006446,22,HOU46_gp22,PBI_BRIDGETTE_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2419949,55006447,23,HOU46_gp23,PBI_BRIDGETTE_23,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2419949,55006448,24,HOU46_gp24,PBI_BRIDGETTE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006449,25,HOU46_gp25,PBI_BRIDGETTE_25,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210403,-
2419949,55006450,26,HOU46_gp26,PBI_BRIDGETTE_26,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2419949,55006451,27,HOU46_gp27,PBI_BRIDGETTE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006452,28,HOU46_gp28,PBI_BRIDGETTE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006453,29,HOU46_gp29,PBI_BRIDGETTE_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006454,30,HOU46_gp30,PBI_BRIDGETTE_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2419949,55006455,31,HOU46_gp31,PBI_BRIDGETTE_31,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2419949,55006456,32,HOU46_gp32,PBI_BRIDGETTE_32,-,-,-,lipase,protein-coding,-,-,-,lipase,20210403,-
2419949,55006457,34,HOU46_gp34,PBI_BRIDGETTE_34,-,-,-,integrase,protein-coding,-,-,-,integrase,20210403,-
2419949,55006458,35,HOU46_gp35,PBI_BRIDGETTE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006459,36,HOU46_gp36,PBI_BRIDGETTE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006460,37,HOU46_gp37,PBI_BRIDGETTE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006461,38,HOU46_gp38,PBI_BRIDGETTE_38,-,-,-,integrase,protein-coding,-,-,-,integrase,20210403,-
