#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
445684,10328349,gp33,Syn19_221,-,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20200909,-
445684,10328350,Syn19_220,Syn19_220,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200909,-
445684,10328351,phoH,Syn19_219,-,-,-,-,P-starvation inducible protein,protein-coding,-,-,-,P-starvation inducible protein,20200909,-
445684,10328352,Syn19_218,Syn19_218,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328353,Syn19_216,Syn19_216,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328354,Syn19_215,Syn19_215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328355,Syn19_214,Syn19_214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328356,Syn19_213,Syn19_213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328357,Syn19_212,Syn19_212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328358,nrdC,Syn19_211,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20200909,-
445684,10328359,Syn19_210,Syn19_210,-,-,-,-,DUF680 domain-containing protein,protein-coding,-,-,-,DUF680 domain-containing protein,20200909,-
445684,10328360,Syn19_209,Syn19_209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328361,Syn19_208,Syn19_208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328362,psbD,Syn19_207,-,-,-,-,photosystem II D2 protein,protein-coding,-,-,-,photosystem II D2 protein,20200909,-
445684,10328363,Syn19_206,Syn19_206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328364,psbA,Syn19_205,-,-,-,-,photosystem II D1 protein,protein-coding,-,-,-,photosystem II D1 protein,20200909,-
445684,10328365,Syn19_204,Syn19_204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328366,Syn19_203,Syn19_203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328367,Syn19_202,Syn19_202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328368,hli03,Syn19_201,-,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20200909,-
445684,10328369,hli03,Syn19_200,-,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20200909,-
445684,10328370,Syn19_199,Syn19_199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328371,Syn19_198,Syn19_198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328372,Syn19_197,Syn19_197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328373,Syn19_196,Syn19_196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328374,gp59,Syn19_001,-,-,-,-,loader of gp41 DNA helicase,protein-coding,-,-,-,loader of gp41 DNA helicase,20200909,-
445684,10328375,Syn19_194,Syn19_194,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
445684,10328376,Syn19_193,Syn19_193,-,-,-,-,NAD synthetase,protein-coding,-,-,-,NAD synthetase,20200909,-
445684,10328377,Syn19_192,Syn19_192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328378,Syn19_191,Syn19_191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328379,talC,Syn19_190,-,-,-,-,transaldolase-like protein,protein-coding,-,-,-,transaldolase-like protein,20200909,-
445684,10328380,Syn19_189,Syn19_189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328381,Syn19_188,Syn19_188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328382,Syn19_187,Syn19_187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328383,Syn19_186,Syn19_186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328384,Syn19_185,Syn19_185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328385,nrdB,Syn19_184,-,-,-,-,ribonucleotide reductase class Ia beta subunit,protein-coding,-,-,-,ribonucleotide reductase class Ia beta subunit,20200909,-
445684,10328386,nrdA,Syn19_183,-,-,-,-,ribonucleotide reductase class Ia alpha subunit,protein-coding,-,-,-,ribonucleotide reductase class Ia alpha subunit,20200909,-
445684,10328387,gp61,Syn19_182,-,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20200909,-
