#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1079894,18565038,2,CL59_gp02,REDI_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1079894,18565039,3,CL59_gp03,REDI_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565040,4,CL59_gp04,REDI_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1079894,18565041,5,CL59_gp05,REDI_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200927,-
1079894,18565042,6,CL59_gp06,REDI_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1079894,18565043,7,CL59_gp07,REDI_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565044,8,CL59_gp08,REDI_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565045,9,CL59_gp09,REDI_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200927,-
1079894,18565046,10,CL59_gp10,REDI_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565047,11,CL59_gp11,REDI_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1079894,18565048,12,CL59_gp12,REDI_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565049,13,CL59_gp13,REDI_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565050,15,CL59_gp14,REDI_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1079894,18565051,14,CL59_gp15,REDI_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1079894,18565052,16,CL59_gp16,REDI_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1079894,18565053,17,CL59_gp17,REDI_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1079894,18565054,18,CL59_gp18,REDI_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1079894,18565055,19,CL59_gp19,REDI_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1079894,18565056,20,CL59_gp20,REDI_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1079894,18565057,21,CL59_gp21,REDI_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565058,22,CL59_gp22,REDI_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565059,23,CL59_gp23,REDI_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565060,24,CL59_gp24,REDI_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565061,25,CL59_gp25,REDI_25,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
1079894,18565062,26,CL59_gp26,REDI_26,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1079894,18565063,27,CL59_gp27,REDI_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565064,28,CL59_gp28,REDI_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565065,29,CL59_gp29,REDI_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565066,30,CL59_gp30,REDI_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565067,31,CL59_gp31,REDI_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565068,32,CL59_gp32,REDI_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565069,33,CL59_gp33,REDI_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565070,34,CL59_gp34,REDI_34,-,-,-,HicA-like toxin,protein-coding,-,-,-,HicA-like toxin,20200927,-
1079894,18565071,35,CL59_gp35,REDI_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565072,36,CL59_gp36,REDI_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565073,37,CL59_gp37,REDI_37,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20200927,-
1079894,18565074,38,CL59_gp38,REDI_38,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200927,-
1079894,18565075,39,CL59_gp39,REDI_39,-,-,-,excise,protein-coding,-,-,-,excise,20200927,-
1079894,18565076,40,CL59_gp40,REDI_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565077,41,CL59_gp41,REDI_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565078,42,CL59_gp42,REDI_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565079,43,CL59_gp43,REDI_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565080,44,CL59_gp44,REDI_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565081,45,CL59_gp45,REDI_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565082,46,CL59_gp46,REDI_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565083,47,CL59_gp47,REDI_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565084,48,CL59_gp48,REDI_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565085,49,CL59_gp49,REDI_49,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
1079894,18565086,50,CL59_gp50,REDI_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565087,51,CL59_gp51,REDI_51,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210424,-
1079894,18565088,52,CL59_gp52,REDI_52,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210424,-
