#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1647286,26517362,AU104_gp002,AU104_gp002,GMA7_2,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20200910,-
1647286,26517363,AU104_gp003,AU104_gp003,GMA7_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517364,AU104_gp004,AU104_gp004,GMA7_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517365,AU104_gp005,AU104_gp005,GMA7_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517366,AU104_gp006,AU104_gp006,GMA7_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517367,AU104_gp007,AU104_gp007,GMA7_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517368,AU104_gp008,AU104_gp008,GMA7_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517369,AU104_gp009,AU104_gp009,GMA7_9,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20200910,-
1647286,26517370,AU104_gp010,AU104_gp010,GMA7_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517371,AU104_gp011,AU104_gp011,GMA7_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517372,AU104_gp012,AU104_gp012,GMA7_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517373,AU104_gp013,AU104_gp013,GMA7_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517374,AU104_gp014,AU104_gp014,GMA7_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517375,AU104_gp015,AU104_gp015,GMA7_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517376,AU104_gp016,AU104_gp016,GMA7_16,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20200910,-
1647286,26517377,AU104_gt001,AU104_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1647286,26517378,AU104_gp099,AU104_gp099,GMA7_19,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20200910,-
1647286,26517379,AU104_gp101,AU104_gp101,GMA7_17,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20200910,-
1647286,26517380,AU104_gp098,AU104_gp098,GMA7_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517381,AU104_gp097,AU104_gp097,GMA7_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517382,AU104_gp096,AU104_gp096,GMA7_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517383,AU104_gp095,AU104_gp095,GMA7_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517384,AU104_gp094,AU104_gp094,GMA7_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517385,AU104_gp093,AU104_gp093,GMA7_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517386,AU104_gp092,AU104_gp092,GMA7_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517387,AU104_gp091,AU104_gp091,GMA7_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517388,AU104_gp090,AU104_gp090,GMA7_28,-,-,-,putative lysozyme,protein-coding,-,-,-,putative lysozyme,20200910,-
1647286,26517389,AU104_gp089,AU104_gp089,GMA7_29,-,-,-,putative peptidase,protein-coding,-,-,-,putative peptidase,20200910,-
1647286,26517390,AU104_gp088,AU104_gp088,GMA7_30,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200910,-
1647286,26517391,AU104_gp087,AU104_gp087,GMA7_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517392,AU104_gp086,AU104_gp086,GMA7_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517393,AU104_gp085,AU104_gp085,GMA7_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517394,AU104_gp084,AU104_gp084,GMA7_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517395,AU104_gp083,AU104_gp083,GMA7_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517396,AU104_gp082,AU104_gp082,GMA7_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517397,AU104_gp081,AU104_gp081,GMA7_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517398,AU104_gp080,AU104_gp080,GMA7_38,-,-,-,putative DNA methylase,protein-coding,-,-,-,putative DNA methylase,20200910,-
1647286,26517399,AU104_gp079,AU104_gp079,GMA7_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517400,AU104_gp078,AU104_gp078,GMA7_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517401,AU104_gp077,AU104_gp077,GMA7_41,-,-,-,putative lysin,protein-coding,-,-,-,putative lysin,20200910,-
1647286,26517402,AU104_gp076,AU104_gp076,GMA7_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517403,AU104_gp075,AU104_gp075,GMA7_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517404,AU104_gp074,AU104_gp074,GMA7_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517405,AU104_gp073,AU104_gp073,GMA7_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517406,AU104_gp072,AU104_gp072,GMA7_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517407,AU104_gp071,AU104_gp071,GMA7_47,-,-,-,putative DNA polymerase III beta subunit,protein-coding,-,-,-,putative DNA polymerase III beta subunit,20200910,-
1647286,26517408,AU104_gp070,AU104_gp070,GMA7_48,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20200910,-
1647286,26517409,AU104_gp069,AU104_gp069,GMA7_49,-,-,-,putative DNA binding protein,protein-coding,-,-,-,putative DNA binding protein,20200910,-
1647286,26517410,AU104_gp068,AU104_gp068,GMA7_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517411,AU104_gp067,AU104_gp067,GMA7_51,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20200910,-
1647286,26517412,AU104_gp066,AU104_gp066,GMA7_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517413,AU104_gp065,AU104_gp065,GMA7_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517414,AU104_gp064,AU104_gp064,GMA7_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517415,AU104_gp063,AU104_gp063,GMA7_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517416,AU104_gp062,AU104_gp062,GMA7_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517417,AU104_gp061,AU104_gp061,GMA7_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517418,AU104_gp060,AU104_gp060,GMA7_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517419,AU104_gp059,AU104_gp059,GMA7_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517420,AU104_gp058,AU104_gp058,GMA7_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517421,AU104_gp057,AU104_gp057,GMA7_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517422,AU104_gp056,AU104_gp056,GMA7_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517423,AU104_gp055,AU104_gp055,GMA7_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517424,AU104_gp054,AU104_gp054,GMA7_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
