#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
10255,1486384,C4R,VARVgp024,-,-,-,-,unchracterized protein,protein-coding,-,-,-,unchracterized protein,20201220,-
10255,1486385,C5L,VARVgp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486386,C6L,VARVgp026,-,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20201220,-
10255,1486387,C7L,VARVgp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486388,C8L,VARVgp028,-,-,-,-,Ribonucleoside-diphosphate reductase small chain,protein-coding,-,-,-,Ribonucleoside-diphosphate reductase small chain,20201220,-
10255,1486389,C9L,VARVgp029,-,-,-,-,36 kDa major membrane protein,protein-coding,-,-,-,36 kDa major membrane protein,20201220,-
10255,1486390,D10L,VARVgp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486391,D11L,VARVgp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486392,D12L,VARVgp012,-,-,-,-,secreted complement-binding protein,protein-coding,-,-,-,secreted complement-binding protein,20201220,-
10255,1486393,D13L,VARVgp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486394,D13_5L,VARVgp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486395,D14L,VARVgp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486396,D1L,VARVgp002,-,-,-,-,epidermal growth factor-like protein (EGF-like protein),protein-coding,-,-,-,epidermal growth factor-like protein (EGF-like protein),20201220,-
10255,1486397,D1L,VARVgp001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486398,D3L,VARVgp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486399,D4R,VARVgp004,-,-,-,-,zinc finger-like protein,protein-coding,-,-,-,zinc finger-like protein,20201220,-
10255,1486400,D5L,VARVgp005,-,-,-,-,IL-18 binding protein,protein-coding,-,-,-,IL-18 binding protein,20201220,-
10255,1486401,D6L,VARVgp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486402,D7L,VARVgp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486403,D8L,VARVgp008,-,-,-,-,host-range protein,protein-coding,-,-,-,host-range protein,20201220,-
10255,1486404,D9L,VARVgp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486405,E10R,VARVgp051,-,-,-,-,sulfhydryl oxidase,protein-coding,-,-,-,sulfhydryl oxidase,20201220,-
10255,1486406,E11L,VARVgp052,-,-,-,-,putative virion core protein,protein-coding,-,-,-,putative virion core protein,20201220,-
10255,1486407,E1L,VARVgp042,-,-,-,-,poly(A) polymerase large subunit,protein-coding,-,-,-,poly(A) polymerase large subunit,20201220,-
10255,1486408,E2L,VARVgp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486409,E3L,VARVgp044,-,-,-,-,double-strand RNA-binding protein,protein-coding,-,-,-,double-strand RNA-binding protein,20201220,-
10255,1486410,E4L,VARVgp045,-,-,-,-,RNA polymerase subunit,protein-coding,-,-,-,RNA polymerase subunit,20201220,-
