#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2565781,42364381,LC1Nh_RS00005,LC1Nh_RS00005,LC1Nh_0001,-,-,-,ORC1-type DNA replication protein,protein-coding,-,-,-,ORC1-type DNA replication protein,20191110,-
2565781,42364382,LC1Nh_RS00010,LC1Nh_RS00010,LC1Nh_0002,-,-,-,DNA-directed DNA polymerase II small subunit,protein-coding,-,-,-,DNA-directed DNA polymerase II small subunit,20200926,-
2565781,42364383,LC1Nh_RS00015,LC1Nh_RS00015,LC1Nh_0003,-,-,-,DNA polymerase II large subunit,protein-coding,-,-,-,DNA polymerase II large subunit,20200926,-
2565781,42364384,LC1Nh_RS00020,LC1Nh_RS00020,LC1Nh_0004,-,-,-,CBS domain-containing protein,protein-coding,-,-,-,CBS domain-containing protein,20200926,-
2565781,42364385,LC1Nh_RS00025,LC1Nh_RS00025,LC1Nh_0005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364386,LC1Nh_RS00030,LC1Nh_RS00030,LC1Nh_0006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364387,LC1Nh_RS00035,LC1Nh_RS00035,LC1Nh_0007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364388,LC1Nh_RS00040,LC1Nh_RS00040,LC1Nh_0008,-,-,-,SUMF1/EgtB/PvdO family nonheme iron enzyme,protein-coding,-,-,-,SUMF1/EgtB/PvdO family nonheme iron enzyme,20200926,-
2565781,42364389,LC1Nh_RS00045,LC1Nh_RS00045,LC1Nh_0009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364390,LC1Nh_RS00050,LC1Nh_RS00050,LC1Nh_0010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
2565781,42364391,LC1Nh_RS00055,LC1Nh_RS00055,LC1Nh_0011,-,-,-,ZIP family metal transporter,protein-coding,-,-,-,ZIP family metal transporter,20200926,-
2565781,42364392,LC1Nh_RS00060,LC1Nh_RS00060,LC1Nh_0012,-,-,-,"ribbon-helix-helix protein, CopG family",protein-coding,-,-,-,"ribbon-helix-helix protein, CopG family",20200926,-
2565781,42364393,LC1Nh_RS00065,LC1Nh_RS00065,LC1Nh_0013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364394,LC1Nh_RS00070,LC1Nh_RS00070,LC1Nh_0014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
2565781,42364395,LC1Nh_RS00075,LC1Nh_RS00075,LC1Nh_0015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364396,LC1Nh_RS00080,LC1Nh_RS00080,LC1Nh_0016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
2565781,42364397,LC1Nh_RS00085,LC1Nh_RS00085,LC1Nh_0017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
2565781,42364398,LC1Nh_RS00090,LC1Nh_RS00090,LC1Nh_0018,-,-,-,signal peptidase I,protein-coding,-,-,-,signal peptidase I,20200926,-
2565781,42364399,LC1Nh_RS00095,LC1Nh_RS00095,LC1Nh_0019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364400,LC1Nh_RS00100,LC1Nh_RS00100,LC1Nh_0020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364401,LC1Nh_RS00105,LC1Nh_RS00105,LC1Nh_0021,-,-,-,histone,protein-coding,-,-,-,histone,20191110,-
2565781,42364402,LC1Nh_RS00110,LC1Nh_RS00110,LC1Nh_0022,-,-,-,DUF2240 family protein,protein-coding,-,-,-,DUF2240 family protein,20200926,-
2565781,42364403,radA,LC1Nh_RS00115,LC1Nh_0023,-,-,-,DNA repair and recombination protein RadA,protein-coding,-,-,-,DNA repair and recombination protein RadA,20200926,-
2565781,42364404,LC1Nh_RS00120,LC1Nh_RS00120,LC1Nh_0024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
