#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2652403,60329878,2,I5H50_gp002,SEA_JUICE456_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2652403,60329879,3,I5H50_gp003,SEA_JUICE456_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201129,-
2652403,60329880,4,I5H50_gp004,SEA_JUICE456_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210123,-
2652403,60329881,5,I5H50_gp005,SEA_JUICE456_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2652403,60329882,6,I5H50_gp006,SEA_JUICE456_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2652403,60329883,7,I5H50_gp007,SEA_JUICE456_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2652403,60329884,8,I5H50_gp008,SEA_JUICE456_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2652403,60329885,9,I5H50_gp009,SEA_JUICE456_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2652403,60329886,10,I5H50_gp010,SEA_JUICE456_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
2652403,60329887,11,I5H50_gp011,SEA_JUICE456_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2652403,60329888,12,I5H50_gp012,SEA_JUICE456_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2652403,60329889,14,I5H50_gp013,SEA_JUICE456_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2652403,60329890,15,I5H50_gp015,SEA_JUICE456_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201129,-
2652403,60329891,13,I5H50_gp014,SEA_JUICE456_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2652403,60329892,16,I5H50_gp016,SEA_JUICE456_16,-,-,-,transposase,protein-coding,-,-,-,transposase,20210123,-
2652403,60329893,17,I5H50_gp017,SEA_JUICE456_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2652403,60329894,18,I5H50_gp018,SEA_JUICE456_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2652403,60329895,19,I5H50_gp019,SEA_JUICE456_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2652403,60329896,20,I5H50_gp020,SEA_JUICE456_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2652403,60329897,21,I5H50_gp021,SEA_JUICE456_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2652403,60329898,22,I5H50_gp022,SEA_JUICE456_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2652403,60329899,23,I5H50_gp023,SEA_JUICE456_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329900,24,I5H50_gp024,SEA_JUICE456_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329901,25,I5H50_gp025,SEA_JUICE456_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329902,26,I5H50_gp026,SEA_JUICE456_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329903,27,I5H50_gp027,SEA_JUICE456_27,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210129,-
2652403,60329904,28,I5H50_gp028,SEA_JUICE456_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329905,29,I5H50_gp029,SEA_JUICE456_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329906,30,I5H50_gp030,SEA_JUICE456_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329907,31,I5H50_gp031,SEA_JUICE456_31,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201129,-
2652403,60329908,32,I5H50_gp032,SEA_JUICE456_32,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2652403,60329909,34,I5H50_gp033,SEA_JUICE456_34,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2652403,60329910,35,I5H50_gp034,SEA_JUICE456_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2652403,60329911,36,I5H50_gp035,SEA_JUICE456_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329912,37,I5H50_gp036,SEA_JUICE456_37,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20201129,-
2652403,60329913,38,I5H50_gp037,SEA_JUICE456_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329914,39,I5H50_gp038,SEA_JUICE456_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329915,40,I5H50_gp039,SEA_JUICE456_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329916,41,I5H50_gp040,SEA_JUICE456_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329917,42,I5H50_gp041,SEA_JUICE456_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329918,43,I5H50_gp042,SEA_JUICE456_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329919,44,I5H50_gp043,SEA_JUICE456_44,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210306,-
2652403,60329920,45,I5H50_gp044,SEA_JUICE456_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329921,46,I5H50_gp045,SEA_JUICE456_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329922,47,I5H50_gp046,SEA_JUICE456_47,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2652403,60329923,48,I5H50_gp047,SEA_JUICE456_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2652403,60329924,49,I5H50_gp048,SEA_JUICE456_49,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210306,-
2652403,60329925,50,I5H50_gp049,SEA_JUICE456_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329926,51,I5H50_gp050,SEA_JUICE456_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329927,52,I5H50_gp051,SEA_JUICE456_52,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2652403,60329928,53,I5H50_gp052,SEA_JUICE456_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329929,54,I5H50_gp053,SEA_JUICE456_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329930,55,I5H50_gp054,SEA_JUICE456_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329931,56,I5H50_gp055,SEA_JUICE456_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329932,57,I5H50_gp056,SEA_JUICE456_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2652403,60329933,58,I5H50_gp057,SEA_JUICE456_58,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2652403,60329934,59,I5H50_gp058,SEA_JUICE456_59,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210212,-
2652403,60329935,60,I5H50_gp059,SEA_JUICE456_60,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2652403,60329936,61,I5H50_gp060,SEA_JUICE456_61,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2652403,60329937,62,I5H50_gp061,SEA_JUICE456_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329938,63,I5H50_gp062,SEA_JUICE456_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329939,64,I5H50_gp063,SEA_JUICE456_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2652403,60329940,65,I5H50_gp064,SEA_JUICE456_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2652403,60329941,66,I5H50_gp065,SEA_JUICE456_66,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2652403,60329942,67,I5H50_gp066,SEA_JUICE456_67,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2652403,60329943,68,I5H50_gp067,SEA_JUICE456_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329944,69,I5H50_gp068,SEA_JUICE456_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329945,70,I5H50_gp069,SEA_JUICE456_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329946,71,I5H50_gp070,SEA_JUICE456_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329947,72,I5H50_gp071,SEA_JUICE456_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329948,73,I5H50_gp072,SEA_JUICE456_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329949,74,I5H50_gp073,SEA_JUICE456_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
