#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1229787,13827261,2,D289_gp02,P104A_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1229787,13827262,3,D289_gp03,P104A_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1229787,13827263,4,D289_gp04,P104A_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229787,13827264,5,D289_gp05,P104A_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1229787,13827265,6,D289_gp06,P104A_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1229787,13827266,7,D289_gp07,P104A_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1229787,13827267,8,D289_gp08,P104A_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229787,13827268,9,D289_gp09,P104A_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229787,13827269,10,D289_gp10,P104A_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229787,13827270,11,D289_gp11,P104A_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1229787,13827271,13,D289_gp12,P104A_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1229787,13827272,14,D289_gp14,P104A_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1229787,13827273,12,D289_gp13,P104A_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1229787,13827274,15,D289_gp15,P104A_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229787,13827275,16,D289_gp16,P104A_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229787,13827276,17,D289_gp17,P104A_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229787,13827277,18,D289_gp18,P104A_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229787,13827278,19,D289_gp19,P104A_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229787,13827279,20,D289_gp20,P104A_20,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200927,-
1229787,13827280,21,D289_gp21,P104A_21,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1229787,13827281,22,D289_gp22,P104A_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229787,13827282,23,D289_gp23,P104A_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229787,13827283,24,D289_gp24,P104A_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229787,13827284,25,D289_gp25,P104A_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229787,13827285,26,D289_gp26,P104A_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229787,13827286,27,D289_gp27,P104A_27,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1229787,13827287,28,D289_gp28,P104A_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229787,13827288,29,D289_gp29,P104A_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229787,13827289,30,D289_gp30,P104A_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229787,13827290,31,D289_gp31,P104A_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229787,13827291,33,D289_gp33,P104A_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
