#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
204270,1482606,gp12,phiKMVp12,-,-,-,-,putative DNA binding protein,protein-coding,-,-,-,putative DNA binding protein,20210212,-
204270,1482607,gp17,phiKMVp17,-,-,-,-,ATP-dependent DNA ligase,protein-coding,-,-,-,ATP-dependent DNA ligase,20201220,-
204270,1482608,gp19,phiKMVp19,-,-,-,-,putative DNA directed DNA polymerase,protein-coding,-,-,-,putative DNA directed DNA polymerase,20210212,-
204270,1482609,gp23,phiKMVp23,-,-,-,-,putative DNA endonuclease VII,protein-coding,-,-,-,putative DNA endonuclease VII,20210212,-
204270,1482610,gp26,phiKMVp26,-,-,-,-,T3/T7-like RNA polymerase,protein-coding,-,-,-,T3/T7-like RNA polymerase,20201220,-
204270,1482611,gp30,phiKMVp30,-,-,-,-,head-tail connector protein,protein-coding,-,-,-,head-tail connector protein,20210212,-
204270,1482612,gp31,phiKMVp31,-,-,-,-,putative scaffolding protein,protein-coding,-,-,-,putative scaffolding protein,20201220,-
204270,1482613,gp32,phiKMVp32,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201220,-
204270,1482614,gp33,phiKMVp33,-,-,-,-,tail tubular protein A,protein-coding,-,-,-,tail tubular protein A,20201220,-
204270,1482615,gp34,phiKMVp34,-,-,-,-,tail tubular protein B,protein-coding,-,-,-,tail tubular protein B,20201220,-
204270,1482616,gp36,phiKMVp36,-,-,-,-,structural protein containing C-terminal lysozyme domain,protein-coding,-,-,-,structural protein containing C-terminal lysozyme domain,20201220,-
204270,1482617,gp43,phiKMVp43,-,-,-,-,putative DNA maturase B,protein-coding,-,-,-,putative DNA maturase B,20210212,-
204270,1482618,gp45,phiKMVp45,-,-,-,-,putative phage lysozyme,protein-coding,-,-,-,putative phage lysozyme,20201220,-
204270,2641749,phiKMVp42,phiKMVp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
204270,2641750,phiKMVp18,phiKMVp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
204270,2641751,phiKMVp07,phiKMVp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
204270,2641752,gp48,phiKMVp48,-,-,-,-,minor structural protein,protein-coding,-,-,-,minor structural protein,20201220,-
204270,2641753,phiKMVp41,phiKMVp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
204270,2641754,phiKMVp39,phiKMVp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
204270,2641755,phiKMVp22,phiKMVp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
