#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2584498,60332970,2,I5H80_gp002,SEA_POLKA14_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210406,-
2584498,60332971,3,I5H80_gp003,SEA_POLKA14_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2584498,60332972,4,I5H80_gp004,SEA_POLKA14_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2584498,60332973,5,I5H80_gp005,SEA_POLKA14_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2584498,60332974,6,I5H80_gp006,SEA_POLKA14_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2584498,60332975,7,I5H80_gp007,SEA_POLKA14_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2584498,60332976,8,I5H80_gp008,SEA_POLKA14_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2584498,60332977,9,I5H80_gp009,SEA_POLKA14_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2584498,60332978,10,I5H80_gp010,SEA_POLKA14_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2584498,60332979,11,I5H80_gp011,SEA_POLKA14_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2584498,60332980,13,I5H80_gp012,SEA_POLKA14_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2584498,60332981,14,I5H80_gp014,SEA_POLKA14_14,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2584498,60332982,12,I5H80_gp013,SEA_POLKA14_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2584498,60332983,15,I5H80_gp015,SEA_POLKA14_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
2584498,60332984,16,I5H80_gp016,SEA_POLKA14_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2584498,60332985,17,I5H80_gp017,SEA_POLKA14_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2584498,60332986,18,I5H80_gp018,SEA_POLKA14_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2584498,60332987,19,I5H80_gp019,SEA_POLKA14_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2584498,60332988,20,I5H80_gp020,SEA_POLKA14_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
2584498,60332989,21,I5H80_gp021,SEA_POLKA14_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2584498,60332990,22,I5H80_gp022,SEA_POLKA14_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60332991,23,I5H80_gp023,SEA_POLKA14_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60332992,24,I5H80_gp024,SEA_POLKA14_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60332993,25,I5H80_gp025,SEA_POLKA14_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60332994,26,I5H80_gp026,SEA_POLKA14_26,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2584498,60332995,27,I5H80_gp027,SEA_POLKA14_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60332996,28,I5H80_gp028,SEA_POLKA14_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60332997,29,I5H80_gp029,SEA_POLKA14_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
