#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2047830,54985841,HOS44_gp002,HOS44_gp002,SEA_BENTHERDUNTHAT_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210403,-
2047830,54985842,HOS44_gp003,HOS44_gp003,SEA_BENTHERDUNTHAT_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2047830,54985843,HOS44_gp004,HOS44_gp004,SEA_BENTHERDUNTHAT_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2047830,54985844,HOS44_gp005,HOS44_gp005,SEA_BENTHERDUNTHAT_5,-,-,-,capsid assembly protease,protein-coding,-,-,-,capsid assembly protease,20201221,-
2047830,54985845,HOS44_gp006,HOS44_gp006,SEA_BENTHERDUNTHAT_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
2047830,54985846,HOS44_gp007,HOS44_gp007,SEA_BENTHERDUNTHAT_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2047830,54985847,HOS44_gp008,HOS44_gp008,SEA_BENTHERDUNTHAT_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985848,HOS44_gp009,HOS44_gp009,SEA_BENTHERDUNTHAT_9,-,-,-,head to tail connector,protein-coding,-,-,-,head to tail connector,20201221,-
2047830,54985849,HOS44_gp010,HOS44_gp010,SEA_BENTHERDUNTHAT_10,-,-,-,head to tail connector,protein-coding,-,-,-,head to tail connector,20201221,-
2047830,54985850,HOS44_gp011,HOS44_gp011,SEA_BENTHERDUNTHAT_11,-,-,-,head to tail connector,protein-coding,-,-,-,head to tail connector,20201221,-
2047830,54985851,HOS44_gp012,HOS44_gp012,SEA_BENTHERDUNTHAT_12,-,-,-,head to tail connector,protein-coding,-,-,-,head to tail connector,20201221,-
2047830,54985852,HOS44_gp013,HOS44_gp013,SEA_BENTHERDUNTHAT_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2047830,54985853,HOS44_gp014,HOS44_gp014,SEA_BENTHERDUNTHAT_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985854,HOS44_gp015,HOS44_gp015,SEA_BENTHERDUNTHAT_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210403,-
