#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1034143,26638286,2,AVV57_gp02,PHIPPS_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200927,-
1034143,26638287,3,AVV57_gp03,PHIPPS_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638288,4,AVV57_gp04,PHIPPS_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638289,5,AVV57_gp05,PHIPPS_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638290,6,AVV57_gp06,PHIPPS_6,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210123,-
1034143,26638291,7,AVV57_gp07,PHIPPS_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1034143,26638292,8,AVV57_gp08,PHIPPS_8,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1034143,26638293,9,AVV57_gp09,PHIPPS_9,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20200927,-
1034143,26638294,10,AVV57_gp10,PHIPPS_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1034143,26638295,12,AVV57_gp12,PHIPPS_12,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1034143,26638296,13,AVV57_gp13,PHIPPS_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638297,14,AVV57_gp14,PHIPPS_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638298,15,AVV57_gp15,PHIPPS_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638299,16,AVV57_gp16,PHIPPS_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638300,17,AVV57_gp17,PHIPPS_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638301,18,AVV57_gp18,PHIPPS_18,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20200927,-
1034143,26638302,19,AVV57_gp19,PHIPPS_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638303,20,AVV57_gp20,PHIPPS_20,-,-,-,queuine-tRNA ribosyltransferase,protein-coding,-,-,-,queuine-tRNA ribosyltransferase,20200927,-
1034143,26638304,21,AVV57_gp21,PHIPPS_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638305,22,AVV57_gp22,PHIPPS_22,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1034143,26638306,23,AVV57_gp23,PHIPPS_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638307,24,AVV57_gp24,PHIPPS_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638308,25,AVV57_gp25,PHIPPS_25,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1034143,26638309,26,AVV57_gp26,PHIPPS_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638310,27,AVV57_gp27,PHIPPS_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638311,28,AVV57_gp28,PHIPPS_28,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1034143,26638312,29,AVV57_gp29,PHIPPS_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1034143,26638313,30,AVV57_gp30,PHIPPS_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1034143,26638314,31,AVV57_gp31,PHIPPS_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1034143,26638315,32,AVV57_gp32,PHIPPS_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1034143,26638316,33,AVV57_gp33,PHIPPS_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1034143,26638317,34,AVV57_gp34,PHIPPS_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638318,35,AVV57_gp35,PHIPPS_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638319,36,AVV57_gp36,PHIPPS_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638320,37,AVV57_gp37,PHIPPS_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638321,38,AVV57_gp38,PHIPPS_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638322,39,AVV57_gp39,PHIPPS_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638323,40,AVV57_gp40,PHIPPS_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638324,41,AVV57_gp41,PHIPPS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638325,42,AVV57_gp42,PHIPPS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
