#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2027250,55808095,HYP44_gp02,HYP44_gp02,LP9207_02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2027250,55808096,HYP44_gp03,HYP44_gp03,LP9207_03,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200912,-
2027250,55808097,HYP44_gp04,HYP44_gp04,LP9207_04,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2027250,55808098,HYP44_gp05,HYP44_gp05,LP9207_05,-,-,-,protease,protein-coding,-,-,-,protease,20210424,-
2027250,55808099,HYP44_gp06,HYP44_gp06,LP9207_06,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200704,-
2027250,55808100,HYP44_gp07,HYP44_gp07,LP9207_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808101,HYP44_gp08,HYP44_gp08,LP9207_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808102,HYP44_gp09,HYP44_gp09,LP9207_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808103,HYP44_gp10,HYP44_gp10,LP9207_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808104,HYP44_gp11,HYP44_gp11,LP9207_11,-,-,-,neck passage structure,protein-coding,-,-,-,neck passage structure,20210424,-
2027250,55808105,HYP44_gp12,HYP44_gp12,LP9207_12,-,-,-,neck passage structure,protein-coding,-,-,-,neck passage structure,20210424,-
2027250,55808106,HYP44_gp13,HYP44_gp13,LP9207_14,-,-,-,major tail protein extension,protein-coding,-,-,-,major tail protein extension,20210424,-
2027250,55808107,HYP44_gp15,HYP44_gp15,LP9207_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808108,HYP44_gp14,HYP44_gp14,LP9207_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210424,-
2027250,55808109,HYP44_gp16,HYP44_gp16,LP9207_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808110,HYP44_gp17,HYP44_gp17,LP9207_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2027250,55808111,HYP44_gp18,HYP44_gp18,LP9207_18,-,-,-,distal tail protein,protein-coding,-,-,-,distal tail protein,20210424,-
2027250,55808112,HYP44_gp19,HYP44_gp19,LP9207_19,-,-,-,tail associated lysin,protein-coding,-,-,-,tail associated lysin,20210424,-
2027250,55808113,HYP44_gp20,HYP44_gp20,LP9207_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808114,HYP44_gp21,HYP44_gp21,LP9207_21,-,-,-,receptor binding protein,protein-coding,-,-,-,receptor binding protein,20210424,-
2027250,55808115,HYP44_gp22,HYP44_gp22,LP9207_22,-,-,-,holin,protein-coding,-,-,-,holin,20200704,-
2027250,55808116,HYP44_gp23,HYP44_gp23,LP9207_23,-,-,-,lysin,protein-coding,-,-,-,lysin,20210424,-
2027250,55808117,HYP44_gp24,HYP44_gp24,LP9207_24,-,-,-,putative lytic transglycosylase,protein-coding,-,-,-,putative lytic transglycosylase,20210515,-
2027250,55808118,HYP44_gp25,HYP44_gp25,LP9207_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808119,HYP44_gp26,HYP44_gp26,LP9207_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808120,HYP44_gp27,HYP44_gp27,LP9207_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808121,HYP44_gp28,HYP44_gp28,LP9207_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808122,HYP44_gp29,HYP44_gp29,LP9207_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808123,HYP44_gp30,HYP44_gp30,LP9207_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808124,HYP44_gp31,HYP44_gp31,LP9207_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2027250,55808125,HYP44_gp32,HYP44_gp32,LP9207_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808126,HYP44_gp33,HYP44_gp33,LP9207_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
