#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2502425,65118726,2,KNU45_gp002,SEA_OCHI17_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2502425,65118727,3,KNU45_gp003,SEA_OCHI17_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2502425,65118728,4,KNU45_gp004,SEA_OCHI17_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210607,-
2502425,65118729,5,KNU45_gp005,SEA_OCHI17_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210607,-
2502425,65118730,6,KNU45_gp006,SEA_OCHI17_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2502425,65118731,7,KNU45_gp007,SEA_OCHI17_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210607,-
2502425,65118732,8,KNU45_gp008,SEA_OCHI17_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210607,-
2502425,65118733,9,KNU45_gp009,SEA_OCHI17_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118734,10,KNU45_gp010,SEA_OCHI17_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210607,-
2502425,65118735,11,KNU45_gp011,SEA_OCHI17_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210607,-
2502425,65118736,13,KNU45_gp012,SEA_OCHI17_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210607,-
2502425,65118737,14,KNU45_gp014,SEA_OCHI17_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210607,-
2502425,65118738,12,KNU45_gp013,SEA_OCHI17_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210607,-
2502425,65118739,15,KNU45_gp015,SEA_OCHI17_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2502425,65118740,16,KNU45_gp016,SEA_OCHI17_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2502425,65118741,17,KNU45_gp017,SEA_OCHI17_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2502425,65118742,18,KNU45_gp018,SEA_OCHI17_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2502425,65118743,19,KNU45_gp019,SEA_OCHI17_19,-,-,-,D-ala-D-ala carboxypeptidase,protein-coding,-,-,-,D-ala-D-ala carboxypeptidase,20210607,-
2502425,65118744,20,KNU45_gp020,SEA_OCHI17_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2502425,65118745,21,KNU45_gp021,SEA_OCHI17_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118746,22,KNU45_gp022,SEA_OCHI17_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118747,23,KNU45_gp023,SEA_OCHI17_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2502425,65118748,24,KNU45_gp024,SEA_OCHI17_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118749,25,KNU45_gp025,SEA_OCHI17_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118750,26,KNU45_gp026,SEA_OCHI17_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118751,27,KNU45_gp027,SEA_OCHI17_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118752,28,KNU45_gp028,SEA_OCHI17_28,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210607,-
2502425,65118753,29,KNU45_gp029,SEA_OCHI17_29,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210607,-
2502425,65118754,30,KNU45_gp030,SEA_OCHI17_30,-,-,-,holin,protein-coding,-,-,-,holin,20210612,-
2502425,65118755,31,KNU45_gp031,SEA_OCHI17_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118756,32,KNU45_gp032,SEA_OCHI17_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118757,33,KNU45_gp033,SEA_OCHI17_33,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210607,-
2502425,65118758,34,KNU45_gp034,SEA_OCHI17_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118759,35,KNU45_gp035,SEA_OCHI17_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118760,36,KNU45_gp036,SEA_OCHI17_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118761,37,KNU45_gp037,SEA_OCHI17_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118762,38,KNU45_gp038,SEA_OCHI17_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118763,39,KNU45_gp039,SEA_OCHI17_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118764,40,KNU45_gp040,SEA_OCHI17_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118765,41,KNU45_gp041,SEA_OCHI17_41,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210607,-
2502425,65118766,42,KNU45_gp042,SEA_OCHI17_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118767,43,KNU45_gp043,SEA_OCHI17_43,-,-,-,integrase,protein-coding,-,-,-,integrase,20210607,-
2502425,65118768,44,KNU45_gp044,SEA_OCHI17_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118769,45,KNU45_gp045,SEA_OCHI17_45,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210607,-
2502425,65118770,46,KNU45_gp046,SEA_OCHI17_46,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210607,-
2502425,65118771,47,KNU45_gp047,SEA_OCHI17_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118772,48,KNU45_gp048,SEA_OCHI17_48,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210607,-
2502425,65118773,49,KNU45_gp049,SEA_OCHI17_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118774,50,KNU45_gp050,SEA_OCHI17_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118775,51,KNU45_gp051,SEA_OCHI17_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118776,52,KNU45_gp052,SEA_OCHI17_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118777,53,KNU45_gp053,SEA_OCHI17_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2502425,65118778,54,KNU45_gp054,SEA_OCHI17_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118779,55,KNU45_gp055,SEA_OCHI17_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118780,56,KNU45_gp056,SEA_OCHI17_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118781,57,KNU45_gp057,SEA_OCHI17_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118782,58,KNU45_gp058,SEA_OCHI17_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118783,59,KNU45_gp059,SEA_OCHI17_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118784,60,KNU45_gp060,SEA_OCHI17_60,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210607,-
2502425,65118785,61,KNU45_gp061,SEA_OCHI17_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118786,62,KNU45_gp062,SEA_OCHI17_62,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210607,-
2502425,65118787,63,KNU45_gp063,SEA_OCHI17_63,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,20210607,-
2502425,65118788,64,KNU45_gp064,SEA_OCHI17_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118789,65,KNU45_gp065,SEA_OCHI17_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118790,66,KNU45_gp066,SEA_OCHI17_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118791,67,KNU45_gp067,SEA_OCHI17_67,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210607,-
2502425,65118792,68,KNU45_gp068,SEA_OCHI17_68,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210607,-
2502425,65118793,69,KNU45_gp069,SEA_OCHI17_69,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2502425,65118794,70,KNU45_gp070,SEA_OCHI17_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118795,71,KNU45_gp071,SEA_OCHI17_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118796,72,KNU45_gp072,SEA_OCHI17_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118797,73,KNU45_gp073,SEA_OCHI17_73,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210607,-
2502425,65118798,74,KNU45_gp074,SEA_OCHI17_74,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210607,-
2502425,65118799,75,KNU45_gp075,SEA_OCHI17_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118800,76,KNU45_gp076,SEA_OCHI17_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118801,77,KNU45_gp077,SEA_OCHI17_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118802,78,KNU45_gp078,SEA_OCHI17_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118803,79,KNU45_gp079,SEA_OCHI17_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118804,80,KNU45_gp080,SEA_OCHI17_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118805,81,KNU45_gp081,SEA_OCHI17_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118806,82,KNU45_gp082,SEA_OCHI17_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118807,83,KNU45_gp083,SEA_OCHI17_83,-,-,-,MPME2 protein,protein-coding,-,-,-,MPME2 protein,20210607,-
2502425,65118808,84,KNU45_gp084,SEA_OCHI17_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118809,85,KNU45_gp085,SEA_OCHI17_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118810,86,KNU45_gp086,SEA_OCHI17_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118811,87,KNU45_gp087,SEA_OCHI17_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118812,88,KNU45_gp088,SEA_OCHI17_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118813,89,KNU45_gp089,SEA_OCHI17_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118814,90,KNU45_gp090,SEA_OCHI17_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118815,91,KNU45_gp091,SEA_OCHI17_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118816,92,KNU45_gp092,SEA_OCHI17_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118817,93,KNU45_gp093,SEA_OCHI17_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118818,94,KNU45_gp094,SEA_OCHI17_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118819,95,KNU45_gp095,SEA_OCHI17_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118820,96,KNU45_gp096,SEA_OCHI17_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118821,97,KNU45_gp097,SEA_OCHI17_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118822,98,KNU45_gp098,SEA_OCHI17_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118823,99,KNU45_gp099,SEA_OCHI17_99,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210607,-
2502425,65118824,100,KNU45_gp100,SEA_OCHI17_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118825,101,KNU45_gp101,SEA_OCHI17_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118826,102,KNU45_gp102,SEA_OCHI17_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118827,103,KNU45_gp103,SEA_OCHI17_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118828,104,KNU45_gp104,SEA_OCHI17_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118829,105,KNU45_gp105,SEA_OCHI17_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118830,106,KNU45_gp106,SEA_OCHI17_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2502425,65118831,107,KNU45_gp107,SEA_OCHI17_107,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210607,-
2502425,65118832,108,KNU45_gp108,SEA_OCHI17_108,-,-,-,galactosyltransferase,protein-coding,-,-,-,galactosyltransferase,20210607,-
2502425,65118833,109,KNU45_gp109,SEA_OCHI17_109,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210607,-
2502425,65118834,110,KNU45_gp110,SEA_OCHI17_110,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2502425,65118835,1,KNU45_gp001,SEA_OCHI17_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
2502425,65243024,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
