#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1036614,40066766,2,FDG57_gp002,MUTAFORMA13_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
1036614,40066767,3,FDG57_gp003,MUTAFORMA13_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
1036614,40066768,4,FDG57_gp004,MUTAFORMA13_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201220,-
1036614,40066769,5,FDG57_gp005,MUTAFORMA13_5,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201220,-
1036614,40066770,6,FDG57_gp006,MUTAFORMA13_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
1036614,40066771,7,FDG57_gp007,MUTAFORMA13_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066772,8,FDG57_gp008,MUTAFORMA13_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066773,9,FDG57_gp009,MUTAFORMA13_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1036614,40066774,10,FDG57_gp010,MUTAFORMA13_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066775,11,FDG57_gp011,MUTAFORMA13_11,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201220,-
1036614,40066776,13,FDG57_gp012,MUTAFORMA13_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
1036614,40066777,14,FDG57_gp014,MUTAFORMA13_14,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201220,-
1036614,40066778,12,FDG57_gp013,MUTAFORMA13_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
1036614,40066779,15,FDG57_gp015,MUTAFORMA13_15,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201220,-
