#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
945083,40090252,FDI58_gp02,FDI58_gp02,P858_02,-,-,-,minor tail protein M,protein-coding,-,-,-,minor tail protein M,20201220,-
945083,40090253,FDI58_gp03,FDI58_gp03,P858_03,-,-,-,minor tail protein l,protein-coding,-,-,-,minor tail protein l,20201220,-
945083,40090254,FDI58_gp04,FDI58_gp04,P858_04,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20201220,-
945083,40090255,FDI58_gp05,FDI58_gp05,P858_05,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20201220,-
945083,40090256,FDI58_gp06,FDI58_gp06,P858_06,-,-,-,host specificity protein,protein-coding,-,-,-,host specificity protein,20201220,-
945083,40090257,FDI58_gp07,FDI58_gp07,P858_07,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201220,-
945083,40090258,FDI58_gp08,FDI58_gp08,P858_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090259,FDI58_gp09,FDI58_gp09,P858_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090260,FDI58_gp10,FDI58_gp10,P858_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090261,FDI58_gp11,FDI58_gp11,P858_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090262,FDI58_gp12,FDI58_gp12,P858_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090263,FDI58_gp13,FDI58_gp13,P858_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090264,FDI58_gp14,FDI58_gp14,P858_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090265,FDI58_gp15,FDI58_gp15,P858_15,-,-,-,N-6-adenine-methyltransferase,protein-coding,-,-,-,N-6-adenine-methyltransferase,20201220,-
945083,40090266,FDI58_gp16,FDI58_gp16,P858_16,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20201220,-
945083,40090267,FDI58_gp17,FDI58_gp17,P858_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090268,FDI58_gp18,FDI58_gp18,P858_18,-,-,-,helicase,protein-coding,-,-,-,helicase,20201220,-
945083,40090269,FDI58_gp19,FDI58_gp19,P858_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090270,FDI58_gp20,FDI58_gp20,P858_20,-,-,-,DNA repair ATPase,protein-coding,-,-,-,DNA repair ATPase,20201220,-
945083,40090271,FDI58_gp21,FDI58_gp21,P858_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090272,FDI58_gp22,FDI58_gp22,P858_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090273,FDI58_gp23,FDI58_gp23,P858_23,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201220,-
945083,40090274,FDI58_gp24,FDI58_gp24,P858_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090275,FDI58_gp25,FDI58_gp25,P858_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090276,FDI58_gp26,FDI58_gp26,P858_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090277,FDI58_gp27,FDI58_gp27,P858_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090278,FDI58_gp28,FDI58_gp28,P858_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090279,FDI58_gp29,FDI58_gp29,P858_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090280,FDI58_gp30,FDI58_gp30,P858_30,-,-,-,putative replicative helicase/primase,protein-coding,-,-,-,putative replicative helicase/primase,20201220,-
