#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1225861,40067446,2,FDG65_gp002,DOROTHY_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1225861,40067447,5,FDG65_gp005,DOROTHY_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1225861,40067448,6,FDG65_gp006,DOROTHY_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
1225861,40067449,7,FDG65_gp007,DOROTHY_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067450,8,FDG65_gp008,DOROTHY_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067451,9,FDG65_gp009,DOROTHY_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1225861,40067452,10,FDG65_gp010,DOROTHY_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067453,11,FDG65_gp011,DOROTHY_11,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1225861,40067454,14,FDG65_gp014,DOROTHY_14,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201221,-
1225861,40067455,15,FDG65_gp015,DOROTHY_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1225861,40067456,16,FDG65_gp016,DOROTHY_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1225861,40067457,17,FDG65_gp017,DOROTHY_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1225861,40067458,19,FDG65_gp019,DOROTHY_19,-,-,-,D-Ala-D-Ala carboxypeptidase,protein-coding,-,-,-,D-Ala-D-Ala carboxypeptidase,20210417,-
1225861,40067459,20,FDG65_gp020,DOROTHY_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
1225861,40067460,21,FDG65_gp021,DOROTHY_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067461,22,FDG65_gp022,DOROTHY_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067462,23,FDG65_gp023,DOROTHY_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067463,24,FDG65_gp024,DOROTHY_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067464,25,FDG65_gp025,DOROTHY_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067465,26,FDG65_gp026,DOROTHY_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067466,27,FDG65_gp027,DOROTHY_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067467,28,FDG65_gp028,DOROTHY_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067468,29,FDG65_gp029,DOROTHY_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067469,30,FDG65_gp030,DOROTHY_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1225861,40067470,31,FDG65_gp031,DOROTHY_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
