#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2686242,55625202,HWC85_gp02,HWC85_gp02,lotta81_gp002,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20210313,-
2686242,55625203,HWC85_gp03,HWC85_gp03,lotta81_gp003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2686242,55625204,HWC85_gp04,HWC85_gp04,lotta81_gp004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625205,HWC85_gp05,HWC85_gp05,lotta81_gp005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625206,HWC85_gp06,HWC85_gp06,lotta81_gp006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625207,HWC85_gp07,HWC85_gp07,lotta81_gp007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625208,HWC85_gp08,HWC85_gp08,lotta81_gp008,-,-,-,helicase,protein-coding,-,-,-,helicase,20210313,-
2686242,55625209,HWC85_gp09,HWC85_gp09,lotta81_gp009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625210,HWC85_gp10,HWC85_gp10,lotta81_gp010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625211,HWC85_gp11,HWC85_gp11,lotta81_gp011,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210313,-
2686242,55625212,HWC85_gp12,HWC85_gp12,lotta81_gp012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625213,HWC85_gp13,HWC85_gp13,lotta81_gp013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625214,HWC85_gp14,HWC85_gp14,lotta81_gp014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625215,HWC85_gp15,HWC85_gp15,lotta81_gp015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625216,HWC85_gp16,HWC85_gp16,lotta81_gp016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625217,HWC85_gp17,HWC85_gp17,lotta81_gp017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625218,HWC85_gp18,HWC85_gp18,lotta81_gp018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625219,HWC85_gp19,HWC85_gp19,lotta81_gp019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625220,HWC85_gp20,HWC85_gp20,lotta81_gp020,-,-,-,N-domain protein,protein-coding,-,-,-,N-domain protein,20210313,-
2686242,55625221,HWC85_gp21,HWC85_gp21,lotta81_gp021,-,-,-,virulence-associated protein E,protein-coding,-,-,-,virulence-associated protein E,20210313,-
2686242,55625222,HWC85_gp22,HWC85_gp22,lotta81_gp022,-,-,-,VRR-NUC domain-containing protein,protein-coding,-,-,-,VRR-NUC domain-containing protein,20210313,-
2686242,55625223,HWC85_gp23,HWC85_gp23,lotta81_gp023,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210313,-
2686242,55625224,HWC85_gp24,HWC85_gp24,lotta81_gp024,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210313,-
2686242,55625225,HWC85_gp25,HWC85_gp25,lotta81_gp025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625226,HWC85_gp26,HWC85_gp26,lotta81_gp026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2686242,55625227,HWC85_gp27,HWC85_gp27,lotta81_gp027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2686242,55625228,HWC85_gp28,HWC85_gp28,lotta81_gp028,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210313,-
2686242,55625229,HWC85_gp29,HWC85_gp29,lotta81_gp029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625230,HWC85_gp30,HWC85_gp30,lotta81_gp030,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200620,-
2686242,55625231,HWC85_gp31,HWC85_gp31,lotta81_gp031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625232,HWC85_gp32,HWC85_gp32,lotta81_gp032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625233,HWC85_gp33,HWC85_gp33,lotta81_gp033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625234,HWC85_gp34,HWC85_gp34,lotta81_gp034,-,-,-,protease,protein-coding,-,-,-,protease,20210313,-
2686242,55625235,HWC85_gp35,HWC85_gp35,lotta81_gp035,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200620,-
2686242,55625236,HWC85_gp36,HWC85_gp36,lotta81_gp036,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210313,-
2686242,55625237,HWC85_gp37,HWC85_gp37,lotta81_gp037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625238,HWC85_gp38,HWC85_gp38,lotta81_gp038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625239,HWC85_gp39,HWC85_gp39,lotta81_gp039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625240,HWC85_gp40,HWC85_gp40,lotta81_gp040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2686242,55625241,HWC85_gp41,HWC85_gp41,lotta81_gp041,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200620,-
2686242,55625242,HWC85_gp42,HWC85_gp42,lotta81_gp042,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200620,-
2686242,55625243,HWC85_gp43,HWC85_gp43,lotta81_gp043,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200620,-
2686242,55625244,HWC85_gp44,HWC85_gp44,lotta81_gp044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625245,HWC85_gp45,HWC85_gp45,lotta81_gp045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625246,HWC85_gp46,HWC85_gp46,lotta81_gp046,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200620,-
2686242,55625247,HWC85_gp47,HWC85_gp47,lotta81_gp047,-,-,-,nucleotidyltransferase,protein-coding,-,-,-,nucleotidyltransferase,20200620,-
2686242,55625248,HWC85_gp48,HWC85_gp48,lotta81_gp048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625249,HWC85_gp49,HWC85_gp49,lotta81_gp049,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210313,-
2686242,55625250,HWC85_gp50,HWC85_gp50,lotta81_gp050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625251,HWC85_gp51,HWC85_gp51,lotta81_gp051,-,-,-,amidase,protein-coding,-,-,-,amidase,20210313,-
2686242,55625252,HWC85_gp52,HWC85_gp52,lotta81_gp052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625253,HWC85_gp53,HWC85_gp53,lotta81_gp053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55625254,HWC85_gp01,HWC85_gp01,lotta81_gp001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686242,55636081,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
