#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
91740,37616156,D1O93_gp02,D1O93_gp02,-,-,-,-,hypothetical v-bcl2,protein-coding,-,-,-,hypothetical v-bcl2,20181103,-
91740,37616157,D1O93_gp03,D1O93_gp03,-,-,-,-,major DNA binding protein,protein-coding,-,-,-,major DNA binding protein,20181103,-
91740,37616158,D1O93_gp04,D1O93_gp04,-,-,-,-,transport protein,protein-coding,-,-,-,transport protein,20181103,-
91740,37616159,D1O93_gp05,D1O93_gp05,-,-,-,-,glycoprotein B,protein-coding,-,-,-,glycoprotein B,20181103,-
91740,37616160,D1O93_gp06,D1O93_gp06,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20181103,-
91740,37616161,D1O93_gp07,D1O93_gp07,-,-,-,-,hypothetical v-GCR,protein-coding,-,-,-,hypothetical v-GCR,20181103,-
91740,37616162,D1O93_gp08,D1O93_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
91740,37616163,D1O93_gp09,D1O93_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
91740,37616164,D1O93_gp10,D1O93_gp10,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20181103,-
91740,37616165,D1O93_gp11,D1O93_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
91740,37616166,D1O93_gp12,D1O93_gp12,-,-,-,-,tegument protein,protein-coding,-,-,-,tegument protein,20181103,-
91740,37616167,D1O93_gp13,D1O93_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
91740,37616168,D1O93_gp14,D1O93_gp14,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20181103,-
91740,37616169,D1O93_gp15,D1O93_gp15,-,-,-,-,glycoprotein H,protein-coding,-,-,-,glycoprotein H,20181103,-
91740,37616170,D1O93_gp16,D1O93_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
91740,37616171,D1O93_gp17,D1O93_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
91740,37616172,D1O93_gp18,D1O93_gp18,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20181103,-
91740,37616173,D1O93_gp19,D1O93_gp19,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20181103,-
91740,37616174,D1O93_gp20,D1O93_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
91740,37616175,D1O93_gp21,D1O93_gp21,-,-,-,-,cleavage/packaging protein,protein-coding,-,-,-,cleavage/packaging protein,20181103,-
91740,37616176,D1O93_gp22,D1O93_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
91740,37616177,D1O93_gp23,D1O93_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
91740,37616178,D1O93_gp24,D1O93_gp24,-,-,-,-,viral DNA cleavage/packaging protein,protein-coding,-,-,-,viral DNA cleavage/packaging protein,20181103,-
91740,37616179,D1O93_gp25,D1O93_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
91740,37616180,D1O93_gp26,D1O93_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
91740,37616181,D1O93_gp27,D1O93_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
91740,37616182,D1O93_gp28,D1O93_gp28,-,-,-,-,kinase,protein-coding,-,-,-,kinase,20181103,-
91740,37616183,D1O93_gp29,D1O93_gp29,-,-,-,-,alkaline exonuclease,protein-coding,-,-,-,alkaline exonuclease,20181103,-
91740,37616184,D1O93_gp30,D1O93_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
91740,37616185,D1O93_gp31,D1O93_gp31,-,-,-,-,glycoprotein M,protein-coding,-,-,-,glycoprotein M,20181103,-
