#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2201431,54993618,2,HOT45_gp02,PBI_TRINE_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210129,-
2201431,54993619,3,HOT45_gp03,PBI_TRINE_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210129,-
2201431,54993620,4,HOT45_gp04,PBI_TRINE_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210129,-
2201431,54993621,5,HOT45_gp05,PBI_TRINE_5,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210129,-
2201431,54993622,6,HOT45_gp06,PBI_TRINE_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993623,7,HOT45_gp07,PBI_TRINE_7,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201221,-
2201431,54993624,8,HOT45_gp08,PBI_TRINE_8,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201221,-
2201431,54993625,9,HOT45_gp09,PBI_TRINE_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993626,10,HOT45_gp10,PBI_TRINE_10,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201221,-
2201431,54993627,11,HOT45_gp11,PBI_TRINE_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2201431,54993628,12,HOT45_gp12,PBI_TRINE_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993629,13,HOT45_gp13,PBI_TRINE_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
