#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2070197,40099067,FDJ26_gp02,FDJ26_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
2070197,40099068,FDJ26_gp03,FDJ26_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099069,FDJ26_gp04,FDJ26_gp04,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
2070197,40099070,FDJ26_gp05,FDJ26_gp05,-,-,-,-,head maturation protease,protein-coding,-,-,-,head maturation protease,20201221,-
2070197,40099071,FDJ26_gp06,FDJ26_gp06,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
2070197,40099072,FDJ26_gp07,FDJ26_gp07,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2070197,40099073,FDJ26_gp08,FDJ26_gp08,-,-,-,-,DNA packaging protein,protein-coding,-,-,-,DNA packaging protein,20201221,-
2070197,40099074,FDJ26_gp09,FDJ26_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099075,FDJ26_gp10,FDJ26_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2070197,40099076,FDJ26_gp11,FDJ26_gp11,-,-,-,-,head-tail joining protein,protein-coding,-,-,-,head-tail joining protein,20201221,-
2070197,40099077,FDJ26_gp12,FDJ26_gp12,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2070197,40099078,FDJ26_gp13,FDJ26_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099079,FDJ26_gp14,FDJ26_gp14,-,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20201221,-
2070197,40099080,FDJ26_gp15,FDJ26_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2070197,40099081,FDJ26_gp16,FDJ26_gp16,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201221,-
2070197,40099082,FDJ26_gp17,FDJ26_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099083,FDJ26_gp18,FDJ26_gp18,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
2070197,40099084,FDJ26_gp19,FDJ26_gp19,-,-,-,-,holin,protein-coding,-,-,-,holin,20210417,-
2070197,40099085,FDJ26_gp20,FDJ26_gp20,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20201221,-
2070197,40099086,FDJ26_gp21,FDJ26_gp21,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20201221,-
2070197,40099087,FDJ26_gp22,FDJ26_gp22,-,-,-,-,DNA modification protein,protein-coding,-,-,-,DNA modification protein,20201221,-
2070197,40099088,FDJ26_gp23,FDJ26_gp23,-,-,-,-,DNA polymerase B region protein,protein-coding,-,-,-,DNA polymerase B region protein,20201221,-
2070197,40099089,FDJ26_gp24,FDJ26_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099090,FDJ26_gp25,FDJ26_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099091,FDJ26_gp26,FDJ26_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099092,FDJ26_gp27,FDJ26_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099093,FDJ26_gp28,FDJ26_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099094,FDJ26_gp29,FDJ26_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099095,FDJ26_gp30,FDJ26_gp30,-,-,-,-,pseudo-metallo-beta-lactamase,protein-coding,-,-,-,pseudo-metallo-beta-lactamase,20201221,-
2070197,40099096,FDJ26_gp31,FDJ26_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099097,FDJ26_gp32,FDJ26_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099098,FDJ26_gp33,FDJ26_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099099,FDJ26_gp34,FDJ26_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099100,FDJ26_gp35,FDJ26_gp35,-,-,-,-,DNA replication protein,protein-coding,-,-,-,DNA replication protein,20201221,-
2070197,40099101,FDJ26_gp36,FDJ26_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099102,FDJ26_gp37,FDJ26_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099103,FDJ26_gp38,FDJ26_gp38,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
2070197,40099104,FDJ26_gp39,FDJ26_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099105,FDJ26_gp40,FDJ26_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099106,FDJ26_gp41,FDJ26_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099107,FDJ26_gp42,FDJ26_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099108,FDJ26_gp43,FDJ26_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099109,FDJ26_gp44,FDJ26_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099110,FDJ26_gp45,FDJ26_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2070197,40099111,FDJ26_gp46,FDJ26_gp46,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20201221,-
2070197,40099112,FDJ26_gp47,FDJ26_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099113,FDJ26_gp48,FDJ26_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099114,FDJ26_gp49,FDJ26_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099115,FDJ26_gp50,FDJ26_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099116,FDJ26_gp51,FDJ26_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099117,FDJ26_gp52,FDJ26_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099118,FDJ26_gp53,FDJ26_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099119,FDJ26_gp54,FDJ26_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099120,FDJ26_gp55,FDJ26_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099121,FDJ26_gp56,FDJ26_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099122,FDJ26_gp57,FDJ26_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099123,FDJ26_gp58,FDJ26_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099124,FDJ26_gp59,FDJ26_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099125,FDJ26_gp60,FDJ26_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070197,40099126,FDJ26_gp61,FDJ26_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
