#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2740182,64471966,KGG93_gp02,KGG93_gp02,HUN44_00002,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210505,-
2740182,64471967,KGG93_gp03,KGG93_gp03,HUN44_00003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64471968,KGG93_gp04,KGG93_gp04,HUN44_00004,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210505,-
2740182,64471969,KGG93_gp05,KGG93_gp05,HUN44_00005,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210505,-
2740182,64471970,KGG93_gp06,KGG93_gp06,HUN44_00006,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210522,-
2740182,64471971,KGG93_gp07,KGG93_gp07,HUN44_00007,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210522,-
2740182,64471972,KGG93_gp08,KGG93_gp08,HUN44_00008,-,-,-,capsid assembly protease,protein-coding,-,-,-,capsid assembly protease,20210522,-
2740182,64471973,KGG93_gp09,KGG93_gp09,HUN44_00009,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20210522,-
2740182,64471974,KGG93_gp10,KGG93_gp10,HUN44_00010,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210522,-
2740182,64471975,KGG93_gp11,KGG93_gp11,HUN44_00011,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20210505,-
2740182,64471976,KGG93_gp12,KGG93_gp12,HUN44_00012,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20210505,-
2740182,64471977,KGG93_gp13,KGG93_gp13,HUN44_00013,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20210522,-
2740182,64471978,KGG93_gp14,KGG93_gp14,HUN44_00014,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20210505,-
2740182,64471979,KGG93_gp15,KGG93_gp15,HUN44_00015,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210505,-
2740182,64471980,KGG93_gp16,KGG93_gp16,HUN44_00016,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210505,-
2740182,64471981,KGG93_gp17,KGG93_gp17,HUN44_00017,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210505,-
2740182,64471982,KGG93_gp18,KGG93_gp18,HUN44_00018,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210522,-
2740182,64471983,KGG93_gp19,KGG93_gp19,HUN44_00019,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210522,-
2740182,64471984,KGG93_gp20,KGG93_gp20,HUN44_00020,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210522,-
2740182,64471985,KGG93_gp21,KGG93_gp21,HUN44_00021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64471986,KGG93_gp22,KGG93_gp22,HUN44_00022,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210522,-
2740182,64471987,KGG93_gp23,KGG93_gp23,HUN44_00023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64471988,KGG93_gp24,KGG93_gp24,HUN44_00024,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20210505,-
2740182,64471989,KGG93_gp25,KGG93_gp25,HUN44_00025,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210522,-
2740182,64471990,KGG93_gp26,KGG93_gp26,HUN44_00026,-,-,-,protein of unknown function DUF2746,protein-coding,-,-,-,protein of unknown function DUF2746,20210522,-
2740182,64471991,KGG93_gp27,KGG93_gp27,HUN44_00027,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210522,-
2740182,64471992,KGG93_gp28,KGG93_gp28,HUN44_00028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64471993,KGG93_gp29,KGG93_gp29,HUN44_00029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2740182,64471994,KGG93_gp30,KGG93_gp30,HUN44_00030,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210505,-
2740182,64471995,KGG93_gp31,KGG93_gp31,HUN44_00031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64471996,KGG93_gp32,KGG93_gp32,HUN44_00032,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210505,-
2740182,64471997,KGG93_gp33,KGG93_gp33,HUN44_00033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64471998,KGG93_gp34,KGG93_gp34,HUN44_00034,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20210505,-
2740182,64471999,KGG93_gp35,KGG93_gp35,HUN44_00035,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210522,-
2740182,64472000,KGG93_gp36,KGG93_gp36,HUN44_00036,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20210522,-
2740182,64472001,KGG93_gp37,KGG93_gp37,HUN44_00037,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210505,-
2740182,64472002,KGG93_gp38,KGG93_gp38,HUN44_00038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64472003,KGG93_gp39,KGG93_gp39,HUN44_00039,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210522,-
2740182,64472004,KGG93_gp40,KGG93_gp40,HUN44_00040,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210522,-
2740182,64472005,KGG93_gp41,KGG93_gp41,HUN44_00041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64472006,KGG93_gp42,KGG93_gp42,HUN44_00042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64472007,KGG93_gp43,KGG93_gp43,HUN44_00043,-,-,-,putative DNA repair nuclease,protein-coding,-,-,-,putative DNA repair nuclease,20210505,-
2740182,64472008,KGG93_gp44,KGG93_gp44,HUN44_00044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64472009,KGG93_gp45,KGG93_gp45,HUN44_00045,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210605,-
2740182,64472010,KGG93_gp46,KGG93_gp46,HUN44_00046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64472011,KGG93_gp47,KGG93_gp47,HUN44_00047,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20210522,-
2740182,64472012,KGG93_gp48,KGG93_gp48,HUN44_00048,-,-,-,spanin,protein-coding,-,-,-,spanin,20210505,-
2740182,64472013,KGG93_gp49,KGG93_gp49,HUN44_00049,-,-,-,Lsr2-like protein,protein-coding,-,-,-,Lsr2-like protein,20210522,-
2740182,64472014,KGG93_gp50,KGG93_gp50,HUN44_00050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64472015,KGG93_gp51,KGG93_gp51,HUN44_00051,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20210522,-
2740182,64472016,KGG93_gp52,KGG93_gp52,HUN44_00052,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210522,-
2740182,64472017,KGG93_gp53,KGG93_gp53,HUN44_00053,-,-,-,transglycosylase SLT domain-containing protein,protein-coding,-,-,-,transglycosylase SLT domain-containing protein,20210522,-
2740182,64472018,KGG93_gp54,KGG93_gp54,HUN44_00054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2740182,64472019,KGG93_gp55,KGG93_gp55,HUN44_00055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64472020,KGG93_gp56,KGG93_gp56,HUN44_00056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64472021,KGG93_gp57,KGG93_gp57,HUN44_00057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64472022,KGG93_gp58,KGG93_gp58,HUN44_00058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64472023,KGG93_gp59,KGG93_gp59,HUN44_00059,-,-,-,deoxynucleoside monophosphate kinase,protein-coding,-,-,-,deoxynucleoside monophosphate kinase,20210522,-
2740182,64472024,KGG93_gp60,KGG93_gp60,HUN44_00060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64472025,KGG93_gp61,KGG93_gp61,HUN44_00061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64472026,KGG93_gp62,KGG93_gp62,HUN44_00062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64472027,KGG93_gp63,KGG93_gp63,HUN44_00063,-,-,-,flagellar assembly protein,protein-coding,-,-,-,flagellar assembly protein,20210522,-
2740182,64472028,KGG93_gp64,KGG93_gp64,HUN44_00064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64472029,KGG93_gp65,KGG93_gp65,HUN44_00065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2740182,64472030,KGG93_gp66,KGG93_gp66,HUN44_00066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64472031,KGG93_gt01,KGG93_gt01,HUN44_00067,-,-,-,tRNA,tRNA,-,-,-,-,20210505,-
2740182,64472032,KGG93_gp74,KGG93_gp74,HUN44_00068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64472033,KGG93_gp73,KGG93_gp73,HUN44_00069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64472034,KGG93_gp72,KGG93_gp72,HUN44_00070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64472035,KGG93_gp71,KGG93_gp71,HUN44_00071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64472036,KGG93_gp70,KGG93_gp70,HUN44_00072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64472037,KGG93_gp69,KGG93_gp69,HUN44_00073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64472038,KGG93_gp68,KGG93_gp68,HUN44_00074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64472039,KGG93_gp67,KGG93_gp67,HUN44_00075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64472040,KGG93_gp01,KGG93_gp01,HUN44_00001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2740182,64792264,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210510,-
