#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1873895,29060724,Gompeii16_2,Gompeii16_2,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1873895,29060725,Gompeii16_4,Gompeii16_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060726,Gompeii16_5,Gompeii16_5,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1873895,29060727,Gompeii16_6,Gompeii16_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060728,Gompeii16_7,Gompeii16_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060729,Gompeii16_8,Gompeii16_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060730,Gompeii16_9,Gompeii16_9,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
1873895,29060731,Gompeii16_10,Gompeii16_10,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1873895,29060732,Gompeii16_11,Gompeii16_11,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1873895,29060733,Gompeii16_12,Gompeii16_12,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1873895,29060734,Gompeii16_13,Gompeii16_13,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1873895,29060735,Gompeii16_14,Gompeii16_14,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1873895,29060736,Gompeii16_15,Gompeii16_15,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1873895,29060737,Gompeii16_16,Gompeii16_16,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1873895,29060738,Gompeii16_17,Gompeii16_17,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1873895,29060739,Gompeii16_18,Gompeii16_18,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1873895,29060740,Gompeii16_19,Gompeii16_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1873895,29060741,Gompeii16_20,Gompeii16_20,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1873895,29060742,Gompeii16_21,Gompeii16_21,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1873895,29060743,Gompeii16_23,Gompeii16_23,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
1873895,29060744,Gompeii16_24,Gompeii16_24,-,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20210424,-
1873895,29060745,Gompeii16_22,Gompeii16_22,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
1873895,29060746,Gompeii16_25,Gompeii16_25,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1873895,29060747,Gompeii16_26,Gompeii16_26,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1873895,29060748,Gompeii16_27,Gompeii16_27,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1873895,29060749,Gompeii16_28,Gompeii16_28,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1873895,29060750,Gompeii16_30,Gompeii16_30,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
1873895,29060751,Gompeii16_31,Gompeii16_31,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1873895,29060752,Gompeii16_32,Gompeii16_32,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1873895,29060753,Gompeii16_33,Gompeii16_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060754,Gompeii16_34,Gompeii16_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060755,Gompeii16_35,Gompeii16_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060756,Gompeii16_36,Gompeii16_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060757,Gompeii16_37,Gompeii16_37,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1873895,29060758,Gompeii16_38,Gompeii16_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060759,Gompeii16_39,Gompeii16_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060760,Gompeii16_40,Gompeii16_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060761,Gompeii16_42,Gompeii16_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060762,Gompeii16_43,Gompeii16_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060763,Gompeii16_44,Gompeii16_44,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210424,-
1873895,29060764,Gompeii16_45,Gompeii16_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060765,Gompeii16_46,Gompeii16_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060766,Gompeii16_47,Gompeii16_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060767,Gompeii16_48,Gompeii16_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060768,Gompeii16_49,Gompeii16_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060769,Gompeii16_50,Gompeii16_50,-,-,-,-,phosphoesterase,protein-coding,-,-,-,phosphoesterase,20201221,-
1873895,29060770,Gompeii16_51,Gompeii16_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060771,Gompeii16_52,Gompeii16_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060772,Gompeii16_53,Gompeii16_53,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
1873895,29060773,Gompeii16_54,Gompeii16_54,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
1873895,29060774,Gompeii16_56,Gompeii16_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060775,Gompeii16_57,Gompeii16_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1873895,29060776,Gompeii16_58,Gompeii16_58,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
1873895,29060777,Gompeii16_59,Gompeii16_59,-,-,-,-,hndonuclease VII,protein-coding,-,-,-,hndonuclease VII,20210417,-
1873895,29060778,Gompeii16_60,Gompeii16_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060779,Gompeii16_61,Gompeii16_61,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210424,-
1873895,29060780,Gompeii16_62,Gompeii16_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060781,Gompeii16_63,Gompeii16_63,-,-,-,-,dsDNA helicase,protein-coding,-,-,-,dsDNA helicase,20210212,-
1873895,29060782,Gompeii16_64,Gompeii16_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060783,Gompeii16_65,Gompeii16_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060784,Gompeii16_66,Gompeii16_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060785,Gompeii16_67,Gompeii16_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060786,Gompeii16_68,Gompeii16_68,-,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210424,-
1873895,29060787,Gompeii16_69,Gompeii16_69,-,-,-,-,transposase,protein-coding,-,-,-,transposase,20201221,-
1873895,29060788,Gompeii16_70,Gompeii16_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060789,Gompeii16_71,Gompeii16_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060790,Gompeii16_72,Gompeii16_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060791,Gompeii16_73,Gompeii16_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1873895,29060792,Gompeii16_74,Gompeii16_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060793,Gompeii16_75,Gompeii16_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060794,Gompeii16_76,Gompeii16_76,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1873895,29060795,Gompeii16_78,Gompeii16_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060796,Gompeii16_79,Gompeii16_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060797,Gompeii16_80,Gompeii16_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060798,Gompeii16_81,Gompeii16_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060799,Gompeii16_82,Gompeii16_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060800,Gompeii16_83,Gompeii16_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060801,Gompeii16_84,Gompeii16_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060802,Gompeii16_85,Gompeii16_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060803,Gompeii16_86,Gompeii16_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060804,Gompeii16_88,Gompeii16_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060805,Gompeii16_90,Gompeii16_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1873895,29060806,Gompeii16_91,Gompeii16_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060807,Gompeii16_29,Gompeii16_29,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1873895,29060808,Gompeii16_77,Gompeii16_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060809,Gompeii16_89,Gompeii16_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060810,Gompeii16_87,Gompeii16_87,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1873895,29060811,Gompeii16_3,Gompeii16_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060812,Gompeii16_41,Gompeii16_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060813,Gompeii16_55,Gompeii16_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29060814,Gompeii16_1,Gompeii16_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873895,29140008,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
