#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1838064,28802847,2,BH769_gp02,PBI_BRITBRAT_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1838064,28802848,3,BH769_gp03,PBI_BRITBRAT_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1838064,28802849,4,BH769_gp04,PBI_BRITBRAT_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1838064,28802850,5,BH769_gp05,PBI_BRITBRAT_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1838064,28802851,6,BH769_gp06,PBI_BRITBRAT_6,-,-,-,head decoration protein,protein-coding,-,-,-,head decoration protein,20201221,-
1838064,28802852,7,BH769_gp07,PBI_BRITBRAT_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1838064,28802853,8,BH769_gp08,PBI_BRITBRAT_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838064,28802854,9,BH769_gp09,PBI_BRITBRAT_9,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20201221,-
1838064,28802855,10,BH769_gp10,PBI_BRITBRAT_10,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20201221,-
1838064,28802856,11,BH769_gp11,PBI_BRITBRAT_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838064,28802857,12,BH769_gp12,PBI_BRITBRAT_12,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1838064,28802858,13,BH769_gp13,PBI_BRITBRAT_13,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1838064,28802859,14,BH769_gp14,PBI_BRITBRAT_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1838064,28802860,16,BH769_gp15,PBI_BRITBRAT_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1838064,28802861,17,BH769_gp17,PBI_BRITBRAT_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838064,28802862,15,BH769_gp16,PBI_BRITBRAT_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1838064,28802863,18,BH769_gp18,PBI_BRITBRAT_18,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1838064,28802864,19,BH769_gp19,PBI_BRITBRAT_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1838064,28802865,20,BH769_gp20,PBI_BRITBRAT_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1838064,28802866,21,BH769_gp21,PBI_BRITBRAT_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838064,28802867,22,BH769_gp22,PBI_BRITBRAT_22,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1838064,28802868,23,BH769_gp23,PBI_BRITBRAT_23,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1838064,28802869,24,BH769_gp24,PBI_BRITBRAT_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838064,28802870,25,BH769_gp25,PBI_BRITBRAT_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
