#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1933108,54979151,HOR58_gp02,HOR58_gp02,C_2,-,-,-,DNA mimic ocr,protein-coding,-,-,-,DNA mimic ocr,20201221,-
1933108,54979152,HOR58_gp03,HOR58_gp03,C_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979153,HOR58_gp04,HOR58_gp04,C_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979154,HOR58_gp05,HOR58_gp05,C_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979155,HOR58_gp06,HOR58_gp06,C_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979156,HOR58_gp07,HOR58_gp07,C_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979157,HOR58_gp08,HOR58_gp08,C_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979158,HOR58_gp09,HOR58_gp09,C_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979159,HOR58_gp10,HOR58_gp10,C_10,-,-,-,catalytic beta propeller domain of endosialidase,protein-coding,-,-,-,catalytic beta propeller domain of endosialidase,20210212,-
1933108,54979160,HOR58_gp11,HOR58_gp11,C_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979161,HOR58_gp12,HOR58_gp12,C_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979162,HOR58_gp13,HOR58_gp13,C_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979163,HOR58_gp14,HOR58_gp14,C_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979164,HOR58_gp15,HOR58_gp15,C_15,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20210129,-
1933108,54979165,HOR58_gp16,HOR58_gp16,C_16,-,-,-,putative acetyl-CoA acetyltransferase,protein-coding,-,-,-,putative acetyl-CoA acetyltransferase,20201221,-
1933108,54979166,HOR58_gp17,HOR58_gp17,C_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979167,HOR58_gp18,HOR58_gp18,C_18,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20210212,-
