#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1229793,13827307,2,D295_gp02,ATCC29399BT_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1229793,13827308,3,D295_gp03,ATCC29399BT_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1229793,13827309,4,D295_gp04,ATCC29399BT_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229793,13827310,5,D295_gp05,ATCC29399BT_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1229793,13827311,6,D295_gp06,ATCC29399BT_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1229793,13827312,7,D295_gp07,ATCC29399BT_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1229793,13827313,8,D295_gp08,ATCC29399BT_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229793,13827314,9,D295_gp09,ATCC29399BT_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229793,13827315,10,D295_gp10,ATCC29399BT_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229793,13827316,11,D295_gp11,ATCC29399BT_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1229793,13827317,13,D295_gp12,ATCC29399BT_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1229793,13827318,14,D295_gp14,ATCC29399BT_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1229793,13827319,12,D295_gp13,ATCC29399BT_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1229793,13827320,15,D295_gp15,ATCC29399BT_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229793,13827321,16,D295_gp16,ATCC29399BT_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229793,13827322,17,D295_gp17,ATCC29399BT_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229793,13827323,18,D295_gp18,ATCC29399BT_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229793,13827324,19,D295_gp19,ATCC29399BT_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229793,13827325,20,D295_gp20,ATCC29399BT_20,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210123,-
1229793,13827326,21,D295_gp21,ATCC29399BT_21,-,-,-,holin,protein-coding,-,-,-,holin,20210123,-
1229793,13827327,22,D295_gp22,ATCC29399BT_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229793,13827328,23,D295_gp23,ATCC29399BT_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1229793,13827329,24,D295_gp24,ATCC29399BT_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229793,13827330,25,D295_gp25,ATCC29399BT_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229793,13827331,26,D295_gp26,ATCC29399BT_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229793,13827332,27,D295_gp27,ATCC29399BT_27,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1229793,13827333,28,D295_gp28,ATCC29399BT_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229793,13827334,29,D295_gp29,ATCC29399BT_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229793,13827335,30,D295_gp30,ATCC29399BT_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1229793,13827336,31,D295_gp31,ATCC29399BT_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1229793,13827337,33,D295_gp33,ATCC29399BT_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1229793,13827338,34,D295_gp34,ATCC29399BT_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229793,13827339,35,D295_gp35,ATCC29399BT_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229793,13827340,36,D295_gp36,ATCC29399BT_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
