#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2601643,55622061,HWC63_gp002,HWC63_gp002,pEpSNUABM01_002,-,-,-,putative metallopeptidase,protein-coding,-,-,-,putative metallopeptidase,20200620,-
2601643,55622062,HWC63_gp003,HWC63_gp003,pEpSNUABM01_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2601643,55622063,HWC63_gp004,HWC63_gp004,pEpSNUABM01_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622064,HWC63_gp005,HWC63_gp005,pEpSNUABM01_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622065,HWC63_gp006,HWC63_gp006,pEpSNUABM01_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622066,HWC63_gp007,HWC63_gp007,pEpSNUABM01_007,-,-,-,putative (p)ppGpp synthase,protein-coding,-,-,-,putative (p)ppGpp synthase,20201217,-
2601643,55622067,HWC63_gp008,HWC63_gp008,pEpSNUABM01_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622068,HWC63_gp009,HWC63_gp009,pEpSNUABM01_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622069,HWC63_gp010,HWC63_gp010,pEpSNUABM01_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622070,HWC63_gp011,HWC63_gp011,pEpSNUABM01_011,-,-,-,putative ATPase,protein-coding,-,-,-,putative ATPase,20201217,-
2601643,55622071,HWC63_gp012,HWC63_gp012,pEpSNUABM01_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622072,HWC63_gp013,HWC63_gp013,pEpSNUABM01_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622073,HWC63_gp014,HWC63_gp014,pEpSNUABM01_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622074,HWC63_gp015,HWC63_gp015,pEpSNUABM01_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622075,HWC63_gp016,HWC63_gp016,pEpSNUABM01_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622076,HWC63_gp017,HWC63_gp017,pEpSNUABM01_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2601643,55622077,HWC63_gp018,HWC63_gp018,pEpSNUABM01_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622078,HWC63_gp019,HWC63_gp019,pEpSNUABM01_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622079,HWC63_gp020,HWC63_gp020,pEpSNUABM01_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622080,HWC63_gp021,HWC63_gp021,pEpSNUABM01_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2601643,55622081,HWC63_gp022,HWC63_gp022,pEpSNUABM01_022,-,-,-,putative DEAD-like helicase N superfamily protein,protein-coding,-,-,-,putative DEAD-like helicase N superfamily protein,20200620,-
2601643,55622082,HWC63_gp023,HWC63_gp023,pEpSNUABM01_023,-,-,-,putative baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,putative baseplate hub subunit and tail lysozyme,20201217,-
2601643,55622083,HWC63_gp024,HWC63_gp024,pEpSNUABM01_024,-,-,-,putative cell wall hydrolase,protein-coding,-,-,-,putative cell wall hydrolase,20210417,-
2601643,55622084,HWC63_gp025,HWC63_gp025,pEpSNUABM01_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622085,HWC63_gp026,HWC63_gp026,pEpSNUABM01_026,-,-,-,putative rIIA protein,protein-coding,-,-,-,putative rIIA protein,20210417,-
2601643,55622086,HWC63_gp027,HWC63_gp027,pEpSNUABM01_027,-,-,-,putative rIIB protein,protein-coding,-,-,-,putative rIIB protein,20200620,-
2601643,55622087,HWC63_gp028,HWC63_gp028,pEpSNUABM01_028,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20210417,-
2601643,55622088,HWC63_gp029,HWC63_gp029,pEpSNUABM01_029,-,-,-,putative DNA polymerase III subunit epsilon,protein-coding,-,-,-,putative DNA polymerase III subunit epsilon,20200620,-
2601643,55622089,HWC63_gp030,HWC63_gp030,pEpSNUABM01_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622090,HWC63_gp031,HWC63_gp031,pEpSNUABM01_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622091,HWC63_gp032,HWC63_gp032,pEpSNUABM01_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622092,HWC63_gp033,HWC63_gp033,pEpSNUABM01_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622093,HWC63_gp034,HWC63_gp034,pEpSNUABM01_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622094,HWC63_gp035,HWC63_gp035,pEpSNUABM01_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622095,HWC63_gp036,HWC63_gp036,pEpSNUABM01_036,-,-,-,putative anti-restriction nuclease,protein-coding,-,-,-,putative anti-restriction nuclease,20200620,-
2601643,55622096,HWC63_gp037,HWC63_gp037,pEpSNUABM01_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622097,HWC63_gp038,HWC63_gp038,pEpSNUABM01_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622098,HWC63_gp039,HWC63_gp039,pEpSNUABM01_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622099,HWC63_gp040,HWC63_gp040,pEpSNUABM01_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622100,HWC63_gp041,HWC63_gp041,pEpSNUABM01_041,-,-,-,putative methylase,protein-coding,-,-,-,putative methylase,20200620,-
2601643,55622101,HWC63_gp042,HWC63_gp042,pEpSNUABM01_042,-,-,-,putative DNA primase/helicase,protein-coding,-,-,-,putative DNA primase/helicase,20210417,-
2601643,55622102,HWC63_gp043,HWC63_gp043,pEpSNUABM01_043,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20210417,-
2601643,55622103,HWC63_gp044,HWC63_gp044,pEpSNUABM01_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622104,HWC63_gp045,HWC63_gp045,pEpSNUABM01_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622105,HWC63_gp046,HWC63_gp046,pEpSNUABM01_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622106,HWC63_gp047,HWC63_gp047,pEpSNUABM01_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622107,HWC63_gp048,HWC63_gp048,pEpSNUABM01_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2601643,55622108,HWC63_gp049,HWC63_gp049,pEpSNUABM01_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622109,HWC63_gp050,HWC63_gp050,pEpSNUABM01_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622110,HWC63_gp051,HWC63_gp051,pEpSNUABM01_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622111,HWC63_gp052,HWC63_gp052,pEpSNUABM01_052,-,-,-,DUF4326 domain-containing protein,protein-coding,-,-,-,DUF4326 domain-containing protein,20210417,-
2601643,55622112,HWC63_gp053,HWC63_gp053,pEpSNUABM01_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622113,HWC63_gp054,HWC63_gp054,pEpSNUABM01_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622114,HWC63_gp055,HWC63_gp055,pEpSNUABM01_055,-,-,-,putative bifunctional DNA-binding transcriptional repressor,protein-coding,-,-,-,putative bifunctional DNA-binding transcriptional repressor,20201217,-
2601643,55622115,HWC63_gp056,HWC63_gp056,pEpSNUABM01_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622116,HWC63_gp057,HWC63_gp057,pEpSNUABM01_057,-,-,-,putative nicotinamide mononucleotide transporter,protein-coding,-,-,-,putative nicotinamide mononucleotide transporter,20210417,-
2601643,55622117,HWC63_gp058,HWC63_gp058,pEpSNUABM01_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622118,HWC63_gp059,HWC63_gp059,pEpSNUABM01_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622119,HWC63_gp060,HWC63_gp060,pEpSNUABM01_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622120,HWC63_gp061,HWC63_gp061,pEpSNUABM01_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
