#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2517970,60334453,3,I5H94_gp003,SEA_SWAGPIGGLETT_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2517970,60334454,5,I5H94_gp005,SEA_SWAGPIGGLETT_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201217,-
2517970,60334455,6,I5H94_gp006,SEA_SWAGPIGGLETT_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
2517970,60334456,7,I5H94_gp007,SEA_SWAGPIGGLETT_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2517970,60334457,8,I5H94_gp008,SEA_SWAGPIGGLETT_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2517970,60334458,9,I5H94_gp009,SEA_SWAGPIGGLETT_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2517970,60334459,11,I5H94_gp011,SEA_SWAGPIGGLETT_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2517970,60334460,13,I5H94_gp012,SEA_SWAGPIGGLETT_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2517970,60334461,14,I5H94_gp014,SEA_SWAGPIGGLETT_14,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20210406,-
2517970,60334462,12,I5H94_gp013,SEA_SWAGPIGGLETT_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2517970,60334463,15,I5H94_gp015,SEA_SWAGPIGGLETT_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2517970,60334464,16,I5H94_gp016,SEA_SWAGPIGGLETT_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2517970,60334465,17,I5H94_gp017,SEA_SWAGPIGGLETT_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2517970,60334466,18,I5H94_gp018,SEA_SWAGPIGGLETT_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2517970,60334467,19,I5H94_gp019,SEA_SWAGPIGGLETT_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2517970,60334468,22,I5H94_gp022,SEA_SWAGPIGGLETT_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334469,23,I5H94_gp023,SEA_SWAGPIGGLETT_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334470,24,I5H94_gp024,SEA_SWAGPIGGLETT_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334471,25,I5H94_gp025,SEA_SWAGPIGGLETT_25,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20201129,-
2517970,60334472,26,I5H94_gp026,SEA_SWAGPIGGLETT_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334473,27,I5H94_gp027,SEA_SWAGPIGGLETT_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334474,28,I5H94_gp028,SEA_SWAGPIGGLETT_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334475,29,I5H94_gp029,SEA_SWAGPIGGLETT_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334476,30,I5H94_gp030,SEA_SWAGPIGGLETT_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210406,-
2517970,60334477,31,I5H94_gp031,SEA_SWAGPIGGLETT_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2517970,60334478,32,I5H94_gp032,SEA_SWAGPIGGLETT_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2517970,60334479,33,I5H94_gp033,SEA_SWAGPIGGLETT_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2517970,60334480,34,I5H94_gp034,SEA_SWAGPIGGLETT_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334481,35,I5H94_gp035,SEA_SWAGPIGGLETT_35,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20210129,-
2517970,60334482,36,I5H94_gp036,SEA_SWAGPIGGLETT_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334483,38,I5H94_gp038,SEA_SWAGPIGGLETT_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334484,39,I5H94_gp039,SEA_SWAGPIGGLETT_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334485,40,I5H94_gp040,SEA_SWAGPIGGLETT_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334486,41,I5H94_gp041,SEA_SWAGPIGGLETT_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334487,42,I5H94_gp042,SEA_SWAGPIGGLETT_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334488,43,I5H94_gp043,SEA_SWAGPIGGLETT_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2517970,60334489,44,I5H94_gp044,SEA_SWAGPIGGLETT_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334490,45,I5H94_gp045,SEA_SWAGPIGGLETT_45,-,-,-,integrase,protein-coding,-,-,-,integrase,20210123,-
2517970,60334491,46,I5H94_gp046,SEA_SWAGPIGGLETT_46,-,-,-,RelE-like toxin,protein-coding,-,-,-,RelE-like toxin,20210417,-
2517970,60334492,47,I5H94_gp047,SEA_SWAGPIGGLETT_47,-,-,-,RelB-like antitoxin,protein-coding,-,-,-,RelB-like antitoxin,20210403,-
2517970,60334493,48,I5H94_gp048,SEA_SWAGPIGGLETT_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334494,49,I5H94_gp049,SEA_SWAGPIGGLETT_49,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2517970,60334495,50,I5H94_gp050,SEA_SWAGPIGGLETT_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334496,51,I5H94_gp051,SEA_SWAGPIGGLETT_51,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20210403,-
2517970,60334497,52,I5H94_gp052,SEA_SWAGPIGGLETT_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2517970,60334498,53,I5H94_gp053,SEA_SWAGPIGGLETT_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334499,54,I5H94_gp054,SEA_SWAGPIGGLETT_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334500,55,I5H94_gp055,SEA_SWAGPIGGLETT_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334501,56,I5H94_gp056,SEA_SWAGPIGGLETT_56,-,-,-,helix-turn-helix DNA-binding protein,protein-coding,-,-,-,helix-turn-helix DNA-binding protein,20201129,-
2517970,60334502,57,I5H94_gp057,SEA_SWAGPIGGLETT_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334503,58,I5H94_gp058,SEA_SWAGPIGGLETT_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2517970,60334504,59,I5H94_gp059,SEA_SWAGPIGGLETT_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334505,60,I5H94_gp060,SEA_SWAGPIGGLETT_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334506,61,I5H94_gp061,SEA_SWAGPIGGLETT_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2517970,60334507,62,I5H94_gp062,SEA_SWAGPIGGLETT_62,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210406,-
2517970,60334508,63,I5H94_gp063,SEA_SWAGPIGGLETT_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2517970,60334509,64,I5H94_gp064,SEA_SWAGPIGGLETT_64,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2517970,60334510,65,I5H94_gp065,SEA_SWAGPIGGLETT_65,-,-,-,helix-turn-helix DNA-binding protein,protein-coding,-,-,-,helix-turn-helix DNA-binding protein,20210424,-
