#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821553,29126320,2,BJD65_gp02,SEA_GUACAMOLE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1821553,29126321,3,BJD65_gp03,SEA_GUACAMOLE_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1821553,29126322,4,BJD65_gp04,SEA_GUACAMOLE_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200927,-
1821553,29126323,5,BJD65_gp05,SEA_GUACAMOLE_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1821553,29126324,6,BJD65_gp06,SEA_GUACAMOLE_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1821553,29126325,7,BJD65_gp07,SEA_GUACAMOLE_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126326,8,BJD65_gp08,SEA_GUACAMOLE_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1821553,29126327,9,BJD65_gp09,SEA_GUACAMOLE_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200927,-
1821553,29126328,10,BJD65_gp10,SEA_GUACAMOLE_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126329,11,BJD65_gp11,SEA_GUACAMOLE_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126330,12,BJD65_gp12,SEA_GUACAMOLE_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126331,13,BJD65_gp13,SEA_GUACAMOLE_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200927,-
