#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656605,60334238,2,I5H92_gp002,PBI_STANNES_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2656605,60334239,3,I5H92_gp003,PBI_STANNES_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2656605,60334240,4,I5H92_gp004,PBI_STANNES_4,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20201129,-
2656605,60334241,5,I5H92_gp005,PBI_STANNES_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2656605,60334242,6,I5H92_gp006,PBI_STANNES_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2656605,60334243,7,I5H92_gp007,PBI_STANNES_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2656605,60334244,8,I5H92_gp008,PBI_STANNES_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2656605,60334245,9,I5H92_gp009,PBI_STANNES_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2656605,60334246,10,I5H92_gp010,PBI_STANNES_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2656605,60334247,11,I5H92_gp011,PBI_STANNES_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2656605,60334248,13,I5H92_gp012,PBI_STANNES_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2656605,60334249,14,I5H92_gp014,PBI_STANNES_14,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201203,-
2656605,60334250,12,I5H92_gp013,PBI_STANNES_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2656605,60334251,15,I5H92_gp015,PBI_STANNES_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656605,60334252,16,I5H92_gp016,PBI_STANNES_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656605,60334253,17,I5H92_gp017,PBI_STANNES_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
