#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
981330,10271082,ruvC,TPA2_gp15,-,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20201220,-
981330,10271083,tmp,TPA2_gp33,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201220,-
981330,10271084,lysA,TPA2_gp55,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20201220,-
981330,10271085,terL,TPA2_gp09,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
981330,10322444,TPA2_gp30,TPA2_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322445,TPA2_gp36,TPA2_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322446,TPA2_gp45,TPA2_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322447,TPA2_gp66,TPA2_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322448,TPA2_gp69,TPA2_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322449,TPA2_gp39,TPA2_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322450,TPA2_gp41,TPA2_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322451,TPA2_gp70,TPA2_gp70,-,-,-,-,putative regulator,protein-coding,-,-,-,putative regulator,20201220,-
981330,10322452,TPA2_gp78,TPA2_gp78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322453,TPA2_gp71,TPA2_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322454,TPA2_gp24,TPA2_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322455,TPA2_gp13,TPA2_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322456,TPA2_gp18,TPA2_gp18,-,-,-,-,putative capsid protein,protein-coding,-,-,-,putative capsid protein,20201220,-
981330,10322457,TPA2_gp67,TPA2_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322458,TPA2_gp60,TPA2_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322459,TPA2_gp76,TPA2_gp76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322460,TPA2_gp58,TPA2_gp58,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201220,-
981330,10322461,TPA2_gp77,TPA2_gp77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322462,TPA2_gp59,TPA2_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322463,TPA2_gp61,TPA2_gp61,-,-,-,-,primase,protein-coding,-,-,-,primase,20201220,-
