#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2599880,60336768,2,I5J49_gp02,PBI_THULATHULA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2599880,60336769,3,I5J49_gp03,PBI_THULATHULA_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2599880,60336770,4,I5J49_gp04,PBI_THULATHULA_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210424,-
2599880,60336771,5,I5J49_gp05,PBI_THULATHULA_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210424,-
2599880,60336772,6,I5J49_gp06,PBI_THULATHULA_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201130,-
2599880,60336773,7,I5J49_gp07,PBI_THULATHULA_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336774,8,I5J49_gp08,PBI_THULATHULA_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210424,-
2599880,60336775,9,I5J49_gp09,PBI_THULATHULA_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201130,-
2599880,60336776,10,I5J49_gp10,PBI_THULATHULA_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336777,11,I5J49_gp11,PBI_THULATHULA_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336778,12,I5J49_gp12,PBI_THULATHULA_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201130,-
2599880,60336779,13,I5J49_gp13,PBI_THULATHULA_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201130,-
2599880,60336780,15,I5J49_gp14,PBI_THULATHULA_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2599880,60336781,16,I5J49_gp16,PBI_THULATHULA_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2599880,60336782,14,I5J49_gp15,PBI_THULATHULA_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2599880,60336783,17,I5J49_gp17,PBI_THULATHULA_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2599880,60336784,18,I5J49_gp18,PBI_THULATHULA_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2599880,60336785,19,I5J49_gp19,PBI_THULATHULA_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2599880,60336786,20,I5J49_gp20,PBI_THULATHULA_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2599880,60336787,21,I5J49_gp21,PBI_THULATHULA_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336788,22,I5J49_gp22,PBI_THULATHULA_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2599880,60336789,23,I5J49_gp23,PBI_THULATHULA_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336790,24,I5J49_gp24,PBI_THULATHULA_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336791,25,I5J49_gp25,PBI_THULATHULA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336792,26,I5J49_gp26,PBI_THULATHULA_26,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2599880,60336793,27,I5J49_gp27,PBI_THULATHULA_27,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201130,-
2599880,60336794,28,I5J49_gp28,PBI_THULATHULA_28,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201130,-
2599880,60336795,29,I5J49_gp29,PBI_THULATHULA_29,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201130,-
2599880,60336796,30,I5J49_gp30,PBI_THULATHULA_30,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201130,-
2599880,60336797,31,I5J49_gp31,PBI_THULATHULA_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336798,32,I5J49_gp32,PBI_THULATHULA_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2599880,60336799,33,I5J49_gp33,PBI_THULATHULA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2599880,60336800,34,I5J49_gp34,PBI_THULATHULA_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336801,36,I5J49_gp36,PBI_THULATHULA_36,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2599880,60336802,37,I5J49_gp37,PBI_THULATHULA_37,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210424,-
2599880,60336803,38,I5J49_gp38,PBI_THULATHULA_38,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
2599880,60336804,39,I5J49_gp39,PBI_THULATHULA_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336805,40,I5J49_gp40,PBI_THULATHULA_40,-,-,-,excise,protein-coding,-,-,-,excise,20210424,-
