#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1245909,13997074,D878_gp02,D878_gp02,-,-,-,-,putative SvtR-like protein,protein-coding,-,-,-,putative SvtR-like protein,20201221,-
1245909,13997075,D878_gp03,D878_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245909,13997076,D878_gp04,D878_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245909,13997077,D878_gp05,D878_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245909,13997078,D878_gp06,D878_gp06,-,-,-,-,putative replication protein,protein-coding,-,-,-,putative replication protein,20201221,-
1245909,13997079,D878_gp07,D878_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245909,13997080,D878_gp08,D878_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245909,13997081,D878_gp09,D878_gp09,-,-,-,-,CRISPR-associated Cas4-like protein,protein-coding,-,-,-,CRISPR-associated Cas4-like protein,20201221,-
1245909,13997082,D878_gp10,D878_gp10,-,-,-,-,putative glycosyl transferase,protein-coding,-,-,-,putative glycosyl transferase,20201221,-
1245909,13997083,D878_gp11,D878_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245909,13997084,D878_gp12,D878_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245909,13997085,D878_gp13,D878_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245909,13997086,D878_gp14,D878_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245909,13997087,D878_gp15,D878_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245909,13997088,D878_gp16,D878_gp16,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1245909,13997089,D878_gp17,D878_gp17,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1245909,13997090,D878_gp18,D878_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245909,13997091,D878_gp19,D878_gp19,-,-,-,-,putative Holliday junction resolvase,protein-coding,-,-,-,putative Holliday junction resolvase,20201221,-
1245909,13997092,D878_gp20,D878_gp20,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1245909,13997093,D878_gp21,D878_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245909,13997094,D878_gp22,D878_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245909,13997095,D878_gp23,D878_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245909,13997096,D878_gp24,D878_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245909,13997097,D878_gp25,D878_gp25,-,-,-,-,coat protein,protein-coding,-,-,-,coat protein,20201221,-
1245909,13997098,D878_gp26,D878_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245909,13997099,D878_gp27,D878_gp27,-,-,-,-,putative glycosyl transferase,protein-coding,-,-,-,putative glycosyl transferase,20201221,-
1245909,13997100,D878_gp28,D878_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245909,13997101,D878_gp29,D878_gp29,-,-,-,-,putative SAM-dependent methyltransferase,protein-coding,-,-,-,putative SAM-dependent methyltransferase,20201221,-
1245909,13997102,D878_gp30,D878_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245909,13997103,D878_gp31,D878_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245909,13997104,D878_gp32,D878_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245909,13997105,D878_gp33,D878_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245909,13997106,D878_gp34,D878_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245909,13997107,D878_gp35,D878_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245909,13997108,D878_gp36,D878_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245909,13997109,D878_gp37,D878_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245909,13997110,D878_gp01,D878_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245909,14007768,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210607,-
