#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
424949,17494426,V186_gp02,V186_gp02,-,-,-,-,putative phage terminase large subunit,protein-coding,-,-,-,putative phage terminase large subunit,20200629,-
424949,17494427,V186_gp03,V186_gp03,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
424949,17494428,V186_gp04,V186_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494429,V186_gp05,V186_gp05,-,-,-,-,putative head morphogenesis protein,protein-coding,-,-,-,putative head morphogenesis protein,20200629,-
424949,17494430,V186_gp06,V186_gp06,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
424949,17494431,V186_gp07,V186_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494432,V186_gp08,V186_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494433,V186_gp09,V186_gp09,-,-,-,-,putative spanin protein,protein-coding,-,-,-,putative spanin protein,20200629,-
424949,17494434,V186_gp10,V186_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494435,V186_gp11,V186_gp11,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20200629,-
424949,17494436,V186_gp12,V186_gp12,-,-,-,-,putative head protein,protein-coding,-,-,-,putative head protein,20200629,-
424949,17494437,V186_gp13,V186_gp13,-,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20210123,-
424949,17494438,V186_gp14,V186_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494439,V186_gp15,V186_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494440,V186_gp16,V186_gp16,-,-,-,-,putative neck protein,protein-coding,-,-,-,putative neck protein,20200629,-
424949,17494441,V186_gp17,V186_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494442,V186_gp18,V186_gp18,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
424949,17494443,V186_gp19,V186_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
424949,17494444,V186_gp20,V186_gp20,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
424949,17494445,V186_gp21,V186_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494446,V186_gp22,V186_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494447,V186_gp23,V186_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494448,V186_gp24,V186_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
424949,17494449,V186_gp25,V186_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
424949,17494450,V186_gp26,V186_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494451,V186_gp27,V186_gp27,-,-,-,-,putative tail tape measure protein,protein-coding,-,-,-,putative tail tape measure protein,20200629,-
424949,17494452,V186_gp28,V186_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494453,V186_gp29,V186_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494454,V186_gp30,V186_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494455,V186_gp31,V186_gp31,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200629,-
424949,17494456,V186_gp32,V186_gp32,-,-,-,-,tailspike protein,protein-coding,-,-,-,tailspike protein,20201220,-
424949,17494457,V186_gp33,V186_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494458,V186_gp34,V186_gp34,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200629,-
424949,17494459,V186_gp35,V186_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494460,V186_gp36,V186_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494461,V186_gp37,V186_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
