#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1034149,26625710,2,VORTEX_2,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20210123,-
1034149,26625711,3,VORTEX_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625712,4,VORTEX_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625713,5,VORTEX_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625714,6,VORTEX_6,-,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210123,-
1034149,26625715,7,VORTEX_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1034149,26625716,8,VORTEX_8,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
1034149,26625717,9,VORTEX_9,-,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20210123,-
1034149,26625718,10,VORTEX_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625719,11,VORTEX_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625720,12,VORTEX_12,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
1034149,26625721,13,VORTEX_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625722,14,VORTEX_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625723,15,VORTEX_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625724,16,VORTEX_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625725,17,VORTEX_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625726,18,VORTEX_18,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201220,-
1034149,26625727,19,VORTEX_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625728,20,VORTEX_20,-,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20201220,-
1034149,26625729,21,VORTEX_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625730,22,VORTEX_22,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201220,-
1034149,26625731,23,VORTEX_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625732,24,VORTEX_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625733,25,VORTEX_25,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
1034149,26625734,26,VORTEX_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625735,27,VORTEX_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625736,28,VORTEX_28,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201220,-
1034149,26625737,29,VORTEX_29,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1034149,26625738,30,VORTEX_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625739,31,VORTEX_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625740,32,VORTEX_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625741,33,VORTEX_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625742,34,VORTEX_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625743,35,VORTEX_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625744,36,VORTEX_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625745,37,VORTEX_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625746,38,VORTEX_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625747,39,VORTEX_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625748,40,VORTEX_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625749,41,VORTEX_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625750,42,VORTEX_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625751,43,VORTEX_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625752,44,VORTEX_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625753,45,VORTEX_45,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201220,-
1034149,26625754,46,VORTEX_46,-,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201220,-
1034149,26625755,47,VORTEX_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625756,48,VORTEX_48,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201220,-
1034149,26625757,49,VORTEX_49,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201220,-
1034149,26625758,50,VORTEX_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625759,51,VORTEX_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625760,52,VORTEX_52,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201220,-
1034149,26625761,53,VORTEX_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625762,54,VORTEX_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625763,55,VORTEX_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625764,56,VORTEX_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625765,57,VORTEX_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625766,58,VORTEX_58,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20201220,-
1034149,26625767,59,VORTEX_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625768,60,VORTEX_60,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201220,-
1034149,26625769,61,VORTEX_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625770,62,VORTEX_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625771,63,VORTEX_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625772,64,VORTEX_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625773,65,VORTEX_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625774,67,VORTEX_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625775,68,VORTEX_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625776,69,VORTEX_69,-,-,-,-,RNaseE,protein-coding,-,-,-,RNaseE,20210417,-
1034149,26625777,70,VORTEX_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625778,71,VORTEX_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625779,72,VORTEX_72,-,-,-,-,PLA2-like protein,protein-coding,-,-,-,PLA2-like protein,20210212,-
1034149,26625780,73,VORTEX_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625781,74,VORTEX_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625782,75,VORTEX_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625783,76,VORTEX_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625784,77,VORTEX_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625785,78,VORTEX_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625786,79,VORTEX_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625787,80,VORTEX_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625788,81,VORTEX_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625789,82,VORTEX_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625790,83,VORTEX_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625791,84,VORTEX_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625792,85,VORTEX_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625793,86,VORTEX_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625794,87,VORTEX_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625795,88,VORTEX_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625796,89,VORTEX_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625797,90,VORTEX_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625798,91,VORTEX_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625799,92,VORTEX_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625800,93,VORTEX_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625801,94,VORTEX_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625802,95,VORTEX_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625803,96,VORTEX_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625804,97,VORTEX_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625805,98,VORTEX_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625806,99,VORTEX_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625807,66,VORTEX_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034149,26625808,1,VORTEX_1,-,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20210123,-
1034149,26680533,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Vortex).,other,-,-,-,-,20200513,-
