#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1662333,40092788,FDI78_gp02,FDI78_gp02,RCCRONUS_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1662333,40092789,FDI78_gp03,FDI78_gp03,RCCRONUS_3,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201221,-
1662333,40092790,FDI78_gp04,FDI78_gp04,RCCRONUS_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662333,40092791,FDI78_gp05,FDI78_gp05,RCCRONUS_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662333,40092792,FDI78_gp06,FDI78_gp06,RCCRONUS_6,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1662333,40092793,FDI78_gp07,FDI78_gp07,RCCRONUS_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1662333,40092794,FDI78_gp08,FDI78_gp08,RCCRONUS_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662333,40092795,FDI78_gp09,FDI78_gp09,RCCRONUS_9,-,-,-,head-to-tail joining protein,protein-coding,-,-,-,head-to-tail joining protein,20201221,-
1662333,40092796,FDI78_gp10,FDI78_gp10,RCCRONUS_10,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1662333,40092797,FDI78_gp11,FDI78_gp11,RCCRONUS_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662333,40092798,FDI78_gp13,FDI78_gp13,RCCRONUS_13,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20201221,-
1662333,40092799,FDI78_gp12,FDI78_gp12,RCCRONUS_11,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1662333,40092800,FDI78_gp14,FDI78_gp14,RCCRONUS_14,-,-,-,glycoside hydrolase family protein,protein-coding,-,-,-,glycoside hydrolase family protein,20201221,-
1662333,40092801,FDI78_gp15,FDI78_gp15,RCCRONUS_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662333,40092802,FDI78_gp16,FDI78_gp16,RCCRONUS_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1662333,40092803,FDI78_gp17,FDI78_gp17,RCCRONUS_17,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20201221,-
1662333,40092804,FDI78_gp18,FDI78_gp18,RCCRONUS_18,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20201221,-
1662333,40092805,FDI78_gp19,FDI78_gp19,RCCRONUS_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662333,40092806,FDI78_gp20,FDI78_gp20,RCCRONUS_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1662333,40092807,FDI78_gp21,FDI78_gp21,RCCRONUS_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662333,40092808,FDI78_gp22,FDI78_gp22,RCCRONUS_22,-,-,-,A1-like protein,protein-coding,-,-,-,A1-like protein,20201221,-
