#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1161901,12980109,PBC1_gp12,PBC1_gp12,PBC1_012,-,-,-,putative minor capsid protein 2,protein-coding,-,-,-,putative minor capsid protein 2,20201221,-
1161901,12980110,PBC1_gp13,PBC1_gp13,PBC1_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980111,PBC1_gp14,PBC1_gp14,PBC1_014,-,-,-,major capsid protein gpP,protein-coding,-,-,-,major capsid protein gpP,20201221,-
1161901,12980112,PBC1_gp15,PBC1_gp15,PBC1_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980113,PBC1_gp16,PBC1_gp16,PBC1_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980114,PBC1_gp17,PBC1_gp17,PBC1_017,-,-,-,tail length tape measure protein,protein-coding,-,-,-,tail length tape measure protein,20201221,-
1161901,12980115,PBC1_gp18,PBC1_gp18,PBC1_018,-,-,-,putative YD repeat protein,protein-coding,-,-,-,putative YD repeat protein,20201221,-
1161901,12980116,PBC1_gp19,PBC1_gp19,PBC1_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980117,PBC1_gp20,PBC1_gp20,PBC1_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980118,PBC1_gp21,PBC1_gp21,PBC1_021,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1161901,12980119,PBC1_gp22,PBC1_gp22,PBC1_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980120,PBC1_gp23,PBC1_gp23,PBC1_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980121,PBC1_gp24,PBC1_gp24,PBC1_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980122,PBC1_gp25,PBC1_gp25,PBC1_025,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20201221,-
1161901,12980123,PBC1_gp26,PBC1_gp26,PBC1_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980124,PBC1_gp27,PBC1_gp27,PBC1_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980125,PBC1_gp28,PBC1_gp28,PBC1_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980126,PBC1_gp29,PBC1_gp29,PBC1_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980127,PBC1_gp30,PBC1_gp30,PBC1_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980128,PBC1_gp31,PBC1_gp31,PBC1_031,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20201221,-
1161901,12980129,PBC1_gp32,PBC1_gp32,PBC1_032,-,-,-,putative MazG nucleotide pyrophosphohydrolase,protein-coding,-,-,-,putative MazG nucleotide pyrophosphohydrolase,20201221,-
1161901,12980130,PBC1_gp33,PBC1_gp33,PBC1_033,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1161901,12980131,PBC1_gp34,PBC1_gp34,PBC1_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980132,PBC1_gp35,PBC1_gp35,PBC1_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980133,PBC1_gp36,PBC1_gp36,PBC1_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980134,PBC1_gp37,PBC1_gp37,PBC1_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980135,PBC1_gp38,PBC1_gp38,PBC1_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980136,PBC1_gp39,PBC1_gp39,PBC1_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980137,PBC1_gp40,PBC1_gp40,PBC1_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980138,PBC1_gp41,PBC1_gp41,PBC1_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980139,PBC1_gp42,PBC1_gp42,PBC1_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980140,PBC1_gp43,PBC1_gp43,PBC1_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980141,PBC1_gp44,PBC1_gp44,PBC1_044,-,-,-,glutaredoxin-like protein,protein-coding,-,-,-,glutaredoxin-like protein,20201221,-
1161901,12980142,PBC1_gp45,PBC1_gp45,PBC1_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980143,PBC1_gp46,PBC1_gp46,PBC1_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980144,PBC1_gp47,PBC1_gp47,PBC1_047,-,-,-,resolvase domain-containing protein,protein-coding,-,-,-,resolvase domain-containing protein,20201221,-
1161901,12980145,PBC1_gp48,PBC1_gp48,PBC1_048,-,-,-,P-loop containing nucleoside triphosphate hydrolase,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase,20201221,-
1161901,12980146,PBC1_gp49,PBC1_gp49,PBC1_049,-,-,-,VRR-NUC domain-containing protein,protein-coding,-,-,-,VRR-NUC domain-containing protein,20201221,-
1161901,12980147,PBC1_gp50,PBC1_gp50,PBC1_050,-,-,-,SNF2-like protein,protein-coding,-,-,-,SNF2-like protein,20201221,-
1161901,12980148,PBC1_gp01,PBC1_gp01,PBC1_001,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20201221,-
1161901,12980149,PBC1_gp02,PBC1_gp02,PBC1_002,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1161901,12980150,PBC1_gp03,PBC1_gp03,PBC1_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980151,PBC1_gp04,PBC1_gp04,PBC1_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980152,PBC1_gp05,PBC1_gp05,PBC1_005,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1161901,12980153,PBC1_gp06,PBC1_gp06,PBC1_006,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1161901,12980154,PBC1_gp07,PBC1_gp07,PBC1_007,-,-,-,putative minor structural protein,protein-coding,-,-,-,putative minor structural protein,20201221,-
1161901,12980155,PBC1_gp08,PBC1_gp08,PBC1_008,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1161901,12980156,PBC1_gp09,PBC1_gp09,PBC1_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980157,PBC1_gp10,PBC1_gp10,PBC1_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161901,12980158,PBC1_gp11,PBC1_gp11,PBC1_011,-,-,-,putative minor capsid protein 1,protein-coding,-,-,-,putative minor capsid protein 1,20201221,-
1161901,13036214,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacillus cereus Bacteriophage PBC1).,other,-,-,-,-,20200513,-
