#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1445727,18503843,2,CH12_gp02,PBI_OAKER_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1445727,18503844,3,CH12_gp03,PBI_OAKER_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503845,4,CH12_gp04,PBI_OAKER_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503846,5,CH12_gp05,PBI_OAKER_5,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
1445727,18503847,6,CH12_gp06,PBI_OAKER_6,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1445727,18503848,7,CH12_gp07,PBI_OAKER_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503849,8,CH12_gp08,PBI_OAKER_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503850,9,CH12_gp09,PBI_OAKER_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503851,10,CH12_gp10,PBI_OAKER_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503852,11,CH12_gp11,PBI_OAKER_11,-,-,-,protease,protein-coding,-,-,-,protease,20201221,-
1445727,18503853,12,CH12_gp12,PBI_OAKER_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503854,13,CH12_gp13,PBI_OAKER_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503855,14,CH12_gp14,PBI_OAKER_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503856,15,CH12_gp15,PBI_OAKER_15,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1445727,18503857,16,CH12_gp16,PBI_OAKER_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503858,17,CH12_gp17,PBI_OAKER_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503859,18,CH12_gp18,PBI_OAKER_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503860,19,CH12_gp19,PBI_OAKER_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503861,20,CH12_gp20,PBI_OAKER_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503862,21,CH12_gp21,PBI_OAKER_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503863,22,CH12_gp22,PBI_OAKER_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503864,23,CH12_gp23,PBI_OAKER_23,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
