#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1933107,54979095,HOR57_gp02,HOR57_gp02,B_2,-,-,-,putative acetyltransferase,protein-coding,-,-,-,putative acetyltransferase,20210212,-
1933107,54979096,HOR57_gp03,HOR57_gp03,B_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933107,54979097,HOR57_gp04,HOR57_gp04,B_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933107,54979098,HOR57_gp05,HOR57_gp05,B_5,-,-,-,ATP-dependent DNA ligase,protein-coding,-,-,-,ATP-dependent DNA ligase,20210212,-
1933107,54979099,HOR57_gp06,HOR57_gp06,B_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933107,54979100,HOR57_gp07,HOR57_gp07,B_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1933107,54979101,HOR57_gp08,HOR57_gp08,B_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1933107,54979102,HOR57_gp09,HOR57_gp09,B_9,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210212,-
1933107,54979103,HOR57_gp10,HOR57_gp10,B_10,-,-,-,recombination endonuclease VII,protein-coding,-,-,-,recombination endonuclease VII,20210212,-
1933107,54979104,HOR57_gp11,HOR57_gp11,B_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1933107,54979105,HOR57_gp12,HOR57_gp12,B_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933107,54979106,HOR57_gp13,HOR57_gp13,B_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933107,54979107,HOR57_gp14,HOR57_gp14,B_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933107,54979108,HOR57_gp15,HOR57_gp15,B_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933107,54979109,HOR57_gp16,HOR57_gp16,B_16,-,-,-,polysaccharide chain length determinant protein,protein-coding,-,-,-,polysaccharide chain length determinant protein,20201221,-
1933107,54979110,HOR57_gp17,HOR57_gp17,B_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933107,54979111,HOR57_gp18,HOR57_gp18,B_18,-,-,-,thermostable DNA polymerase I,protein-coding,-,-,-,thermostable DNA polymerase I,20210129,-
1933107,54979112,HOR57_gp19,HOR57_gp19,B_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933107,54979113,HOR57_gp20,HOR57_gp20,B_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933107,54979114,HOR57_gp21,HOR57_gp21,B_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933107,54979115,HOR57_gp22,HOR57_gp22,B_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
