#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1887644,29068461,2,BIZ75_gp02,SEA_CAROLANN_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1887644,29068462,4,BIZ75_gp04,SEA_CAROLANN_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200927,-
1887644,29068463,5,BIZ75_gp05,SEA_CAROLANN_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1887644,29068464,6,BIZ75_gp06,SEA_CAROLANN_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1887644,29068465,7,BIZ75_gp07,SEA_CAROLANN_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1887644,29068466,9,BIZ75_gp09,SEA_CAROLANN_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200927,-
1887644,29068467,10,BIZ75_gp10,SEA_CAROLANN_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068468,11,BIZ75_gp11,SEA_CAROLANN_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068469,12,BIZ75_gp12,SEA_CAROLANN_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068470,13,BIZ75_gp13,SEA_CAROLANN_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200927,-
1887644,29068471,14,BIZ75_gp14,SEA_CAROLANN_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1887644,29068472,16,BIZ75_gp15,SEA_CAROLANN_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1887644,29068473,17,BIZ75_gp17,SEA_CAROLANN_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1887644,29068474,18,BIZ75_gp18,SEA_CAROLANN_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
1887644,29068475,20,BIZ75_gp20,SEA_CAROLANN_20,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",protein-coding,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",20210424,-
1887644,29068476,22,BIZ75_gp22,SEA_CAROLANN_22,-,-,-,holin,protein-coding,-,-,-,holin,20210424,-
1887644,29068477,23,BIZ75_gp23,SEA_CAROLANN_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068478,24,BIZ75_gp24,SEA_CAROLANN_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068479,25,BIZ75_gp25,SEA_CAROLANN_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068480,26,BIZ75_gp26,SEA_CAROLANN_26,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210424,-
1887644,29068481,27,BIZ75_gp27,SEA_CAROLANN_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068482,28,BIZ75_gp28,SEA_CAROLANN_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1887644,29068483,29,BIZ75_gp29,SEA_CAROLANN_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1887644,29068484,30,BIZ75_gp30,SEA_CAROLANN_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068485,31,BIZ75_gp31,SEA_CAROLANN_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
1887644,29068486,32,BIZ75_gp32,SEA_CAROLANN_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068487,33,BIZ75_gp33,SEA_CAROLANN_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068488,34,BIZ75_gp34,SEA_CAROLANN_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068489,35,BIZ75_gp35,SEA_CAROLANN_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068490,36,BIZ75_gp36,SEA_CAROLANN_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
