#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
455364,26048869,ceV_002,ceV_002,-,-,-,-,multiple glycosyltransferase domain containing protein,protein-coding,-,-,-,multiple glycosyltransferase domain containing protein,20200909,-
455364,26048870,ceV_003,ceV_003,-,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20200909,-
455364,26048871,ceV_004,ceV_004,-,-,-,-,UDP-N-acetylglucosamine 2-epimerase,protein-coding,-,-,-,UDP-N-acetylglucosamine 2-epimerase,20200909,-
455364,26048872,ceV_005,ceV_005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048873,ceV_006,ceV_006,-,-,-,-,putative NAD-dependant dehydrogenase,protein-coding,-,-,-,putative NAD-dependant dehydrogenase,20200909,-
455364,26048874,ceV_007,ceV_007,-,-,-,-,"dTDP-D-glucose 4,6-dehydratase/N-acetylglucosamine-1-phosphate urydiltransferase fusion protein",protein-coding,-,-,-,"dTDP-D-glucose 4,6-dehydratase/N-acetylglucosamine-1-phosphate urydiltransferase fusion protein",20200909,-
455364,26048875,ceV_008,ceV_008,-,-,-,-,Ubox domain containing protein,protein-coding,-,-,-,Ubox domain containing protein,20200909,-
455364,26048876,ceV_009,ceV_009,-,-,-,-,"Alpha-1,2-fucosyltransferase",protein-coding,-,-,-,"Alpha-1,2-fucosyltransferase",20200909,-
455364,26048877,ceV_010,ceV_010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048878,ceV_011,ceV_011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048879,ceV_012,ceV_012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048880,ceV_013,ceV_013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048881,ceV_014,ceV_014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048882,ceV_015,ceV_015,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200909,-
455364,26048883,ceV_016,ceV_016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
