#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1402,2828069,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Clostridium licheniforme; Denitrobacillus licheniformis.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20201024,-
1402,39461736,EQY74_RS23455,EQY74_RS23455,EQY74_23455,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461737,EQY74_RS23520,EQY74_RS23520,EQY74_23520,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461739,EQY74_RS23510,EQY74_RS23510,EQY74_23510,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461740,EQY74_RS23505,EQY74_RS23505,EQY74_23505,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461741,EQY74_RS23300,EQY74_RS23300,EQY74_23300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1402,39461742,EQY74_RS23435,EQY74_RS23435,EQY74_23435,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461743,EQY74_RS23680,EQY74_RS23680,EQY74_23680,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461744,EQY74_RS23675,EQY74_RS23675,EQY74_23675,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461747,EQY74_RS23660,EQY74_RS23660,EQY74_23660,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461750,EQY74_RS23705,EQY74_RS23705,EQY74_23705,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461752,EQY74_RS23485,EQY74_RS23485,EQY74_23485,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461754,EQY74_RS23490,EQY74_RS23490,EQY74_23490,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461756,EQY74_RS23380,EQY74_RS23380,EQY74_23380,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461757,EQY74_RS23635,EQY74_RS23635,EQY74_23635,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1402,39461759,EQY74_RS23350,EQY74_RS23350,EQY74_23350,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461761,EQY74_RS23715,EQY74_RS23715,EQY74_23715,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461763,EQY74_RS23370,EQY74_RS23370,EQY74_23370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461764,EQY74_RS23495,EQY74_RS23495,EQY74_23495,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461765,EQY74_RS23615,EQY74_RS23615,EQY74_23615,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461767,EQY74_RS23270,EQY74_RS23270,EQY74_23270,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1402,39461768,EQY74_RS23450,EQY74_RS23450,EQY74_23450,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461769,EQY74_RS23225,EQY74_RS23225,EQY74_23225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461770,EQY74_RS23585,EQY74_RS23585,EQY74_23585,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461771,EQY74_RS23250,EQY74_RS23250,EQY74_23250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1402,39461773,EQY74_RS23410,EQY74_RS23410,EQY74_23410,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461775,EQY74_RS23540,EQY74_RS23540,EQY74_23540,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1402,39461776,EQY74_RS23430,EQY74_RS23430,EQY74_23430,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461777,EQY74_RS23605,EQY74_RS23605,EQY74_23605,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461778,EQY74_RS23610,EQY74_RS23610,EQY74_23610,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461779,EQY74_RS23465,EQY74_RS23465,EQY74_23465,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461780,EQY74_RS23700,EQY74_RS23700,EQY74_23700,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461781,EQY74_RS23565,EQY74_RS23565,EQY74_23565,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461783,EQY74_RS23230,EQY74_RS23230,EQY74_23230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461784,EQY74_RS23500,EQY74_RS23500,EQY74_23500,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461785,EQY74_RS23330,EQY74_RS23330,EQY74_23330,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461786,EQY74_RS23395,EQY74_RS23395,EQY74_23395,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461787,EQY74_RS23405,EQY74_RS23405,EQY74_23405,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461788,EQY74_RS23400,EQY74_RS23400,EQY74_23400,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461789,EQY74_RS23275,EQY74_RS23275,EQY74_23275,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461790,EQY74_RS23220,EQY74_RS23220,EQY74_23220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461794,EQY74_RS23245,EQY74_RS23245,EQY74_23245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461795,EQY74_RS23260,EQY74_RS23260,EQY74_23260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1402,39461797,EQY74_RS23595,EQY74_RS23595,EQY74_23595,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461798,EQY74_RS23710,EQY74_RS23710,EQY74_23710,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461799,EQY74_RS23685,EQY74_RS23685,EQY74_23685,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
1402,39461801,EQY74_RS23305,EQY74_RS23305,EQY74_23305,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461802,EQY74_RS23315,EQY74_RS23315,EQY74_23315,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461804,EQY74_RS23280,EQY74_RS23280,EQY74_23280,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461806,EQY74_RS23690,EQY74_RS23690,EQY74_23690,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461807,EQY74_RS23265,EQY74_RS23265,EQY74_23265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461808,EQY74_RS23255,EQY74_RS23255,EQY74_23255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461809,EQY74_RS23575,EQY74_RS23575,EQY74_23575,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461811,EQY74_RS23325,EQY74_RS23325,EQY74_23325,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1402,39461812,EQY74_RS23620,EQY74_RS23620,EQY74_23620,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461813,EQY74_RS23445,EQY74_RS23445,EQY74_23445,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461814,EQY74_RS23235,EQY74_RS23235,EQY74_23235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1402,39461817,EQY74_RS23630,EQY74_RS23630,EQY74_23630,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461818,EQY74_RS23295,EQY74_RS23295,EQY74_23295,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461819,EQY74_RS23415,EQY74_RS23415,EQY74_23415,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461820,EQY74_RS23285,EQY74_RS23285,EQY74_23285,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461821,EQY74_RS23365,EQY74_RS23365,EQY74_23365,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461822,EQY74_RS23475,EQY74_RS23475,EQY74_23475,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461824,EQY74_RS23240,EQY74_RS23240,EQY74_23240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461825,EQY74_RS23440,EQY74_RS23440,EQY74_23440,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461826,EQY74_RS23390,EQY74_RS23390,EQY74_23390,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461828,EQY74_RS23290,EQY74_RS23290,EQY74_23290,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461829,EQY74_RS23335,EQY74_RS23335,EQY74_23335,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461830,EQY74_RS23340,EQY74_RS23340,EQY74_23340,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1402,39461831,EQY74_RS23385,EQY74_RS23385,EQY74_23385,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461832,EQY74_RS23695,EQY74_RS23695,EQY74_23695,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1402,39461833,EQY74_RS23600,EQY74_RS23600,EQY74_23600,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
