#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1792287,56167398,H3H30_gp02,H3H30_gp02,vBEcoSP27_02,-,-,-,adenine methylase,protein-coding,-,-,-,adenine methylase,20200905,-
1792287,56167399,H3H30_gp03,H3H30_gp03,vBEcoSP27_03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167400,H3H30_gp04,H3H30_gp04,vBEcoSP27_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167401,H3H30_gp05,H3H30_gp05,vBEcoSP27_05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167402,H3H30_gp06,H3H30_gp06,vBEcoSP27_06,-,-,-,EaA protein,protein-coding,-,-,-,EaA protein,20210406,-
1792287,56167403,H3H30_gp07,H3H30_gp07,vBEcoSP27_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167404,H3H30_gp08,H3H30_gp08,vBEcoSP27_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167405,H3H30_gp09,H3H30_gp09,vBEcoSP27_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167406,H3H30_gp10,H3H30_gp10,vBEcoSP27_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167407,H3H30_gp11,H3H30_gp11,vBEcoSP27_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167408,H3H30_gp12,H3H30_gp12,vBEcoSP27_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167409,H3H30_gp13,H3H30_gp13,vBEcoSP27_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167410,H3H30_gp14,H3H30_gp14,vBEcoSP27_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167411,H3H30_gp15,H3H30_gp15,vBEcoSP27_15,-,-,-,exo,protein-coding,-,-,-,exo,20210327,-
1792287,56167412,H3H30_gp16,H3H30_gp16,vBEcoSP27_16,-,-,-,recombination protein Bet,protein-coding,-,-,-,recombination protein Bet,20200905,-
1792287,56167413,H3H30_gp17,H3H30_gp17,vBEcoSP27_17,-,-,-,host-nuclease inhibitor protein Gam,protein-coding,-,-,-,host-nuclease inhibitor protein Gam,20210406,-
1792287,56167414,H3H30_gp18,H3H30_gp18,vBEcoSP27_18,-,-,-,Kil protein,protein-coding,-,-,-,Kil protein,20210424,-
1792287,56167415,H3H30_gp19,H3H30_gp19,vBEcoSP27_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1792287,56167416,H3H30_gp20,H3H30_gp20,vBEcoSP27_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167417,H3H30_gp21,H3H30_gp21,vBEcoSP27_21,-,-,-,antitermination protein N,protein-coding,-,-,-,antitermination protein N,20200728,-
1792287,56167418,H3H30_gp22,H3H30_gp22,vBEcoSP27_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167419,H3H30_gp23,H3H30_gp23,vBEcoSP27_23,-,-,-,serine/threonine protein kinase,protein-coding,-,-,-,serine/threonine protein kinase,20201003,-
1792287,56167420,H3H30_gp24,H3H30_gp24,vBEcoSP27_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1792287,56167421,H3H30_gp25,H3H30_gp25,vBEcoSP27_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1792287,56167422,H3H30_gp26,H3H30_gp26,vBEcoSP27_26,-,-,-,repressor protein CI,protein-coding,-,-,-,repressor protein CI,20201003,-
1792287,56167423,H3H30_gp27,H3H30_gp27,vBEcoSP27_27,-,-,-,regulatory protein Cro,protein-coding,-,-,-,regulatory protein Cro,20210129,-
1792287,56167424,H3H30_gp28,H3H30_gp28,vBEcoSP27_28,-,-,-,regulatory protein CII,protein-coding,-,-,-,regulatory protein CII,20210406,-
1792287,56167425,H3H30_gp29,H3H30_gp29,vBEcoSP27_29,-,-,-,replication protein O,protein-coding,-,-,-,replication protein O,20201010,-
1792287,56167426,H3H30_gp30,H3H30_gp30,vBEcoSP27_30,-,-,-,replication protein P,protein-coding,-,-,-,replication protein P,20210406,-
1792287,56167427,H3H30_gp31,H3H30_gp31,vBEcoSP27_31,-,-,-,ren exclusion protein,protein-coding,-,-,-,ren exclusion protein,20200728,-
1792287,56167428,H3H30_gp32,H3H30_gp32,vBEcoSP27_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167429,H3H30_gp33,H3H30_gp33,vBEcoSP27_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167430,H3H30_gp34,H3H30_gp34,vBEcoSP27_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167431,H3H30_gp35,H3H30_gp35,vBEcoSP27_35,-,-,-,NinB DNA recombination protein,protein-coding,-,-,-,NinB DNA recombination protein,20210129,-
1792287,56167432,H3H30_gp36,H3H30_gp36,vBEcoSP27_36,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210129,-
