#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
663557,8683796,2,PEACHES_2,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
663557,8683797,3,PEACHES_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683798,4,PEACHES_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
663557,8683799,5,PEACHES_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683800,6,PEACHES_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683801,7,PEACHES_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683802,8,PEACHES_8,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
663557,8683803,9,PEACHES_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683804,10,PEACHES_10,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210102,-
663557,8683805,11,PEACHES_11,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210102,-
663557,8683806,12,PEACHES_12,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
663557,8683807,13,PEACHES_13,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210102,-
663557,8683808,14,PEACHES_14,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210102,-
663557,8683809,15,PEACHES_15,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
663557,8683810,16,PEACHES_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683811,17,PEACHES_17,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
663557,8683812,18,PEACHES_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683813,19,PEACHES_19,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
663557,8683814,20,PEACHES_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
663557,8683815,21,PEACHES_21,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
663557,8683816,22,PEACHES_22,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
663557,8683817,24,PEACHES_24,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210102,-
663557,8683818,23,PEACHES_23,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210123,-
663557,8683819,25,PEACHES_25,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
663557,8683820,26,PEACHES_26,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
663557,8683821,27,PEACHES_27,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
663557,8683822,28,PEACHES_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683823,29,PEACHES_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683824,30,PEACHES_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683825,31,PEACHES_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683826,32,PEACHES_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683827,33,PEACHES_33,-,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20201221,-
663557,8683828,34,PEACHES_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683829,35,PEACHES_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683830,36,PEACHES_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683831,37,PEACHES_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683832,38,PEACHES_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683833,39,PEACHES_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683834,40,PEACHES_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
663557,8683835,41,PEACHES_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683836,42,PEACHES_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683837,43,PEACHES_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683838,44,PEACHES_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683839,45,PEACHES_45,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210417,-
663557,8683840,46,PEACHES_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
663557,8683841,47,PEACHES_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683842,48,PEACHES_48,-,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210417,-
663557,8683843,49,PEACHES_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
