#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713262,62974233,2,JZX77_gp02,SEA_DUMPSTERDUDE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210228,-
2713262,62974234,3,JZX77_gp03,SEA_DUMPSTERDUDE_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210320,-
2713262,62974235,4,JZX77_gp04,SEA_DUMPSTERDUDE_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210320,-
2713262,62974236,5,JZX77_gp05,SEA_DUMPSTERDUDE_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210228,-
2713262,62974237,6,JZX77_gp06,SEA_DUMPSTERDUDE_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210228,-
2713262,62974238,7,JZX77_gp07,SEA_DUMPSTERDUDE_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2713262,62974239,8,JZX77_gp08,SEA_DUMPSTERDUDE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2713262,62974240,9,JZX77_gp09,SEA_DUMPSTERDUDE_9,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210228,-
2713262,62974241,10,JZX77_gp10,SEA_DUMPSTERDUDE_10,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210228,-
2713262,62974242,11,JZX77_gp11,SEA_DUMPSTERDUDE_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210228,-
2713262,62974243,12,JZX77_gp12,SEA_DUMPSTERDUDE_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2713262,62974244,13,JZX77_gp13,SEA_DUMPSTERDUDE_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210228,-
2713262,62974245,14,JZX77_gp14,SEA_DUMPSTERDUDE_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2713262,62974246,16,JZX77_gp15,SEA_DUMPSTERDUDE_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210228,-
2713262,62974247,17,JZX77_gp17,SEA_DUMPSTERDUDE_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210320,-
2713262,62974248,15,JZX77_gp16,SEA_DUMPSTERDUDE_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210228,-
2713262,62974249,18,JZX77_gp18,SEA_DUMPSTERDUDE_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210228,-
2713262,62974250,19,JZX77_gp19,SEA_DUMPSTERDUDE_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210228,-
