#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2767562,60331726,2,I5H68_gp002,PBI_MOVA_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2767562,60331727,3,I5H68_gp003,PBI_MOVA_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201129,-
2767562,60331728,4,I5H68_gp004,PBI_MOVA_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210529,-
2767562,60331729,5,I5H68_gp005,PBI_MOVA_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2767562,60331730,6,I5H68_gp006,PBI_MOVA_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2767562,60331731,7,I5H68_gp007,PBI_MOVA_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2767562,60331732,8,I5H68_gp008,PBI_MOVA_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2767562,60331733,9,I5H68_gp009,PBI_MOVA_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2767562,60331734,10,I5H68_gp010,PBI_MOVA_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2767562,60331735,11,I5H68_gp011,PBI_MOVA_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2767562,60331736,12,I5H68_gp012,PBI_MOVA_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2767562,60331737,14,I5H68_gp013,PBI_MOVA_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2767562,60331738,15,I5H68_gp015,PBI_MOVA_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210529,-
2767562,60331739,13,I5H68_gp014,PBI_MOVA_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2767562,60331740,16,I5H68_gp016,PBI_MOVA_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2767562,60331741,17,I5H68_gp017,PBI_MOVA_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2767562,60331742,18,I5H68_gp018,PBI_MOVA_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2767562,60331743,19,I5H68_gp019,PBI_MOVA_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2767562,60331744,20,I5H68_gp020,PBI_MOVA_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210529,-
2767562,60331745,21,I5H68_gp021,PBI_MOVA_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2767562,60331746,22,I5H68_gp022,PBI_MOVA_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331747,23,I5H68_gp023,PBI_MOVA_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331748,24,I5H68_gp024,PBI_MOVA_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331749,25,I5H68_gp025,PBI_MOVA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331750,26,I5H68_gp026,PBI_MOVA_26,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2767562,60331751,27,I5H68_gp027,PBI_MOVA_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331752,28,I5H68_gp028,PBI_MOVA_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331753,30,I5H68_gp030,PBI_MOVA_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331754,31,I5H68_gp031,PBI_MOVA_31,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210529,-
2767562,60331755,32,I5H68_gp032,PBI_MOVA_32,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2767562,60331756,33,I5H68_gp033,PBI_MOVA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2767562,60331757,34,I5H68_gp034,PBI_MOVA_34,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210529,-
2767562,60331758,35,I5H68_gp035,PBI_MOVA_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331759,36,I5H68_gp036,PBI_MOVA_36,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20201129,-
2767562,60331760,37,I5H68_gp037,PBI_MOVA_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331761,38,I5H68_gp038,PBI_MOVA_38,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201129,-
2767562,60331762,39,I5H68_gp039,PBI_MOVA_39,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2767562,60331763,40,I5H68_gp040,PBI_MOVA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331764,41,I5H68_gp041,PBI_MOVA_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331765,42,I5H68_gp042,PBI_MOVA_42,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210529,-
2767562,60331766,43,I5H68_gp043,PBI_MOVA_43,-,-,-,RelE-like toxin,protein-coding,-,-,-,RelE-like toxin,20210529,-
2767562,60331767,44,I5H68_gp044,PBI_MOVA_44,-,-,-,RelB-like antitoxin,protein-coding,-,-,-,RelB-like antitoxin,20210403,-
2767562,60331768,45,I5H68_gp045,PBI_MOVA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331769,46,I5H68_gp046,PBI_MOVA_46,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210529,-
2767562,60331770,47,I5H68_gp047,PBI_MOVA_47,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210417,-
2767562,60331771,48,I5H68_gp048,PBI_MOVA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331772,49,I5H68_gp049,PBI_MOVA_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331773,51,I5H68_gp051,PBI_MOVA_51,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210529,-
2767562,60331774,52,I5H68_gp052,PBI_MOVA_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331775,53,I5H68_gp053,PBI_MOVA_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331776,54,I5H68_gp054,PBI_MOVA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331777,55,I5H68_gp055,PBI_MOVA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331778,56,I5H68_gp056,PBI_MOVA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331779,57,I5H68_gp057,PBI_MOVA_57,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210529,-
2767562,60331780,58,I5H68_gp058,PBI_MOVA_58,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210529,-
2767562,60331781,59,I5H68_gp059,PBI_MOVA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2767562,60331782,60,I5H68_gp060,PBI_MOVA_60,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210529,-
2767562,60331783,61,I5H68_gp061,PBI_MOVA_61,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210417,-
2767562,60331784,62,I5H68_gp062,PBI_MOVA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331785,64,I5H68_gp064,PBI_MOVA_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331786,65,I5H68_gp065,PBI_MOVA_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331787,66,I5H68_gp066,PBI_MOVA_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331788,67,I5H68_gp067,PBI_MOVA_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331789,68,I5H68_gp068,PBI_MOVA_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2767562,60331790,69,I5H68_gp069,PBI_MOVA_69,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210529,-
2767562,60331791,70,I5H68_gp070,PBI_MOVA_70,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210529,-
2767562,60331792,71,I5H68_gp071,PBI_MOVA_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331793,72,I5H68_gp072,PBI_MOVA_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331794,74,I5H68_gp074,PBI_MOVA_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331795,75,I5H68_gp075,PBI_MOVA_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331796,76,I5H68_gp076,PBI_MOVA_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331797,77,I5H68_gp077,PBI_MOVA_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331798,78,I5H68_gp078,PBI_MOVA_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331799,79,I5H68_gp079,PBI_MOVA_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2767562,60331800,80,I5H68_gp080,PBI_MOVA_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331801,82,I5H68_gp082,PBI_MOVA_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331802,83,I5H68_gp083,PBI_MOVA_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331803,84,I5H68_gp084,PBI_MOVA_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331804,85,I5H68_gp085,PBI_MOVA_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331805,86,I5H68_gp086,PBI_MOVA_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331806,87,I5H68_gp087,PBI_MOVA_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331807,88,I5H68_gp088,PBI_MOVA_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331808,89,I5H68_gp089,PBI_MOVA_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331809,90,I5H68_gp090,PBI_MOVA_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331810,91,I5H68_gp091,PBI_MOVA_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331811,92,I5H68_gp092,PBI_MOVA_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331812,93,I5H68_gp093,PBI_MOVA_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331813,94,I5H68_gp094,PBI_MOVA_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331814,95,I5H68_gp095,PBI_MOVA_95,-,-,-,G-I-Y-Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y-Y-I-G endonuclease,20210529,-
2767562,60331815,96,I5H68_gp096,PBI_MOVA_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331816,98,I5H68_gp098,PBI_MOVA_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
