#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713292,55817798,HYQ34_gp002,HYQ34_gp002,dinky_2,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210403,-
2713292,55817799,HYQ34_gp003,HYQ34_gp003,dinky_3,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20200910,-
2713292,55817800,HYQ34_gp004,HYQ34_gp004,dinky_4,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713292,55817801,HYQ34_gp005,HYQ34_gp005,dinky_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713292,55817802,HYQ34_gp006,HYQ34_gp006,dinky_6,-,-,-,tailspike,protein-coding,-,-,-,tailspike,20210403,-
2713292,55817803,HYQ34_gp007,HYQ34_gp007,dinky_7,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210129,-
2713292,55817804,HYQ34_gp008,HYQ34_gp008,dinky_8,-,-,-,tailspike protein,protein-coding,-,-,-,tailspike protein,20210403,-
2713292,55817805,HYQ34_gp009,HYQ34_gp009,dinky_9,-,-,-,VrlC protein,protein-coding,-,-,-,VrlC protein,20210129,-
2713292,55817806,HYQ34_gp010,HYQ34_gp010,dinky_10,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713292,55817807,HYQ34_gp011,HYQ34_gp011,dinky_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713292,55817808,HYQ34_gp012,HYQ34_gp012,dinky_12,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200919,-
2713292,55817809,HYQ34_gp013,HYQ34_gp013,dinky_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713292,55817810,HYQ34_gp014,HYQ34_gp014,dinky_14,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200919,-
2713292,55817811,HYQ34_gp015,HYQ34_gp015,dinky_15,-,-,-,proximal tail sheath stabilization protein,protein-coding,-,-,-,proximal tail sheath stabilization protein,20210313,-
2713292,55817812,HYQ34_gp016,HYQ34_gp016,dinky_16,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20200919,-
2713292,55817813,HYQ34_gp017,HYQ34_gp017,dinky_17,-,-,-,terminase DNA packaging enzyme large subunit,protein-coding,-,-,-,terminase DNA packaging enzyme large subunit,20200910,-
2713292,55817814,HYQ34_gp018,HYQ34_gp018,dinky_18,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210129,-
2713292,55817815,HYQ34_gp019,HYQ34_gp019,dinky_19,-,-,-,putative GIY-YIG endonuclease,protein-coding,-,-,-,putative GIY-YIG endonuclease,20210327,-
2713292,55817816,HYQ34_gp020,HYQ34_gp020,dinky_20,-,-,-,tail tube monomer,protein-coding,-,-,-,tail tube monomer,20200926,-
2713292,55817817,HYQ34_gp021,HYQ34_gp021,dinky_21,-,-,-,portal vertex protein of the head,protein-coding,-,-,-,portal vertex protein of the head,20200910,-
2713292,55817818,HYQ34_gp022,HYQ34_gp022,dinky_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713292,55817819,HYQ34_gp023,HYQ34_gp023,dinky_23,-,-,-,putative prohead core protein,protein-coding,-,-,-,putative prohead core protein,20200910,-
2713292,55817820,HYQ34_gp024,HYQ34_gp024,dinky_24,-,-,-,prohead core and protease,protein-coding,-,-,-,prohead core and protease,20210313,-
2713292,55817821,HYQ34_gp025,HYQ34_gp025,dinky_25,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20210123,-
2713292,55817822,HYQ34_gp026,HYQ34_gp026,dinky_26,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20210313,-
2713292,55817823,HYQ34_gp027,HYQ34_gp027,dinky_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713292,55817824,HYQ34_gp028,HYQ34_gp028,dinky_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713292,55817825,HYQ34_gp029,HYQ34_gp029,dinky_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713292,55817826,HYQ34_gp030,HYQ34_gp030,dinky_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713292,55817827,HYQ34_gp031,HYQ34_gp031,dinky_31,-,-,-,nucleotide-binding protein,protein-coding,-,-,-,nucleotide-binding protein,20200910,-
2713292,55817828,HYQ34_gp032,HYQ34_gp032,dinky_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713292,55817829,HYQ34_gp033,HYQ34_gp033,dinky_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713292,55817830,HYQ34_gp034,HYQ34_gp034,dinky_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
