#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2763102,65132160,KNV65_gp002,KNV65_gp002,phi9183_ORF002,-,-,-,RecD-like DNA helicase,protein-coding,-,-,-,RecD-like DNA helicase,20210608,-
2763102,65132161,KNV65_gp003,KNV65_gp003,phi9183_ORF003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132162,KNV65_gp004,KNV65_gp004,phi9183_ORF004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132163,KNV65_gp005,KNV65_gp005,phi9183_ORF005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132164,KNV65_gp006,KNV65_gp006,phi9183_ORF006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132165,KNV65_gp007,KNV65_gp007,phi9183_ORF007,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210608,-
2763102,65132166,KNV65_gp008,KNV65_gp008,phi9183_ORF008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132167,KNV65_gp009,KNV65_gp009,phi9183_ORF009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132168,KNV65_gp010,KNV65_gp010,phi9183_ORF010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132169,KNV65_gp011,KNV65_gp011,phi9183_ORF011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132170,KNV65_gp012,KNV65_gp012,phi9183_ORF012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132171,KNV65_gp013,KNV65_gp013,phi9183_ORF013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132172,KNV65_gp014,KNV65_gp014,phi9183_ORF014,-,-,-,lysine decarboxylase family,protein-coding,-,-,-,lysine decarboxylase family,20210608,-
2763102,65132173,KNV65_gp015,KNV65_gp015,phi9183_ORF015,-,-,-,purine trans deoxyribosylase nucleoside deoxyribosyltransferase-I,protein-coding,-,-,-,purine trans deoxyribosylase nucleoside deoxyribosyltransferase-I,20210608,-
2763102,65132174,KNV65_gp016,KNV65_gp016,phi9183_ORF016,-,-,-,deoxyguanosine kinase,protein-coding,-,-,-,deoxyguanosine kinase,20210608,-
2763102,65132175,KNV65_gp017,KNV65_gp017,phi9183_ORF017,-,-,-,NrdR-regulated deoxyribonucleotide transporter PnuC-like protein,protein-coding,-,-,-,NrdR-regulated deoxyribonucleotide transporter PnuC-like protein,20210608,-
2763102,65132176,KNV65_gp018,KNV65_gp018,phi9183_ORF018,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210608,-
2763102,65132177,KNV65_gp019,KNV65_gp019,phi9183_ORF019,-,-,-,DNA response regulator,protein-coding,-,-,-,DNA response regulator,20210608,-
2763102,65132178,KNV65_gp020,KNV65_gp020,phi9183_ORF020,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210608,-
2763102,65132179,KNV65_gp021,KNV65_gp021,phi9183_ORF021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132180,KNV65_gp022,KNV65_gp022,phi9183_ORF022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132181,KNV65_gp023,KNV65_gp023,phi9183_ORF023,-,-,-,single strand binding protein,protein-coding,-,-,-,single strand binding protein,20210608,-
2763102,65132182,KNV65_gp024,KNV65_gp024,phi9183_ORF024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132183,KNV65_gp025,KNV65_gp025,phi9183_ORF025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132184,KNV65_gp026,KNV65_gp026,phi9183_ORF026,-,-,-,ATP GTP binding protein,protein-coding,-,-,-,ATP GTP binding protein,20210608,-
2763102,65132185,KNV65_gp027,KNV65_gp027,phi9183_ORF027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132186,KNV65_gp028,KNV65_gp028,phi9183_ORF028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132187,KNV65_gp029,KNV65_gp029,phi9183_ORF029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132188,KNV65_gp030,KNV65_gp030,phi9183_ORF030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132189,KNV65_gp031,KNV65_gp031,phi9183_ORF031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132190,KNV65_gp032,KNV65_gp032,phi9183_ORF032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132191,KNV65_gp033,KNV65_gp033,phi9183_ORF033,-,-,-,replicative DNA helicase,protein-coding,-,-,-,replicative DNA helicase,20210608,-
2763102,65132192,KNV65_gp034,KNV65_gp034,phi9183_ORF034,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210608,-
2763102,65132193,KNV65_gp035,KNV65_gp035,phi9183_ORF035,-,-,-,single-stranded-DNA-specific exonuclease,protein-coding,-,-,-,single-stranded-DNA-specific exonuclease,20210608,-
2763102,65132194,KNV65_gp036,KNV65_gp036,phi9183_ORF036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132195,KNV65_gp037,KNV65_gp037,phi9183_ORF037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132196,KNV65_gp038,KNV65_gp038,phi9183_ORF038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132197,KNV65_gp039,KNV65_gp039,phi9183_ORF039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132198,KNV65_gp040,KNV65_gp040,phi9183_ORF040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132199,KNV65_gp041,KNV65_gp041,phi9183_ORF041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132200,KNV65_gp042,KNV65_gp042,phi9183_ORF042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132201,KNV65_gp043,KNV65_gp043,phi9183_ORF043,-,-,-,thymidylate kinase,protein-coding,-,-,-,thymidylate kinase,20210608,-
2763102,65132202,KNV65_gp044,KNV65_gp044,phi9183_ORF044,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210608,-
2763102,65132203,KNV65_gp045,KNV65_gp045,phi9183_ORF045,-,-,-,deoxyuridine 5-triphosphate nucleotidohydrolase,protein-coding,-,-,-,deoxyuridine 5-triphosphate nucleotidohydrolase,20210608,-
2763102,65132204,KNV65_gp046,KNV65_gp046,phi9183_ORF046,-,-,-,HAD hydrolase family protein,protein-coding,-,-,-,HAD hydrolase family protein,20210608,-
2763102,65132205,KNV65_gp047,KNV65_gp047,phi9183_ORF047,-,-,-,nucleoside-diphosphate-sugar pyrophosphorylase-like protein,protein-coding,-,-,-,nucleoside-diphosphate-sugar pyrophosphorylase-like protein,20210608,-
2763102,65132206,KNV65_gp048,KNV65_gp048,phi9183_ORF048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132207,KNV65_gp049,KNV65_gp049,phi9183_ORF049,-,-,-,ribonuclease HI,protein-coding,-,-,-,ribonuclease HI,20210608,-
2763102,65132208,KNV65_gp050,KNV65_gp050,phi9183_ORF050,-,-,-,nucleotide sugar synthetase-like protein,protein-coding,-,-,-,nucleotide sugar synthetase-like protein,20210608,-
2763102,65132209,KNV65_gp051,KNV65_gp051,phi9183_ORF051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132210,KNV65_gp052,KNV65_gp052,phi9183_ORF052,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20210608,-
2763102,65132211,KNV65_gp053,KNV65_gp053,phi9183_ORF053,-,-,-,DNA polymerase III alpha subunit,protein-coding,-,-,-,DNA polymerase III alpha subunit,20210608,-
2763102,65132212,KNV65_gp054,KNV65_gp054,phi9183_ORF054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132213,KNV65_gp055,KNV65_gp055,phi9183_ORF055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132214,KNV65_gp056,KNV65_gp056,phi9183_ORF056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132215,KNV65_gp057,KNV65_gp057,phi9183_ORF057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132216,KNV65_gp058,KNV65_gp058,phi9183_ORF058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132217,KNV65_gp059,KNV65_gp059,phi9183_ORF059,-,-,-,DUF2829 domain-containing protein,protein-coding,-,-,-,DUF2829 domain-containing protein,20210608,-
2763102,65132218,KNV65_gp060,KNV65_gp060,phi9183_ORF060,-,-,-,deoxyuridine 5-triphosphate nucleotidohydrolase,protein-coding,-,-,-,deoxyuridine 5-triphosphate nucleotidohydrolase,20210608,-
2763102,65132219,KNV65_gp061,KNV65_gp061,phi9183_ORF061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132220,KNV65_gp062,KNV65_gp062,phi9183_ORF062,-,-,-,guanylate kinase,protein-coding,-,-,-,guanylate kinase,20210608,-
2763102,65132221,KNV65_gp063,KNV65_gp063,phi9183_ORF063,-,-,-,RusA family crossover junction endodeoxyribonuclease,protein-coding,-,-,-,RusA family crossover junction endodeoxyribonuclease,20210608,-
2763102,65132222,KNV65_gp064,KNV65_gp064,phi9183_ORF064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132223,KNV65_gp065,KNV65_gp065,phi9183_ORF065,-,-,-,sigma-70 family RNA polymerase sigma factor,protein-coding,-,-,-,sigma-70 family RNA polymerase sigma factor,20210608,-
2763102,65132224,KNV65_gp066,KNV65_gp066,phi9183_ORF066,-,-,-,topoisomerase IV subunit B,protein-coding,-,-,-,topoisomerase IV subunit B,20210608,-
2763102,65132225,KNV65_gp067,KNV65_gp067,phi9183_ORF067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132226,KNV65_gp068,KNV65_gp068,phi9183_ORF068,-,-,-,DNA topoisomerase IV subunit A,protein-coding,-,-,-,DNA topoisomerase IV subunit A,20210608,-
2763102,65132227,KNV65_gp069,KNV65_gp069,phi9183_ORF069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132228,KNV65_gp070,KNV65_gp070,phi9183_ORF070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132229,KNV65_gp071,KNV65_gp071,phi9183_ORF071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132230,KNV65_gp072,KNV65_gp072,phi9183_ORF072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132231,KNV65_gp073,KNV65_gp073,phi9183_ORF073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132232,KNV65_gp074,KNV65_gp074,phi9183_ORF074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132233,KNV65_gp075,KNV65_gp075,phi9183_ORF075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132234,KNV65_gp076,KNV65_gp076,phi9183_ORF076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132235,KNV65_gp077,KNV65_gp077,phi9183_ORF077,-,-,-,site-specific recombinase,protein-coding,-,-,-,site-specific recombinase,20210608,-
2763102,65132236,KNV65_gp078,KNV65_gp078,phi9183_ORF078,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20210608,-
2763102,65132237,KNV65_gp079,KNV65_gp079,phi9183_ORF079,-,-,-,holin,protein-coding,-,-,-,holin,20210608,-
2763102,65132238,KNV65_gp080,KNV65_gp080,phi9183_ORF080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132239,KNV65_gp081,KNV65_gp081,phi9183_ORF081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132240,KNV65_gp082,KNV65_gp082,phi9183_ORF082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132241,KNV65_gp083,KNV65_gp083,phi9183_ORF083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132242,KNV65_gp084,KNV65_gp084,phi9183_ORF084,-,-,-,BppU family phage baseplate upper protein,protein-coding,-,-,-,BppU family phage baseplate upper protein,20210608,-
2763102,65132243,KNV65_gp085,KNV65_gp085,phi9183_ORF085,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2763102,65132244,KNV65_gp086,KNV65_gp086,phi9183_ORF086,-,-,-,endopeptidase,protein-coding,-,-,-,endopeptidase,20210608,-
2763102,65132245,KNV65_gp087,KNV65_gp087,phi9183_ORF087,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210608,-
2763102,65132246,KNV65_gp088,KNV65_gp088,phi9183_ORF088,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20210608,-
2763102,65132247,KNV65_gp089,KNV65_gp089,phi9183_ORF089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132248,KNV65_gp090,KNV65_gp090,phi9183_ORF090,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210608,-
2763102,65132249,KNV65_gp091,KNV65_gp091,phi9183_ORF091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132250,KNV65_gp092,KNV65_gp092,phi9183_ORF092,-,-,-,head-tail joining protein,protein-coding,-,-,-,head-tail joining protein,20210608,-
2763102,65132251,KNV65_gp093,KNV65_gp093,phi9183_ORF093,-,-,-,head-tail adaptor protein,protein-coding,-,-,-,head-tail adaptor protein,20210608,-
2763102,65132252,KNV65_gp094,KNV65_gp094,phi9183_ORF094,-,-,-,head-tail connector protein,protein-coding,-,-,-,head-tail connector protein,20210608,-
2763102,65132253,KNV65_gp095,KNV65_gp095,phi9183_ORF095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132254,KNV65_gp096,KNV65_gp096,phi9183_ORF096,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2763102,65132255,KNV65_gp097,KNV65_gp097,phi9183_ORF097,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20210608,-
2763102,65132256,KNV65_gp098,KNV65_gp098,phi9183_ORF098,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210608,-
2763102,65132257,KNV65_gp099,KNV65_gp099,phi9183_ORF099,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210608,-
2763102,65132258,KNV65_gt001,KNV65_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2763102,65132259,KNV65_gp108,KNV65_gp108,phi9183_ORF101,-,-,-,GIY-YIG homing endonuclease,protein-coding,-,-,-,GIY-YIG homing endonuclease,20210608,-
2763102,65132260,KNV65_gp107,KNV65_gp107,phi9183_ORF102,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210608,-
2763102,65132261,KNV65_gp106,KNV65_gp106,phi9183_ORF103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2763102,65132262,KNV65_gp105,KNV65_gp105,phi9183_ORF104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
