#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2027259,55808261,HYP47_gp02,HYP47_gp02,LP9903_02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2027259,55808262,HYP47_gp03,HYP47_gp03,LP9903_03,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200912,-
2027259,55808263,HYP47_gp04,HYP47_gp04,LP9903_04,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2027259,55808264,HYP47_gp05,HYP47_gp05,LP9903_05,-,-,-,protease,protein-coding,-,-,-,protease,20210424,-
2027259,55808265,HYP47_gp06,HYP47_gp06,LP9903_06,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200704,-
2027259,55808266,HYP47_gp07,HYP47_gp07,LP9903_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808267,HYP47_gp08,HYP47_gp08,LP9903_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808268,HYP47_gp09,HYP47_gp09,LP9903_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808269,HYP47_gp10,HYP47_gp10,LP9903_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808270,HYP47_gp11,HYP47_gp11,LP9903_11,-,-,-,neck passage structure,protein-coding,-,-,-,neck passage structure,20210424,-
2027259,55808271,HYP47_gp12,HYP47_gp12,LP9903_13,-,-,-,major tail protein extension,protein-coding,-,-,-,major tail protein extension,20210424,-
2027259,55808272,HYP47_gp14,HYP47_gp14,LP9903_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808273,HYP47_gp13,HYP47_gp13,LP9903_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210424,-
2027259,55808274,HYP47_gp15,HYP47_gp15,LP9903_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808275,HYP47_gp16,HYP47_gp16,LP9903_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2027259,55808276,HYP47_gp17,HYP47_gp17,LP9903_17,-,-,-,distal tail protein,protein-coding,-,-,-,distal tail protein,20210424,-
2027259,55808277,HYP47_gp18,HYP47_gp18,LP9903_18,-,-,-,tail associated lysin,protein-coding,-,-,-,tail associated lysin,20210424,-
2027259,55808278,HYP47_gp19,HYP47_gp19,LP9903_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808279,HYP47_gp20,HYP47_gp20,LP9903_20,-,-,-,receptor binding protein,protein-coding,-,-,-,receptor binding protein,20210424,-
2027259,55808280,HYP47_gp21,HYP47_gp21,LP9903_21,-,-,-,holin,protein-coding,-,-,-,holin,20200704,-
2027259,55808281,HYP47_gp22,HYP47_gp22,LP9903_22,-,-,-,lysin,protein-coding,-,-,-,lysin,20210424,-
2027259,55808282,HYP47_gp23,HYP47_gp23,LP9903_23,-,-,-,putative lytic transglycosylase,protein-coding,-,-,-,putative lytic transglycosylase,20210515,-
2027259,55808283,HYP47_gp24,HYP47_gp24,LP9903_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808284,HYP47_gp25,HYP47_gp25,LP9903_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808285,HYP47_gp26,HYP47_gp26,LP9903_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808286,HYP47_gp27,HYP47_gp27,LP9903_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808287,HYP47_gp28,HYP47_gp28,LP9903_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808288,HYP47_gp29,HYP47_gp29,LP9903_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808289,HYP47_gp30,HYP47_gp30,LP9903_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2027259,55808290,HYP47_gp31,HYP47_gp31,LP9903_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808291,HYP47_gp32,HYP47_gp32,LP9903_32,-,-,-,methylase,protein-coding,-,-,-,methylase,20200704,-
