#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
41875,18158058,Rps12,BathyMg00251,-,-,MT,-,ribosomal protein S12,protein-coding,-,-,-,-,20160827,-
41875,18158059,nad10,BathyMg00140,-,-,MT,-,NADH dehydrogenase subunit 10,protein-coding,-,-,-,-,20150626,-
41875,18158060,atp4,BathyMg00120,-,-,MT,-,ATPase subunit 4,protein-coding,-,-,-,-,20170826,-
41875,18158061,cox1,BathyMg00240,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,-,20170826,-
41875,18158062,Rps4,BathyMg00210,-,-,MT,-,Ribosomal protein S4,protein-coding,-,-,-,-,20160827,-
41875,18158063,atp8,BathyMg00130,-,-,MT,-,ATP synthase F0 subunit 8,protein-coding,-,-,-,-,20160827,-
41875,18158064,BathyMg00264,BathyMg00264,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,-,20151212,-
41875,18158065,nad6,BathyMg00253,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,-,20160827,-
41875,18158066,tRNA_Tyr_GTA,BathyMg00122,-,-,MT,-,tRNA,tRNA,-,-,-,-,20140913,-
41875,18158067,atp4,BathyMg00230,-,-,MT,-,ATPase subunit 4,protein-coding,-,-,-,-,20170826,-
41875,18158068,tRNA_Leu_TAG,BathyMg00202,-,-,MT,-,tRNA,tRNA,-,-,-,-,20140913,-
41875,18158069,rRNA_MitLSU,BathyMg00102,-,-,MT,-,ribosomal RNA MitLSU (n/a),rRNA,-,-,-,-,20140913,-
41875,18158070,BathyMg00263,BathyMg00263,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,-,20151212,-
41875,18158071,rRNA_MitSSU,BathyMg00242,-,-,MT,-,ribosomal RNA MitSSU (n/a),rRNA,-,-,-,-,20140913,-
41875,18158072,cox3,BathyMg00050,-,-,MT,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,-,20160827,-
41875,18158073,nad2,BathyMg00060,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,-,20160910,-
41875,18158074,tRNA_Glu_TTC,BathyMg00022,-,-,MT,-,tRNA,tRNA,-,-,-,-,20140913,-
41875,18158075,nad9,BathyMg00150,-,-,MT,-,NADH dehydrogenase subunit 9,protein-coding,-,-,-,-,20160325,-
41875,18158076,nad4,BathyMg00070,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,-,20160827,-
41875,18158077,tRNA_Val_TAC,BathyMg00156,-,-,MT,-,tRNA,tRNA,-,-,-,-,20140913,-
41875,18158078,nad5,BathyMg00080,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,-,20160827,-
41875,18158079,tRNA_Cys_GCA,BathyMg00222,-,-,MT,-,tRNA,tRNA,-,-,-,-,20140913,-
41875,18158080,tRNA_Phe_GAA,BathyMg00085,-,-,MT,-,tRNA,tRNA,-,-,-,-,20140913,-
41875,18158081,tRNA_Asn_GTT,BathyMg00035,-,-,MT,-,tRNA,tRNA,-,-,-,-,20140913,-
41875,18158082,tRNA_Ser_GCT,BathyMg00163,-,-,MT,-,tRNA,tRNA,-,-,-,-,20140913,-
41875,18158083,nad3,BathyMg00155,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,-,20150626,-
41875,18158084,Rpl5,BathyMg00260,-,-,MT,-,ribosomal protein L5,protein-coding,-,-,-,-,20160827,-
41875,18158085,Rpl14,BathyMg00255,-,-,MT,-,Ribosomal protein L14,protein-coding,-,-,-,-,20160827,-
41875,18158086,Rps14,BathyMg00256,-,-,MT,-,ribosomal protein S14,protein-coding,-,-,-,-,20160827,-
41875,18158087,Rps13,BathyMg00258,-,-,MT,-,ribosomal protein S13,protein-coding,-,-,-,-,20160827,-
41875,18158088,Rps19,BathyMg00180,-,-,MT,-,ribosomal protein S19,protein-coding,-,-,-,-,20160827,-
41875,18158089,Atp9,BathyMg00259,-,-,MT,-,ATP synthase F0 subunit 9,protein-coding,-,-,-,-,20160813,-
41875,18158090,Rps7,BathyMg00252,-,-,MT,-,ribosomal protein S7,protein-coding,-,-,-,-,20150626,-
41875,18158091,Rps11,BathyMg00200,-,-,MT,-,Ribosomal protein S11,protein-coding,-,-,-,-,20160827,-
41875,18158092,Rps8,BathyMg00257,-,-,MT,-,Ribosomal protein S8,protein-coding,-,-,-,-,20160917,-
41875,18158093,Rps3,BathyMg00254,-,-,MT,-,ribosomal protein S3,protein-coding,-,-,-,-,20160827,-
41875,18158094,tRNA_Gln_TTG,BathyMg00095,-,-,MT,-,tRNA,tRNA,-,-,-,-,20140913,-
41875,18158095,Rpl16,BathyMg00185,-,-,MT,-,50S ribosomal protein L16,protein-coding,-,-,-,-,20160827,-
41875,18158096,tRNA_Leu_TAA,BathyMg00212,-,-,MT,-,tRNA,tRNA,-,-,-,-,20140913,-
41875,18158097,nad1,BathyMg00020,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,-,20150626,-
41875,18158098,Rpl6,BathyMg00261,-,-,MT,-,Ribosomal protein L6,protein-coding,-,-,-,-,20160827,-
41875,18158099,tRNA_Met_CAT,BathyMg00104,-,-,MT,-,tRNA,tRNA,-,-,-,-,20140913,-
