#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2704031,55626426,HWD03_gp002,HWD03_gp002,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200620,-
2704031,55626427,HWD03_gp003,HWD03_gp003,-,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210320,-
2704031,55626428,HWD03_gp004,HWD03_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2704031,55626429,HWD03_gp005,HWD03_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626430,HWD03_gp006,HWD03_gp006,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210320,-
2704031,55626431,HWD03_gp007,HWD03_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626432,HWD03_gp008,HWD03_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626433,HWD03_gp009,HWD03_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626434,HWD03_gp010,HWD03_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626435,HWD03_gp011,HWD03_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2704031,55626436,HWD03_gp012,HWD03_gp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626437,HWD03_gp013,HWD03_gp013,-,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20200620,-
2704031,55626438,HWD03_gp014,HWD03_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626439,HWD03_gp015,HWD03_gp015,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20210320,-
2704031,55626440,HWD03_gp016,HWD03_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626441,HWD03_gp017,HWD03_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
