#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2480623,55006163,HOU44_gp002,HOU44_gp002,STG2_2,-,-,-,nicking site-specific endonuclease,protein-coding,-,-,-,nicking site-specific endonuclease,20200910,-
2480623,55006164,HOU44_gp003,HOU44_gp003,STG2_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2480623,55006165,HOU44_gp004,HOU44_gp004,STG2_4,-,-,-,neck whiskers protein,protein-coding,-,-,-,neck whiskers protein,20210327,-
2480623,55006166,HOU44_gp005,HOU44_gp005,STG2_5,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20200912,-
2480623,55006167,HOU44_gp006,HOU44_gp006,STG2_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2480623,55006168,HOU44_gp007,HOU44_gp007,STG2_7,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20200910,-
2480623,55006169,HOU44_gp008,HOU44_gp008,STG2_8,-,-,-,tail completion protein,protein-coding,-,-,-,tail completion protein,20200910,-
2480623,55006170,HOU44_gp009,HOU44_gp009,STG2_9,-,-,-,tail terminator protein,protein-coding,-,-,-,tail terminator protein,20200910,-
2480623,55006171,HOU44_gp010,HOU44_gp010,STG2_10,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210403,-
2480623,55006172,HOU44_gp011,HOU44_gp011,STG2_11,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20200910,-
2480623,55006173,HOU44_gp012,HOU44_gp012,STG2_12,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20200910,-
2480623,55006174,HOU44_gp013,HOU44_gp013,STG2_13,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20200910,-
2480623,55006175,HOU44_gp014,HOU44_gp014,STG2_14,-,-,-,pore-forming tail tip protein,protein-coding,-,-,-,pore-forming tail tip protein,20210403,-
2480623,55006176,HOU44_gp015,HOU44_gp015,STG2_15,-,-,-,distal tail protein,protein-coding,-,-,-,distal tail protein,20200910,-
2480623,55006177,HOU44_gp016,HOU44_gp016,STG2_16,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210403,-
2480623,55006178,HOU44_gp017,HOU44_gp017,STG2_17,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20200910,-
2480623,55006179,HOU44_gp018,HOU44_gp018,STG2_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2480623,55006180,HOU44_gp019,HOU44_gp019,STG2_19,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210403,-
2480623,55006181,HOU44_gp020,HOU44_gp020,STG2_20,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210403,-
2480623,55006182,HOU44_gp021,HOU44_gp021,STG2_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006183,HOU44_gp022,HOU44_gp022,STG2_22,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,protein-coding,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,20210403,-
2480623,55006184,HOU44_gp023,HOU44_gp023,STG2_23,-,-,-,ribonuclease H,protein-coding,-,-,-,ribonuclease H,20200912,-
2480623,55006185,HOU44_gp024,HOU44_gp024,STG2_24,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20200910,-
2480623,55006186,HOU44_gp025,HOU44_gp025,STG2_25,-,-,-,putative recombination or repair nuclease,protein-coding,-,-,-,putative recombination or repair nuclease,20210403,-
2480623,55006187,HOU44_gp026,HOU44_gp026,STG2_26,-,-,-,putative endonuclease subunit,protein-coding,-,-,-,putative endonuclease subunit,20210403,-
2480623,55006188,HOU44_gp027,HOU44_gp027,STG2_27,-,-,-,D11 protein,protein-coding,-,-,-,D11 protein,20200910,-
2480623,55006189,HOU44_gp028,HOU44_gp028,STG2_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
