#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
694060,26040567,APL44_gp002,APL44_gp002,-,-,-,-,BR0599 family protein,protein-coding,-,-,-,BR0599 family protein,20201220,-
694060,26040568,APL44_gp003,APL44_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040569,APL44_gp004,APL44_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040570,APL44_gp005,APL44_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
694060,26040571,APL44_gp006,APL44_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040572,APL44_gp007,APL44_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040573,APL44_gp008,APL44_gp008,-,-,-,-,primase,protein-coding,-,-,-,primase,20200629,-
694060,26040574,APL44_gp009,APL44_gp009,-,-,-,-,primase,protein-coding,-,-,-,primase,20200629,-
694060,26040575,APL44_gp010,APL44_gp010,-,-,-,-,conserved phage protein,protein-coding,-,-,-,conserved phage protein,20210417,-
694060,26040576,APL44_gp011,APL44_gp011,-,-,-,-,conserved phage protein,protein-coding,-,-,-,conserved phage protein,20210417,-
694060,26040577,APL44_gp012,APL44_gp012,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200629,-
694060,26040578,APL44_gp013,APL44_gp013,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20200629,-
694060,26040579,APL44_gp014,APL44_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040580,APL44_gp015,APL44_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040581,APL44_gp016,APL44_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040582,APL44_gp017,APL44_gp017,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210123,-
694060,26040583,APL44_gp018,APL44_gp018,-,-,-,-,prohead protease ClpP,protein-coding,-,-,-,prohead protease ClpP,20200629,-
694060,26040584,APL44_gp019,APL44_gp019,-,-,-,-,phage portal protein,protein-coding,-,-,-,phage portal protein,20210417,-
694060,26040585,APL44_gp020,APL44_gp020,-,-,-,-,phage terminase large subunit,protein-coding,-,-,-,phage terminase large subunit,20200629,-
694060,26040586,APL44_gp021,APL44_gp021,-,-,-,-,recombination-associated protein,protein-coding,-,-,-,recombination-associated protein,20200629,-
694060,26040587,APL44_gp022,APL44_gp022,-,-,-,-,putative oxidoreductase,protein-coding,-,-,-,putative oxidoreductase,20200629,-
694060,26040588,APL44_gp023,APL44_gp023,-,-,-,-,phage conserved protein,protein-coding,-,-,-,phage conserved protein,20200629,-
694060,26040589,APL44_gp024,APL44_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040590,APL44_gp025,APL44_gp025,-,-,-,-,large subunit terminase,protein-coding,-,-,-,large subunit terminase,20210123,-
694060,26040591,APL44_gp026,APL44_gp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040592,APL44_gp027,APL44_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040593,APL44_gp028,APL44_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
