#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1897769,60334978,I5H99_gp002,I5H99_gp002,SEA_WILLSTERREL_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210406,-
1897769,60334979,I5H99_gp003,I5H99_gp003,SEA_WILLSTERREL_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210406,-
1897769,60334980,I5H99_gp004,I5H99_gp004,SEA_WILLSTERREL_4,-,-,-,maturation protease,protein-coding,-,-,-,maturation protease,20201129,-
1897769,60334981,I5H99_gp005,I5H99_gp005,SEA_WILLSTERREL_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
1897769,60334982,I5H99_gp006,I5H99_gp006,SEA_WILLSTERREL_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
1897769,60334983,I5H99_gp007,I5H99_gp007,SEA_WILLSTERREL_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
1897769,60334984,I5H99_gp008,I5H99_gp008,SEA_WILLSTERREL_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
1897769,60334985,I5H99_gp009,I5H99_gp009,SEA_WILLSTERREL_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1897769,60334986,I5H99_gp010,I5H99_gp010,SEA_WILLSTERREL_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
1897769,60334987,I5H99_gp012,I5H99_gp012,SEA_WILLSTERREL_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
1897769,60334988,I5H99_gp014,I5H99_gp014,SEA_WILLSTERREL_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
1897769,60334989,I5H99_gp015,I5H99_gp015,SEA_WILLSTERREL_15,-,-,-,Transposase protein,protein-coding,-,-,-,Transposase protein,20210123,-
1897769,60334990,I5H99_gp016,I5H99_gp016,SEA_WILLSTERREL_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1897769,60334991,I5H99_gp018,I5H99_gp018,SEA_WILLSTERREL_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1897769,60334992,I5H99_gp019,I5H99_gp019,SEA_WILLSTERREL_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1897769,60334993,I5H99_gp020,I5H99_gp020,SEA_WILLSTERREL_20,-,-,-,D-ala-D-ala carboxypeptidase,protein-coding,-,-,-,D-ala-D-ala carboxypeptidase,20210424,-
1897769,60334994,I5H99_gp021,I5H99_gp021,SEA_WILLSTERREL_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1897769,60334995,I5H99_gp022,I5H99_gp022,SEA_WILLSTERREL_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1897769,60334996,I5H99_gp023,I5H99_gp023,SEA_WILLSTERREL_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1897769,60334997,I5H99_gp024,I5H99_gp024,SEA_WILLSTERREL_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1897769,60334998,I5H99_gp025,I5H99_gp025,SEA_WILLSTERREL_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60334999,I5H99_gp026,I5H99_gp026,SEA_WILLSTERREL_26,-,-,-,transposase,protein-coding,-,-,-,transposase,20210406,-
1897769,60335000,I5H99_gp027,I5H99_gp027,SEA_WILLSTERREL_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335001,I5H99_gp028,I5H99_gp028,SEA_WILLSTERREL_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335002,I5H99_gp029,I5H99_gp029,SEA_WILLSTERREL_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335003,I5H99_gp030,I5H99_gp030,SEA_WILLSTERREL_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1897769,60335004,I5H99_gp031,I5H99_gp031,SEA_WILLSTERREL_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335005,I5H99_gp032,I5H99_gp032,SEA_WILLSTERREL_32,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
1897769,60335006,I5H99_gp033,I5H99_gp033,SEA_WILLSTERREL_33,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
1897769,60335007,I5H99_gp034,I5H99_gp034,SEA_WILLSTERREL_34,-,-,-,holin,protein-coding,-,-,-,holin,20210424,-
1897769,60335008,I5H99_gp035,I5H99_gp035,SEA_WILLSTERREL_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
