#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
38294,4568432,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Pasteurella piscicida; Photobacterium damsela piscicida; Photobacterium damsela subsp. piscicida; causative agent of fish pasteurellosis).,other,-,-,-,-,20160613,-
38294,39465156,BEI67_RS21925,BEI67_RS21925,BEI67_20145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
38294,39465160,BEI67_RS21940,BEI67_RS21940,BEI67_20155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
38294,39465164,BEI67_RS21965,BEI67_RS21965,BEI67_20180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
38294,39465166,BEI67_RS21945,BEI67_RS21945,BEI67_20160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
38294,39465169,BEI67_RS22085,BEI67_RS22085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190815,-
38294,39465170,BEI67_RS22095,BEI67_RS22095,BEI67_20300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
38294,39465171,BEI67_RS21960,BEI67_RS21960,BEI67_20175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190601,-
38294,39465172,BEI67_RS21980,BEI67_RS21980,BEI67_20195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
38294,39465173,BEI67_RS22115,BEI67_RS22115,BEI67_20320,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
38294,39465175,BEI67_RS22120,BEI67_RS22120,BEI67_20325,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
38294,39465181,BEI67_RS22165,BEI67_RS22165,BEI67_20365,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190814,-
38294,39465182,BEI67_RS21950,BEI67_RS21950,BEI67_20165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
38294,39465184,BEI67_RS22145,BEI67_RS22145,BEI67_20350,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
38294,39465185,BEI67_RS22140,BEI67_RS22140,BEI67_20345,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
38294,39465187,BEI67_RS22160,BEI67_RS22160,BEI67_20360,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190601,-
38294,39465188,BEI67_RS22100,BEI67_RS22100,BEI67_20305,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190525,-
38294,39465193,BEI67_RS21985,BEI67_RS21985,BEI67_20200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
38294,39465194,BEI67_RS21990,BEI67_RS21990,BEI67_20205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
38294,39465196,BEI67_RS22105,BEI67_RS22105,BEI67_20310,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
38294,39465197,BEI67_RS22170,BEI67_RS22170,BEI67_20370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
38294,39465206,BEI67_RS21970,BEI67_RS21970,BEI67_20185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
