#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1262535,16385008,N389_gp02,N389_gp02,jm2_002,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20200629,-
1262535,16385009,N389_gp03,N389_gp03,jm2_003,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1262535,16385010,N389_gp04,N389_gp04,jm2_004,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20200629,-
1262535,16385011,N389_gp05,N389_gp05,jm2_005,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20210406,-
1262535,16385012,N389_gp06,N389_gp06,jm2_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385013,N389_gp07,N389_gp07,jm2_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385014,N389_gp08,N389_gp08,jm2_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385015,N389_gp09,N389_gp09,jm2_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385016,N389_gp10,N389_gp10,jm2_0010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385017,N389_gp11,N389_gp11,jm2_0011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385018,N389_gp12,N389_gp12,jm2_0012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385019,N389_gp13,N389_gp13,jm2_0013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385020,N389_gp14,N389_gp14,jm2_0014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385021,N389_gp15,N389_gp15,jm2_0015,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20200629,-
1262535,16385022,N389_gp16,N389_gp16,jm2_0016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385023,N389_gp17,N389_gp17,jm2_0017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385024,N389_gp18,N389_gp18,jm2_0018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385025,N389_gp19,N389_gp19,jm2_0019,-,-,-,putative receptor binding protein,protein-coding,-,-,-,putative receptor binding protein,20200629,-
1262535,16385026,N389_gp20,N389_gp20,jm2_0020,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200629,-
1262535,16385027,N389_gp21,N389_gp21,jm2_0021,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20200629,-
1262535,16385028,N389_gp22,N389_gp22,jm2_0022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385029,N389_gp23,N389_gp23,jm2_0023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385030,N389_gp24,N389_gp24,jm2_0024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385031,N389_gp25,N389_gp25,jm2_0025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385032,N389_gp26,N389_gp26,jm2_0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385033,N389_gp27,N389_gp27,jm2_0027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385034,N389_gp28,N389_gp28,jm2_0028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385035,N389_gp29,N389_gp29,jm2_0029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385036,N389_gp30,N389_gp30,jm2_0030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385037,N389_gp31,N389_gp31,jm2_0031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385038,N389_gp32,N389_gp32,jm2_0032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385039,N389_gp33,N389_gp33,jm2_0033,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200629,-
1262535,16385040,N389_gp34,N389_gp34,jm2_0034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385041,N389_gp35,N389_gp35,jm2_0035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385042,N389_gp36,N389_gp36,jm2_0036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385043,N389_gp37,N389_gp37,jm2_0037,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200629,-
1262535,16385044,N389_gp38,N389_gp38,jm2_0038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385045,N389_gp39,N389_gp39,jm2_0039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385046,N389_gp40,N389_gp40,jm2_0040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385047,N389_gp41,N389_gp41,jm2_0041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385048,N389_gp42,N389_gp42,jm2_0042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385049,N389_gp43,N389_gp43,jm2_0043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385050,N389_gp44,N389_gp44,jm2_0044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385051,N389_gp45,N389_gp45,jm2_0045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385052,N389_gp46,N389_gp46,jm2_0046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385053,N389_gp47,N389_gp47,jm2_0047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385054,N389_gp48,N389_gp48,jm2_0048,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20200629,-
1262535,16385055,N389_gp49,N389_gp49,jm2_0049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385056,N389_gp50,N389_gp50,jm2_0050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385057,N389_gp51,N389_gp51,jm2_0051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385058,N389_gp52,N389_gp52,jm2_0052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385059,N389_gp53,N389_gp53,jm2_0053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385060,N389_gp54,N389_gp54,jm2_0054,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210406,-
1262535,16385061,N389_gp55,N389_gp55,jm2_0055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385062,N389_gp56,N389_gp56,jm2_0056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385063,N389_gp57,N389_gp57,jm2_0057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385064,N389_gp58,N389_gp58,jm2_0058,-,-,-,putative holliday junction endonuclease,protein-coding,-,-,-,putative holliday junction endonuclease,20200629,-
1262535,16385065,N389_gp59,N389_gp59,jm2_0059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262535,16385066,N389_gp01,N389_gp01,jm2_001,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20200629,-
1262535,16545708,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Lactococcus lactis phage jm2).,other,-,-,-,-,20200513,-
