#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1895333,28721295,BHS13_gp02,BHS13_gp02,-,-,-,-,anti-CRISPR protein AcrID1,protein-coding,-,-,-,anti-CRISPR protein AcrID1,20210116,-
1895333,28721296,BHS13_gp03,BHS13_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1895333,28721297,BHS13_gp04,BHS13_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1895333,28721298,BHS13_gp05,BHS13_gp05,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200629,-
1895333,28721299,BHS13_gp06,BHS13_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1895333,28721300,BHS13_gp07,BHS13_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1895333,28721301,BHS13_gp08,BHS13_gp08,-,-,-,-,queuine/archaeosine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine/archaeosine tRNA-ribosyltransferase,20210424,-
1895333,28721302,BHS13_gp09,BHS13_gp09,-,-,-,-,permease transmembrane protein,protein-coding,-,-,-,permease transmembrane protein,20200629,-
1895333,28721303,BHS13_gp10,BHS13_gp10,-,-,-,-,transcriptional regulator SvtR,protein-coding,-,-,-,transcriptional regulator SvtR,20200629,-
1895333,28721304,BHS13_gp11,BHS13_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1895333,28721305,BHS13_gp12,BHS13_gp12,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210424,-
1895333,28721306,BHS13_gp13,BHS13_gp13,-,-,-,-,ATPase,protein-coding,-,-,-,ATPase,20210424,-
1895333,28721307,BHS13_gp14,BHS13_gp14,-,-,-,-,Cas4-like protein,protein-coding,-,-,-,Cas4-like protein,20200629,-
1895333,28721308,BHS13_gp15,BHS13_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1895333,28721309,BHS13_gp16,BHS13_gp16,-,-,-,-,CopG transcriptional regulator,protein-coding,-,-,-,CopG transcriptional regulator,20200629,-
1895333,28721310,BHS13_gp17,BHS13_gp17,-,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20210424,-
1895333,28721311,BHS13_gp18,BHS13_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1895333,28721312,BHS13_gp19,BHS13_gp19,-,-,-,-,coat protein,protein-coding,-,-,-,coat protein,20210424,-
1895333,28721313,BHS13_gp20,BHS13_gp20,-,-,-,-,C2H2-finger transcriptional regulator,protein-coding,-,-,-,C2H2-finger transcriptional regulator,20210424,-
1895333,28721314,BHS13_gp21,BHS13_gp21,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
1895333,28721315,BHS13_gp22,BHS13_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1895333,28721316,BHS13_gp23,BHS13_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1895333,28721317,BHS13_gp24,BHS13_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1895333,28721318,BHS13_gp25,BHS13_gp25,-,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20200629,-
1895333,28721319,BHS13_gp26,BHS13_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1895333,28721320,BHS13_gp27,BHS13_gp27,-,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210424,-
1895333,28721321,BHS13_gp28,BHS13_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1895333,28721322,BHS13_gp29,BHS13_gp29,-,-,-,-,coiled-coil structural protein,protein-coding,-,-,-,coiled-coil structural protein,20200629,-
1895333,28721323,BHS13_gp30,BHS13_gp30,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210424,-
1895333,28721324,BHS13_gp31,BHS13_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1895333,28721325,BHS13_gp32,BHS13_gp32,-,-,-,-,SAM-dependent methyltransferase,protein-coding,-,-,-,SAM-dependent methyltransferase,20210424,-
1895333,28721326,BHS13_gp33,BHS13_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1895333,28721327,BHS13_gp34,BHS13_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1895333,28721328,BHS13_gp35,BHS13_gp35,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
1895333,28721329,BHS13_gp36,BHS13_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1895333,28721330,BHS13_gp37,BHS13_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1895333,28721331,BHS13_gp38,BHS13_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1895333,28721332,BHS13_gp39,BHS13_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1895333,28721333,BHS13_gp40,BHS13_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1895333,28721334,BHS13_gp41,BHS13_gp41,-,-,-,-,pyramid forming protein,protein-coding,-,-,-,pyramid forming protein,20210424,-
1895333,28721335,BHS13_gp42,BHS13_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1895333,28721336,BHS13_gp43,BHS13_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1895333,28721337,BHS13_gp44,BHS13_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1895333,28721338,BHS13_gp45,BHS13_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1895333,28721339,BHS13_gp01,BHS13_gp01,-,-,-,-,HTH transcriptional regulator,protein-coding,-,-,-,HTH transcriptional regulator,20200629,-
1895333,29005813,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210607,-
