#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1097752,40235136,2,FGG38_gp02,DOTPRODUCT_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
1097752,40235137,3,FGG38_gp03,DOTPRODUCT_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
1097752,40235138,4,FGG38_gp04,DOTPRODUCT_4,-,-,-,head assembly protease,protein-coding,-,-,-,head assembly protease,20201220,-
1097752,40235139,5,FGG38_gp05,DOTPRODUCT_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201220,-
1097752,40235140,6,FGG38_gp06,DOTPRODUCT_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
1097752,40235141,7,FGG38_gp07,DOTPRODUCT_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201220,-
1097752,40235142,8,FGG38_gp08,DOTPRODUCT_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201220,-
1097752,40235143,9,FGG38_gp09,DOTPRODUCT_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1097752,40235144,10,FGG38_gp10,DOTPRODUCT_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201220,-
1097752,40235145,11,FGG38_gp11,DOTPRODUCT_11,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201220,-
1097752,40235146,13,FGG38_gp12,DOTPRODUCT_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
1097752,40235147,14,FGG38_gp14,DOTPRODUCT_14,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201220,-
1097752,40235148,12,FGG38_gp13,DOTPRODUCT_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
1097752,40235149,15,FGG38_gp15,DOTPRODUCT_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235150,16,FGG38_gp16,DOTPRODUCT_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235151,17,FGG38_gp17,DOTPRODUCT_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235152,18,FGG38_gp18,DOTPRODUCT_18,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201220,-
1097752,40235153,19,FGG38_gp19,DOTPRODUCT_19,-,-,-,D-Ala-D-Ala carboxypeptidase,protein-coding,-,-,-,D-Ala-D-Ala carboxypeptidase,20201220,-
1097752,40235154,20,FGG38_gp20,DOTPRODUCT_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235155,21,FGG38_gp21,DOTPRODUCT_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235156,22,FGG38_gp22,DOTPRODUCT_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235157,23,FGG38_gp23,DOTPRODUCT_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235158,24,FGG38_gp24,DOTPRODUCT_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235159,25,FGG38_gp25,DOTPRODUCT_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235160,26,FGG38_gp26,DOTPRODUCT_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235161,27,FGG38_gp27,DOTPRODUCT_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
