#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1675554,26518785,AU153_gp02,AU153_gp02,POPS_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210123,-
1675554,26518786,AU153_gp03,AU153_gp03,POPS_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518787,AU153_gp04,AU153_gp04,POPS_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518788,AU153_gp05,AU153_gp05,POPS_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518789,AU153_gp06,AU153_gp06,POPS_6,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210212,-
1675554,26518790,AU153_gp07,AU153_gp07,POPS_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518791,AU153_gp08,AU153_gp08,POPS_8,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210102,-
1675554,26518792,AU153_gp09,AU153_gp09,POPS_9,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20210102,-
1675554,26518793,AU153_gp10,AU153_gp10,POPS_10,-,-,-,HNH domain protein,protein-coding,-,-,-,HNH domain protein,20210212,-
1675554,26518794,AU153_gp11,AU153_gp11,POPS_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518795,AU153_gp12,AU153_gp12,POPS_12,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210102,-
1675554,26518796,AU153_gp13,AU153_gp13,POPS_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518797,AU153_gp14,AU153_gp14,POPS_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518798,AU153_gp15,AU153_gp15,POPS_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518799,AU153_gp16,AU153_gp16,POPS_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518800,AU153_gp17,AU153_gp17,POPS_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518801,AU153_gp18,AU153_gp18,POPS_18,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210102,-
1675554,26518802,AU153_gp19,AU153_gp19,POPS_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518803,AU153_gp20,AU153_gp20,POPS_20,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20210102,-
1675554,26518804,AU153_gp21,AU153_gp21,POPS_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518805,AU153_gp22,AU153_gp22,POPS_22,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210102,-
1675554,26518806,AU153_gp23,AU153_gp23,POPS_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518807,AU153_gp24,AU153_gp24,POPS_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518808,AU153_gp25,AU153_gp25,POPS_25,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210102,-
1675554,26518809,AU153_gp26,AU153_gp26,POPS_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518810,AU153_gp27,AU153_gp27,POPS_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518811,AU153_gp28,AU153_gp28,POPS_28,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210102,-
1675554,26518812,AU153_gp29,AU153_gp29,POPS_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210102,-
1675554,26518813,AU153_gp30,AU153_gp30,POPS_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210102,-
1675554,26518814,AU153_gp31,AU153_gp31,POPS_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210102,-
1675554,26518815,AU153_gp32,AU153_gp32,POPS_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210102,-
1675554,26518816,AU153_gp33,AU153_gp33,POPS_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518817,AU153_gp34,AU153_gp34,POPS_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518818,AU153_gp35,AU153_gp35,POPS_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518819,AU153_gp36,AU153_gp36,POPS_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518820,AU153_gp37,AU153_gp37,POPS_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518821,AU153_gp38,AU153_gp38,POPS_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518822,AU153_gp39,AU153_gp39,POPS_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518823,AU153_gp40,AU153_gp40,POPS_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518824,AU153_gp41,AU153_gp41,POPS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518825,AU153_gp42,AU153_gp42,POPS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518826,AU153_gp43,AU153_gp43,POPS_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518827,AU153_gp44,AU153_gp44,POPS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518828,AU153_gp45,AU153_gp45,POPS_45,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210102,-
1675554,26518829,AU153_gp46,AU153_gp46,POPS_46,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210102,-
1675554,26518830,AU153_gp47,AU153_gp47,POPS_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518831,AU153_gp48,AU153_gp48,POPS_48,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210102,-
1675554,26518832,AU153_gp49,AU153_gp49,POPS_49,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210102,-
1675554,26518833,AU153_gp50,AU153_gp50,POPS_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518834,AU153_gp51,AU153_gp51,POPS_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518835,AU153_gp52,AU153_gp52,POPS_52,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210102,-
1675554,26518836,AU153_gp53,AU153_gp53,POPS_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518837,AU153_gp54,AU153_gp54,POPS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518838,AU153_gp55,AU153_gp55,POPS_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518839,AU153_gp56,AU153_gp56,POPS_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518840,AU153_gp57,AU153_gp57,POPS_57,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210102,-
1675554,26518841,AU153_gp58,AU153_gp58,POPS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518842,AU153_gp59,AU153_gp59,POPS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518843,AU153_gp60,AU153_gp60,POPS_60,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210102,-
1675554,26518844,AU153_gp61,AU153_gp61,POPS_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518845,AU153_gp62,AU153_gp62,POPS_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518846,AU153_gp63,AU153_gp63,POPS_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518847,AU153_gp64,AU153_gp64,POPS_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518848,AU153_gp65,AU153_gp65,POPS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518849,AU153_gp66,AU153_gp66,POPS_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518850,AU153_gp67,AU153_gp67,POPS_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518851,AU153_gp68,AU153_gp68,POPS_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518852,AU153_gp69,AU153_gp69,POPS_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518853,AU153_gp70,AU153_gp70,POPS_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518854,AU153_gp71,AU153_gp71,POPS_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1675554,26518855,AU153_gp72,AU153_gp72,POPS_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518856,AU153_gp73,AU153_gp73,POPS_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518857,AU153_gp74,AU153_gp74,POPS_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518858,AU153_gp75,AU153_gp75,POPS_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518859,AU153_gp76,AU153_gp76,POPS_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518860,AU153_gp77,AU153_gp77,POPS_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518861,AU153_gp78,AU153_gp78,POPS_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518862,AU153_gp79,AU153_gp79,POPS_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518863,AU153_gp80,AU153_gp80,POPS_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518864,AU153_gp81,AU153_gp81,POPS_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518865,AU153_gp82,AU153_gp82,POPS_82,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210102,-
1675554,26518866,AU153_gp83,AU153_gp83,POPS_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518867,AU153_gp84,AU153_gp84,POPS_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518868,AU153_gp85,AU153_gp85,POPS_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518869,AU153_gp86,AU153_gp86,POPS_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518870,AU153_gp87,AU153_gp87,POPS_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518871,AU153_gp88,AU153_gp88,POPS_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518872,AU153_gp89,AU153_gp89,POPS_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518873,AU153_gp90,AU153_gp90,POPS_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518874,AU153_gp91,AU153_gp91,POPS_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518875,AU153_gp92,AU153_gp92,POPS_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518876,AU153_gp93,AU153_gp93,POPS_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518877,AU153_gp94,AU153_gp94,POPS_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518878,AU153_gp95,AU153_gp95,POPS_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518879,AU153_gp96,AU153_gp96,POPS_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518880,AU153_gp97,AU153_gp97,POPS_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518881,AU153_gp98,AU153_gp98,POPS_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518882,AU153_gp99,AU153_gp99,POPS_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1675554,26518883,AU153_gp01,AU153_gp01,POPS_1,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20210123,-
1675554,26591619,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Pops).,other,-,-,-,-,20200513,-
