#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2767559,60329667,2,I5H48_gp002,PBI_HLUBIKAZI_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2767559,60329668,3,I5H48_gp003,PBI_HLUBIKAZI_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2767559,60329669,4,I5H48_gp004,PBI_HLUBIKAZI_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2767559,60329670,5,I5H48_gp005,PBI_HLUBIKAZI_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2767559,60329671,6,I5H48_gp006,PBI_HLUBIKAZI_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2767559,60329672,7,I5H48_gp007,PBI_HLUBIKAZI_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2767559,60329673,8,I5H48_gp008,PBI_HLUBIKAZI_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2767559,60329674,9,I5H48_gp009,PBI_HLUBIKAZI_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2767559,60329675,10,I5H48_gp010,PBI_HLUBIKAZI_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2767559,60329676,11,I5H48_gp011,PBI_HLUBIKAZI_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2767559,60329677,13,I5H48_gp012,PBI_HLUBIKAZI_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2767559,60329678,14,I5H48_gp014,PBI_HLUBIKAZI_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201203,-
2767559,60329679,12,I5H48_gp013,PBI_HLUBIKAZI_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2767559,60329680,15,I5H48_gp015,PBI_HLUBIKAZI_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2767559,60329681,16,I5H48_gp016,PBI_HLUBIKAZI_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2767559,60329682,17,I5H48_gp017,PBI_HLUBIKAZI_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2767559,60329683,18,I5H48_gp018,PBI_HLUBIKAZI_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2767559,60329684,19,I5H48_gp019,PBI_HLUBIKAZI_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2767559,60329685,20,I5H48_gp020,PBI_HLUBIKAZI_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2767559,60329686,21,I5H48_gp021,PBI_HLUBIKAZI_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329687,22,I5H48_gp022,PBI_HLUBIKAZI_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329688,23,I5H48_gp023,PBI_HLUBIKAZI_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329689,24,I5H48_gp024,PBI_HLUBIKAZI_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329690,25,I5H48_gp025,PBI_HLUBIKAZI_25,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2767559,60329691,26,I5H48_gp026,PBI_HLUBIKAZI_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329692,27,I5H48_gp027,PBI_HLUBIKAZI_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329693,28,I5H48_gp028,PBI_HLUBIKAZI_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329694,29,I5H48_gp029,PBI_HLUBIKAZI_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
