#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
541865,6964464,ST39-O_gp02,ST39-O_gp02,-,-,-,-,large terminase,protein-coding,-,-,-,large terminase,20201220,-
541865,6964465,ST39-O_gp03,ST39-O_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964466,ST39-O_gp04,ST39-O_gp04,-,-,-,-,portal,protein-coding,-,-,-,portal,20201220,-
541865,6964467,ST39-O_gp05,ST39-O_gp05,-,-,-,-,minor head protein,protein-coding,-,-,-,minor head protein,20201220,-
541865,6964468,ST39-O_gp06,ST39-O_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964469,ST39-O_gp07,ST39-O_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964470,ST39-O_gp08,ST39-O_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964471,ST39-O_gp09,ST39-O_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964472,ST39-O_gp10,ST39-O_gp10,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201220,-
541865,6964473,ST39-O_gp11,ST39-O_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964474,ST39-O_gp12,ST39-O_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964475,ST39-O_gp13,ST39-O_gp13,-,-,-,-,fibronectin autolysin,protein-coding,-,-,-,fibronectin autolysin,20201220,-
541865,6964476,ST39-O_gp14,ST39-O_gp14,-,-,-,-,Gp6-like protein,protein-coding,-,-,-,Gp6-like protein,20201220,-
541865,6964477,ST39-O_gp15,ST39-O_gp15,-,-,-,-,pre-neck/exonuclease,protein-coding,-,-,-,pre-neck/exonuclease,20201220,-
541865,6964478,ST39-O_gp16,ST39-O_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964479,ST39-O_gp17,ST39-O_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964480,ST39-O_gp18,ST39-O_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964481,ST39-O_gp19,ST39-O_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964482,ST39-O_gp20,ST39-O_gp20,-,-,-,-,peptidase-colicin,protein-coding,-,-,-,peptidase-colicin,20201220,-
541865,6964483,ST39-O_gp21,ST39-O_gp21,-,-,-,-,ATPase component,protein-coding,-,-,-,ATPase component,20201220,-
541865,6964484,ST39-O_gp22,ST39-O_gp22,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201220,-
541865,6964485,ST39-O_gp23,ST39-O_gp23,-,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20201220,-
541865,6964486,ST39-O_gp24,ST39-O_gp24,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201220,-
541865,6964487,ST39-O_gp25,ST39-O_gp25,-,-,-,-,endopeptidase-endolysin,protein-coding,-,-,-,endopeptidase-endolysin,20201220,-
541865,6964488,ST39-O_gp26,ST39-O_gp26,-,-,-,-,gp58-like protein,protein-coding,-,-,-,gp58-like protein,20201220,-
541865,6964489,ST39-O_gp27,ST39-O_gp27,-,-,-,-,amidase-hydrolase,protein-coding,-,-,-,amidase-hydrolase,20201220,-
541865,6964490,ST39-O_gp28,ST39-O_gp28,-,-,-,-,holin,protein-coding,-,-,-,holin,20201220,-
541865,6964491,ST39-O_gp29,ST39-O_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964492,ST39-O_gp30,ST39-O_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964493,ST39-O_gp31,ST39-O_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964494,ST39-O_gp32,ST39-O_gp32,-,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20201220,-
541865,6964495,ST39-O_gp33,ST39-O_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964496,ST39-O_gp34,ST39-O_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964497,ST39-O_gp35,ST39-O_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964498,ST39-O_gp36,ST39-O_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964499,ST39-O_gp37,ST39-O_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964500,ST39-O_gp38,ST39-O_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964501,ST39-O_gp39,ST39-O_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964502,ST39-O_gp40,ST39-O_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964503,ST39-O_gp41,ST39-O_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964504,ST39-O_gp42,ST39-O_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
