#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
215250,37039739,FA10DRAFT_100211,FA10DRAFT_100211,-,-,Unknown,-,thiolase,protein-coding,-,-,-,thiolase,20200918,-
215250,37039740,FA10DRAFT_100288,FA10DRAFT_100288,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039741,FA10DRAFT_101002,FA10DRAFT_101002,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039742,FA10DRAFT_101038,FA10DRAFT_101038,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039743,FA10DRAFT_101731,FA10DRAFT_101731,-,-,Unknown,-,yeats-domain-containing protein,protein-coding,-,-,-,yeats-domain-containing protein,20200918,-
215250,37039744,FA10DRAFT_102314,FA10DRAFT_102314,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039745,FA10DRAFT_102390,FA10DRAFT_102390,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039746,FA10DRAFT_102396,FA10DRAFT_102396,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039747,FA10DRAFT_102488,FA10DRAFT_102488,-,-,Unknown,-,glycolipid transfer protein,protein-coding,-,-,-,glycolipid transfer protein,20200918,-
215250,37039748,FA10DRAFT_102777,FA10DRAFT_102777,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039749,FA10DRAFT_102787,FA10DRAFT_102787,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039750,FA10DRAFT_102811,FA10DRAFT_102811,-,-,Unknown,-,FAD binding domain protein,protein-coding,-,-,-,FAD binding domain protein,20200918,-
215250,37039751,FA10DRAFT_103069,FA10DRAFT_103069,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039752,FA10DRAFT_103217,FA10DRAFT_103217,-,-,Unknown,-,WD40 repeat-like protein,protein-coding,-,-,-,WD40 repeat-like protein,20200918,-
