#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591132,55618813,2,HWC40_gp02,SEA_WHACK_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200829,-
2591132,55618814,3,HWC40_gp03,SEA_WHACK_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2591132,55618815,4,HWC40_gp04,SEA_WHACK_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210424,-
2591132,55618816,5,HWC40_gp05,SEA_WHACK_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200620,-
2591132,55618817,6,HWC40_gp06,SEA_WHACK_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200620,-
2591132,55618818,7,HWC40_gp07,SEA_WHACK_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618819,8,HWC40_gp08,SEA_WHACK_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200829,-
2591132,55618820,9,HWC40_gp09,SEA_WHACK_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200620,-
2591132,55618821,10,HWC40_gp10,SEA_WHACK_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618822,11,HWC40_gp11,SEA_WHACK_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200620,-
2591132,55618823,12,HWC40_gp12,SEA_WHACK_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210424,-
2591132,55618824,13,HWC40_gp13,SEA_WHACK_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618825,14,HWC40_gp14,SEA_WHACK_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200620,-
2591132,55618826,15,HWC40_gp15,SEA_WHACK_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200620,-
2591132,55618827,16,HWC40_gp16,SEA_WHACK_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2591132,55618828,17,HWC40_gp17,SEA_WHACK_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2591132,55618829,18,HWC40_gp18,SEA_WHACK_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2591132,55618830,19,HWC40_gp19,SEA_WHACK_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618831,20,HWC40_gp20,SEA_WHACK_20,-,-,-,"lysin A, protease M23 domain",protein-coding,-,-,-,"lysin A, protease M23 domain",20210424,-
2591132,55618832,21,HWC40_gp21,SEA_WHACK_21,-,-,-,"lysin A, glycosyl hydrolase domain",protein-coding,-,-,-,"lysin A, glycosyl hydrolase domain",20210424,-
2591132,55618833,22,HWC40_gp22,SEA_WHACK_22,-,-,-,holin,protein-coding,-,-,-,holin,20200620,-
2591132,55618834,23,HWC40_gp23,SEA_WHACK_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618835,24,HWC40_gp24,SEA_WHACK_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
